"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"NIBLPF","2022-05-05","11","11.31","11","11.15","0.45","117910"
"NIBLPF","2022-05-04","11.1","11.32","11.1","11.1","-1.94","26600"
"NIBLPF","2022-05-02","11.2","11.32","11.1","11.32","-0.70","60549"
"NIBLPF","2022-04-28","11.34","11.74","11.27","11.4","1.15","180879"
"NIBLPF","2022-04-27","11.15","11.27","10.85","11.27","-0.27","59033"
"NIBLPF","2022-04-26","10.94","11.34","10.9","11.3","3.67","158231"
"NIBLPF","2022-04-25","10.51","10.91","10.51","10.9","3.71","39321"
"NIBLPF","2022-04-24","10.31","10.51","10.31","10.51","1.94","1666"
"NIBLPF","2022-04-21","10.11","10.31","10.11","10.31","0.10","2100"
"NIBLPF","2022-04-20","10.49","10.49","10.29","10.3","-3.65","12345"
"NIBLPF","2022-04-19","10.29","10.69","10.29","10.69","1.91","9573"
"NIBLPF","2022-04-18","10.5","10.5","10.49","10.49","-1.96","12050"
"NIBLPF","2022-04-17","10.67","10.74","10.57","10.7","0.00","16280"
"NIBLPF","2022-04-13","10.3","10.7","10.3","10.7","3.98","9452"
"NIBLPF","2022-04-12","10.4","10.4","10.2","10.29","-0.77","23160"
"NIBLPF","2022-04-11","10.42","10.42","10.36","10.37","-1.52","15840"
"NIBLPF","2022-04-07","10.32","10.53","10.02","10.53","2.23","13753"
"NIBLPF","2022-04-06","10.12","10.3","10.12","10.3","0.49","16189"
"NIBLPF","2022-04-05","10.25","10.31","10.11","10.25","-1.73","31205"
"NIBLPF","2022-04-04","10.38","10.6","10.38","10.43","-0.48","6616"
"NIBLPF","2022-04-03","10.5","10.5","10.41","10.48","-1.13","15500"
"NIBLPF","2022-03-31","10.6","10.7","10.58","10.6","-0.09","47425"
"NIBLPF","2022-03-30","10.9","10.91","10.6","10.61","-0.84","35598"
"NIBLPF","2022-03-29","10.7","10.73","10.7","10.7","0.00","12253"
"NIBLPF","2022-03-28","10.61","10.8","10.61","10.7","-0.93","22117"
"NIBLPF","2022-03-27","10.85","10.85","10.8","10.8","-1.10","8186"
"NIBLPF","2022-03-24","10.93","10.93","10.8","10.92","-0.09","15628"
"NIBLPF","2022-03-23","10.75","10.93","10.71","10.93","3.11","41259"
"NIBLPF","2022-03-22","10.65","10.86","10.6","10.6","-0.47","94818"
"NIBLPF","2022-03-21","10.65","10.7","10.51","10.65","-1.93","46754"
"NIBLPF","2022-03-20","10.78","10.99","10.78","10.86","-1.18","4021"
"NIBLPF","2022-03-16","10.59","10.99","10.58","10.99","1.95","54368"
"NIBLPF","2022-03-15","10.95","11.1","10.75","10.78","-1.46","15925"
"NIBLPF","2022-03-14","10.94","10.94","10.94","10.94","1.96","4600"
"NIBLPF","2022-03-13","10.75","10.93","10.72","10.73","0.09","12205"
"NIBLPF","2022-03-10","10.65","10.72","10.61","10.72","1.13","8385"
"NIBLPF","2022-03-09","10.55","10.6","10.51","10.6","0.86","50273"
"NIBLPF","2022-03-07","10.7","10.72","10.51","10.51","-1.78","18371"
"NIBLPF","2022-03-06","10.61","10.88","10.53","10.7","0.00","30484"
"NIBLPF","2022-03-02","10.6","10.7","10.6","10.7","0.94","10957"
"NIBLPF","2022-02-28","10.7","10.7","10.6","10.6","-0.66","36700"
