"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"NIBSF2","2022-05-05","8.5","8.51","8.33","8.5","-1.16","17151"
"NIBSF2","2022-05-04","8.5","8.67","8.5","8.6","-0.35","3650"
"NIBSF2","2022-05-02","8.8","8.8","8.63","8.63","-1.93","800"
"NIBSF2","2022-04-28","8.82","8.82","8.8","8.8","-2.22","5600"
"NIBSF2","2022-04-27","9","9.12","8.83","9","-1.53","11560"
"NIBSF2","2022-04-26","8.8","9.14","8.8","9.14","5.06","25400"
"NIBSF2","2022-04-25","8.57","8.8","8.51","8.7","-0.34","8200"
"NIBSF2","2022-04-24","8.4","8.73","8.4","8.73","3.93","5500"
"NIBSF2","2022-04-21","8.43","8.5","8.3","8.4","-2.33","7450"
"NIBSF2","2022-04-20","8.56","8.89","8.51","8.6","-0.81","5900"
"NIBSF2","2022-04-19","8.48","8.84","8.48","8.67","2.24","3130"
"NIBSF2","2022-04-18","8.65","8.66","8.48","8.48","-3.85","19750"
"NIBSF2","2022-04-17","8.92","9","8.66","8.82","-3.08","58889"
"NIBSF2","2022-04-13","8.9","9.14","8.76","9.1","0.66","15739"
"NIBSF2","2022-04-12","8.7","9.04","8.55","9.04","1.92","20500"
"NIBSF2","2022-04-11","8.85","9.05","8.65","8.87","0.00","17830"
"NIBSF2","2022-04-07","8.73","9.06","8.7","8.87","-0.34","54993"
"NIBSF2","2022-04-06","8.75","8.9","8.45","8.9","1.25","6100"
"NIBSF2","2022-04-05","8.96","9","8.77","8.79","-3.62","43200"
"NIBSF2","2022-04-04","9.23","9.23","9.05","9.12","0.77","18450"
"NIBSF2","2022-04-03","8.83","9.14","8.83","9.05","2.49","24280"
"NIBSF2","2022-03-31","8.91","8.91","8.78","8.83","-1.34","2450"
"NIBSF2","2022-03-30","8.86","9.08","8.85","8.95","1.02","5950"
"NIBSF2","2022-03-29","9.3","9.3","8.86","8.86","-4.73","23500"
"NIBSF2","2022-03-28","9.12","9.3","9.01","9.3","0.00","4100"
"NIBSF2","2022-03-27","9.31","9.31","8.82","9.3","-2.00","36625"
"NIBSF2","2022-03-24","9.05","9.49","8.91","9.49","4.86","14610"
"NIBSF2","2022-03-23","9","9.12","8.89","9.05","0.00","10800"
"NIBSF2","2022-03-22","9","9.15","8.97","9.05","0.56","8900"
"NIBSF2","2022-03-21","9.01","9.1","9","9","-1.96","4600"
"NIBSF2","2022-03-20","9","9.18","8.9","9.18","0.00","6200"
"NIBSF2","2022-03-16","8.94","9.18","8.94","9.18","0.88","17100"
"NIBSF2","2022-03-15","9.28","9.28","8.8","9.1","-1.94","10655"
"NIBSF2","2022-03-14","9.1","9.28","8.92","9.28","2.88","4100"
"NIBSF2","2022-03-13","8.85","9.37","8.85","9.02","-0.11","12140"
"NIBSF2","2022-03-10","8.73","9.03","8.56","9.03","1.46","4950"
"NIBSF2","2022-03-09","8.8","8.97","8.8","8.9","-0.22","1400"
"NIBSF2","2022-03-07","9","9","8.82","8.92","-2.30","1500"
"NIBSF2","2022-03-06","8.73","9.13","8.73","9.13","2.70","5700"
"NIBSF2","2022-03-02","9","9","8.82","8.89","-2.84","34950"
"NIBSF2","2022-02-28","9.2","9.2","9.02","9.15","-0.54","10000"
"NIBSF2","2022-02-27","9.1","9.2","9.06","9.2","-0.33","13920"
"NIBSF2","2022-02-24","8.89","9.25","8.89","9.23","1.76","12605"
"NIBSF2","2022-02-23","8.88","9.2","8.88","9.07","0.33","1510"
"NIBSF2","2022-02-22","8.85","9.1","8.85","9.04","0.44","5050"
"NIBSF2","2022-02-21","8.99","9.04","8.92","9","-0.44","10700"
"NIBSF2","2022-02-20","9.03","9.2","9.02","9.04","-1.85","7330"
"NIBSF2","2022-02-17","9.04","9.24","9.04","9.21","0.00","9440"
"NIBSF2","2022-02-16","9.02","9.21","9.01","9.21","0.66","3670"
"NIBSF2","2022-02-15","9.15","9.16","9.15","9.15","-1.40","6000"
"NIBSF2","2022-02-14","9.3","9.3","9","9.28","-2.11","35964"
"NIBSF2","2022-02-13","9.12","9.48","8.95","9.48","1.94","62100"
"NIBSF2","2022-02-10","9.2","9.56","9.2","9.3","-0.85","8000"
"NIBSF2","2022-02-09","9.21","9.38","9.2","9.38","-0.11","5960"
"NIBSF2","2022-02-08","9.27","9.39","9.09","9.39","0.00","28020"
"NIBSF2","2022-02-07","9.25","9.5","9.12","9.45","0.32","9107"
"NIBSF2","2022-02-06","9.24","9.42","9.06","9.42","0.00","21700"
"NIBSF2","2022-02-03","9.37","9.42","9.19","9.42","0.53","23860"
"NIBSF2","2022-02-01","9.12","9.56","9.12","9.37","0.75","12100"
"NIBSF2","2022-01-31","9.28","9.37","9.15","9.3","-1.59","80540"
"NIBSF2","2022-01-30","9.4","9.77","9.32","9.45","-1.36","38710"
"NIBSF2","2022-01-27","9.14","9.61","9.14","9.58","2.90","33260"
"NIBSF2","2022-01-26","9.45","9.45","9.31","9.31","-3.32","15880"
"NIBSF2","2022-01-25","9.37","9.63","9.37","9.63","0.73","24745"
"NIBSF2","2022-01-24","9.46","9.56","9.31","9.56","-0.83","16920"
"NIBSF2","2022-01-23","9.61","9.64","9.42","9.64","-1.63","28400"
"NIBSF2","2022-01-20","9.55","9.8","9.42","9.8","1.14","9550"
"NIBSF2","2022-01-19","9.49","10.19","9.49","9.69","2.43","67850"
"NIBSF2","2022-01-18","9.49","9.6","9.3","9.46","-1.46","16370"
"NIBSF2","2022-01-17","9.4","9.74","9.25","9.6","0.52","40091"
"NIBSF2","2022-01-16","9.32","9.63","9.05","9.55","2.47","27170"
"NIBSF2","2022-01-13","9.3","9.39","9.16","9.32","-0.11","36450"
"NIBSF2","2022-01-12","9.11","9.53","9.11","9.33","1.97","28552"
"NIBSF2","2022-01-11","9.19","9.3","9.15","9.15","-0.54","5800"
"NIBSF2","2022-01-10","9.51","9.7","9.02","9.2","-1.60","41100"
"NIBSF2","2022-01-09","9.18","9.43","9.18","9.35","-0.11","30600"
"NIBSF2","2022-01-06","8.99","9.36","8.91","9.36","2.07","28000"
