"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"NICAD8283","2022-05-05","1007","1007","1005","1005","0.00","57"
"NICAD8283","2022-04-24","1005","1005","1005","1005","0.00","100"
"NICAD8283","2022-04-21","1005","1005","1005","1005","-1.18","25"
"NICAD8283","2022-04-19","1018","1020","1017","1017","-0.26","160"
"NICAD8283","2022-04-13","1019.7","1019.7","1019.7","1019.7","0.00","7000"
"NICAD8283","2022-04-11","1015","1019.7","1015","1019.7","1.99","88"
"NICAD8283","2022-04-06","999.8","999.8","999.8","999.8","-1.98","100"
"NICAD8283","2022-04-04","1020","1020","1020","1020","0.99","25"
"NICAD8283","2022-03-30","1010","1010","1010","1010","0.70","25"
"NICAD8283","2022-03-28","1003","1003","1003","1003","-1.67","26"
"NICAD8283","2022-03-23","1005","1020","1005","1020","2.00","125"
"NICAD8283","2022-03-20","1000","1000","1000","1000","-0.70","25"
"NICAD8283","2022-03-15","1015","1020","1007","1007","0.70","125"
"NICAD8283","2022-03-09","1000","1000","1000","1000","-0.99","25"
"NICAD8283","2022-03-07","1010","1010","1010","1010","-0.98","75"
"NICAD8283","2022-02-28","1020","1020","1020","1020","2.00","200"
"NICAD8283","2022-02-24","1000","1000","1000","1000","-1.96","100"
"NICAD8283","2022-02-23","1018","1020","1018","1020","2.00","600"
"NICAD8283","2022-02-22","1020","1020","1000","1000","0.00","510"
"NICAD8283","2022-02-21","1000","1000","1000","1000","0.00","75"
"NICAD8283","2022-02-20","1000","1000","1000","1000","-0.89","100"
"NICAD8283","2022-02-17","1029","1029","1009","1009","-3.90","125"
"NICAD8283","2022-02-14","1050","1050","1050","1050","-1.70","10"
"NICAD8283","2022-02-10","1068.2","1068.2","1068.2","1068.2","-1.99","10"
"NICAD8283","2022-02-09","1089.9","1089.9","1089.9","1089.9","-1.58","10"
"NICAD8283","2022-02-08","1107.4","1107.4","1107.4","1107.4","0.00","10"
"NICAD8283","2022-01-11","1118","1130.1","1118","1130","1.99","2220"
"NICAD8283","2022-01-09","1086.3","1108","1086.3","1108","4.04","50"
"NICAD8283","2022-01-06","1065","1065","1065","1065","1.43","100"
"NICAD8283","2022-01-05","1050.3","1050.5","1050","1050","-0.94","325"
"NICAD8283","2022-01-04","1040.1","1060","1040.1","1060","0.95","45"
"NICAD8283","2022-01-03","1050","1050","1050","1050","1.94","30"
"NICAD8283","2022-01-02","1030","1030","1030","1030","0.48","50"
"NICAD8283","2021-12-28","1025.1","1025.1","1025.1","1025.1","0.57","20"
"NICAD8283","2021-12-20","1019.3","1019.3","1019.3","1019.3","-1.99","25"
"NICAD8283","2021-12-15","1040","1040","1040","1040","0.00","125"
"NICAD8283","2021-12-13","1040","1040","1040","1040","-0.95","525"
"NICAD8283","2021-12-09","1050","1050","1050","1050","0.96","25"
"NICAD8283","2021-12-06","1040","1040","1040","1040","-0.48","30"
"NICAD8283","2021-12-01","1045","1045","1045","1045","0.00","25"
"NICAD8283","2021-11-23","1045","1045","1045","1045","0.00","25"
"NICAD8283","2021-11-22","1045","1045","1045","1045","0.00","10"
"NICAD8283","2021-11-16","1045","1045","1045","1045","0.00","100"
"NICAD8283","2021-11-15","1045","1045","1045","1045","-0.95","25"
"NICAD8283","2021-11-14","1055","1055","1055","1055","0.86","80"
"NICAD8283","2021-11-08","1046","1046","1046","1046","0.10","25"
"NICAD8283","2021-11-03","1041.1","1045","1041.1","1045","0.38","70"
"NICAD8283","2021-10-31","1055","1055","1041","1041","0.58","50"
"NICAD8283","2021-10-25","1035","1035","1035","1035","-0.19","25"
"NICAD8283","2021-10-24","1038","1038","1037","1037","-1.86","25"
"NICAD8283","2021-10-18","1056.7","1056.7","1056.7","1056.7","2.00","200"
"NICAD8283","2021-10-17","1055","1038","1036","1036","-1.80","225"
"NICAD8283","2021-10-05","1055","1055","1055","1055","1.44","25"
"NICAD8283","2021-10-03","1040","1040","1040","1040","-1.98","25"
"NICAD8283","2021-09-30","1061","1061","1061","1061","1.92","175"
"NICAD8283","2021-09-29","1041","1041","1041","1041","-1.79","150"
