"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"NICAP","2022-04-27","438","438","438","438","0.00","6708"
"NICAP","2021-11-01","505","505","505","505","0.00","1870"
"NICAP","2021-10-31","505","505","505","505","0.00","5048"
"NICAP","2021-10-27","505","505","505","505","0.00","663"
"NICAP","2021-09-27","505","505","505","505","0.20","18222"
"NICAP","2021-09-15","504","504","504","504","0.00","721"
"NICAP","2021-06-30","504","504","504","504","1.82","25000"
"NICAP","2021-04-08","495","495","495","495","0.00","15000"
"NICAP","2021-04-06","495","495","495","495","-1.00","7000"
"NICAP","2021-03-31","500","500","500","500","-1.96","18221"
"NICAP","2021-03-22","510","510","510","510","0.00","13921"
"NICAP","2021-03-01","510","510","510","510","0.00","3000"
"NICAP","2020-11-08","335","335","335","335","-1.47","25000"
"NICAP","2020-07-14","245","245","245","245","0.00","606"
"NICAP","2020-07-13","245","245","245","245","0.00","5520"
"NICAP","2020-07-07","245","245","245","245","-2.00","15562"
"NICAP","2020-03-22","250","250","250","250","0.00","34555"
"NICAP","2019-12-03","250","250","250","250","1.63","19490"
"NICAP","2019-11-04","246","246","246","246","0.00","5000"
"NICAP","2019-09-10","246","246","246","246","0.00","15000"
"NICAP","2019-06-27","272","272","272","272","0.00","323"
"NICAP","2019-05-20","272","272","272","272","0.00","2823"
"NICAP","2019-02-19","250","250","250","250","0.00","3225"
"NICAP","2019-01-27","250","250","250","250","0.00","30587"
"NICAP","2019-01-21","250","250","250","250","0.00","76467"
"NICAP","2019-01-16","250","250","250","250","0.00","76467"
"NICAP","2018-10-10","230","230","230","230","0.00","654"
"NICAP","2018-10-08","230","230","230","230","0.00","10546"
"NICAP","2018-07-03","175","175","175","175","0.00","11128"
"NICAP","2018-06-26","175","175","175","175","0.00","4367"
"NICAP","2018-02-26","191","191","191","191","0.00","3269"
"NICAP","2017-07-20","250","250","250","250","0.00","2996"
"NICAP","2017-07-05","250","250","250","250","0.00","7279"
"NICAP","2017-06-18","250","250","250","250","0.00","110052"
"NICAP","2016-08-31","451","451","451","451","-1.96","9180"
"NICAP","2014-11-18","577","577","577","577","0.00","1800"
"NICAP","2014-11-10","588","577","577","577","-1.87","3686"
"NICAP","2014-08-25","623","611","588","588","-5.62","44266"
"NICAP","2014-08-24","660","647","623","623","-5.61","9290"
"NICAP","2014-08-21","699","686","660","660","-5.58","4371"
"NICAP","2014-07-20","686","699","699","699","1.90","7285"
"NICAP","2014-07-16","686","686","686","686","0.00","36428"
"NICAP","2014-07-15","673","686","686","686","1.93","7286"
"NICAP","2014-03-18","673","673","673","673","0.00","5000"
"NICAP","2014-01-20","686","673","673","673","-1.90","5828"
"NICAP","2013-11-27","700","686","686","686","-2.00","8571"
"NICAP","2013-08-07","0","700","700","700","0.00","11116"
