"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"NICBF","2022-05-05","10.61","10.61","10.59","10.59","-1.94","23300"
"NICBF","2022-05-04","10.99","11","10.8","10.8","0.00","7530"
"NICBF","2022-05-02","10.85","10.85","10.58","10.8","0.47","40375"
"NICBF","2022-04-28","10.74","10.95","10.74","10.75","-1.83","30850"
"NICBF","2022-04-27","10.95","10.95","10.95","10.95","1.58","1000"
"NICBF","2022-04-26","10.89","11","10.68","10.78","0.84","42100"
"NICBF","2022-04-25","10.65","10.69","10.65","10.69","0.00","4472"
"NICBF","2022-04-24","10.89","10.89","10.49","10.69","0.09","134700"
"NICBF","2022-04-21","10.5","10.68","10.48","10.68","0.00","16700"
"NICBF","2022-04-20","10.48","10.68","10.48","10.68","1.33","1810"
"NICBF","2022-04-19","10.59","10.8","10.49","10.54","-2.41","16732"
"NICBF","2022-04-18","10.98","10.98","10.69","10.8","0.28","2400"
"NICBF","2022-04-17","10.56","10.77","10.5","10.77","1.99","18300"
"NICBF","2022-04-13","10.5","10.65","10.5","10.56","0.28","9590"
"NICBF","2022-04-12","10.4","10.55","10.4","10.53","-0.66","3900"
"NICBF","2022-04-11","10.81","10.81","10.6","10.6","0.00","47800"
"NICBF","2022-04-07","10.65","10.86","10.6","10.6","-0.47","10300"
"NICBF","2022-04-06","10.52","10.72","10.52","10.65","-0.56","3118"
"NICBF","2022-04-05","10.6","10.71","10.59","10.71","0.09","16475"
"NICBF","2022-04-04","10.7","10.91","10.7","10.7","-1.56","4318"
"NICBF","2022-04-03","10.85","10.87","10.85","10.87","0.00","10100"
"NICBF","2022-03-31","11","11","10.87","10.87","-3.03","9100"
"NICBF","2022-03-30","11.1","11.21","11","11.21","0.99","13100"
"NICBF","2022-03-29","11","11.1","10.95","11.1","-1.07","65100"
"NICBF","2022-03-28","11.2","11.22","11.2","11.22","0.18","4400"
"NICBF","2022-03-27","11.21","11.21","11.15","11.2","-0.62","5400"
"NICBF","2022-03-24","11.1","11.27","11.04","11.27","0.27","25975"
"NICBF","2022-03-23","11.36","11.36","11.1","11.24","-0.09","31750"
"NICBF","2022-03-22","11.28","11.3","11.12","11.25","1.44","45440"
"NICBF","2022-03-21","10.77","11.18","10.77","11.09","1.28","23755"
"NICBF","2022-03-20","10.78","10.95","10.78","10.95","-0.36","13600"
"NICBF","2022-03-16","10.9","10.99","10.9","10.99","0.83","7000"
"NICBF","2022-03-15","11.1","11.1","10.88","10.9","0.00","35275"
"NICBF","2022-03-14","10.9","10.9","10.9","10.9","-1.89","1000"
"NICBF","2022-03-13","10.98","11.11","10.76","11.11","2.40","162657"
"NICBF","2022-03-10","10.5","11","10.5","10.85","2.36","24775"
"NICBF","2022-03-09","10.54","10.6","10.53","10.6","0.47","18518"
"NICBF","2022-03-07","10.7","10.7","10.55","10.55","0.09","19675"
"NICBF","2022-03-06","10.79","10.79","10.54","10.54","-0.85","16300"
"NICBF","2022-03-02","10.6","10.84","10.6","10.63","-1.57","17500"
"NICBF","2022-02-28","10.8","10.81","10.8","10.8","-0.74","16000"
"NICBF","2022-02-27","10.75","10.88","10.67","10.88","-0.64","8500"
"NICBF","2022-02-24","10.88","11.01","10.75","10.95","-1.35","21400"
"NICBF","2022-02-23","11.1","11.1","10.95","11.1","1.83","16400"
"NICBF","2022-02-22","10.9","10.9","10.9","10.9","0.74","4375"
"NICBF","2022-02-21","10.8","10.83","10.8","10.82","-0.18","1500"
"NICBF","2022-02-20","11.1","11.1","10.84","10.84","-3.21","38475"
"NICBF","2022-02-17","11","11.2","11","11.2","0.81","2000"
"NICBF","2022-02-16","11","11.22","10.92","11.11","2.87","17400"
"NICBF","2022-02-15","10.94","10.94","10.8","10.8","-3.14","1200"
"NICBF","2022-02-14","11.11","11.18","10.75","11.15","2.29","259415"
"NICBF","2022-02-13","11.1","11.1","10.9","10.9","-3.71","118300"
"NICBF","2022-02-10","11.07","11.32","11.07","11.32","1.16","12500"
"NICBF","2022-02-09","11.3","11.3","11.16","11.19","-0.80","13200"
"NICBF","2022-02-08","11.31","11.31","11.28","11.28","0.00","6700"
"NICBF","2022-02-07","11.5","11.5","11.25","11.25","-0.88","5875"
"NICBF","2022-02-06","11.35","11.35","11.35","11.35","-1.99","10200"
"NICBF","2022-02-03","11.5","11.65","11.31","11.58","0.70","14600"
"NICBF","2022-02-01","11.5","11.5","11.28","11.5","1.86","134325"
"NICBF","2022-01-31","11.26","11.45","11.26","11.29","-0.62","2700"
"NICBF","2022-01-30","11.23","11.48","11.23","11.36","-0.53","50380"
"NICBF","2022-01-27","11.3","11.42","11.29","11.42","1.24","47865"
"NICBF","2022-01-26","11.2","11.28","11.07","11.28","0.00","22350"
"NICBF","2022-01-25","11.16","11.28","11.09","11.28","1.08","72700"
"NICBF","2022-01-24","11.2","11.6","11.12","11.16","-2.11","83330"
"NICBF","2022-01-23","11.54","11.54","11.4","11.4","-1.21","16050"
"NICBF","2022-01-20","11.39","11.54","11.36","11.54","1.23","30600"
"NICBF","2022-01-19","11.42","11.5","11.39","11.4","-0.09","76000"
"NICBF","2022-01-18","11.09","11.55","11.09","11.41","1.33","95882"
"NICBF","2022-01-17","11.03","11.34","11.03","11.26","0.09","10300"
"NICBF","2022-01-16","11.2","11.35","11","11.25","0.45","115000"
"NICBF","2022-01-13","11.02","11.2","11.01","11.2","1.73","15850"
"NICBF","2022-01-12","11.15","11.4","10.96","11.01","-0.27","62425"
"NICBF","2022-01-11","11","11.04","10.93","11.04","1.75","101000"
"NICBF","2022-01-10","11","11.22","10.85","10.85","0.37","73480"
"NICBF","2022-01-09","10.97","10.97","10.81","10.81","0.28","52700"
"NICBF","2022-01-06","10.88","10.88","10.63","10.78","0.37","1400"
"NICBF","2022-01-05","10.6","10.74","10.42","10.74","0.09","8500"
"NICBF","2022-01-04","10.3","10.9","10.3","10.73","2.19","32100"
"NICBF","2022-01-02","10.3","10.65","10.3","10.5","1.94","3968"
"NICBF","2021-12-29","10.5","10.5","10.3","10.3","-1.90","21100"
"NICBF","2021-12-28","10.35","10.5","10.31","10.5","-0.10","20100"
"NICBF","2021-12-27","10.41","10.52","10.41","10.51","0.86","17600"
"NICBF","2021-12-26","10.72","10.93","10.37","10.42","-0.86","16875"
"NICBF","2021-12-23","10.79","10.79","10.5","10.51","-0.66","22875"
"NICBF","2021-12-22","10.3","10.58","10.3","10.58","1.93","13800"
"NICBF","2021-12-21","10.25","10.38","10.14","10.38","0.39","51000"
"NICBF","2021-12-20","10.3","10.34","10.14","10.34","-0.58","87325"
"NICBF","2021-12-16","10.6","10.6","10.4","10.4","0.00","9400"
"NICBF","2021-12-15","10.5","10.5","10.22","10.4","0.97","27950"
"NICBF","2021-12-14","10.39","10.39","10.29","10.3","0.98","12500"
"NICBF","2021-12-13","10.4","10.4","10.05","10.2","0.00","56500"
"NICBF","2021-12-12","10.21","10.22","10.2","10.2","-0.49","8800"
"NICBF","2021-12-09","10.13","10.33","10.13","10.25","-0.49","57550"
"NICBF","2021-12-08","10.5","10.52","10.3","10.3","-3.29","37500"
"NICBF","2021-12-07","10.45","10.65","10.45","10.65","0.47","17670"
"NICBF","2021-12-06","10.26","10.6","10.24","10.6","1.73","13615"
"NICBF","2021-12-05","10.82","10.82","10.41","10.42","-1.79","3050"
"NICBF","2021-12-02","10.8","10.8","10.6","10.61","-0.28","8850"
"NICBF","2021-11-30","10.72","10.79","10.64","10.64","0.38","14500"
"NICBF","2021-11-29","10.6","10.6","10.6","10.6","-0.75","1600"
"NICBF","2021-11-28","10.63","10.68","10.36","10.68","-1.48","26900"
"NICBF","2021-11-25","10.65","10.86","10.65","10.84","1.31","21200"
"NICBF","2021-11-24","10.7","10.73","10.56","10.7","0.00","15500"
"NICBF","2021-11-23","10.91","10.91","10.7","10.7","-0.09","300"
"NICBF","2021-11-22","10.66","10.71","10.66","10.71","-1.11","2700"
"NICBF","2021-11-21","11.05","11.05","10.83","10.83","-1.37","10800"
"NICBF","2021-11-18","10.68","10.98","10.68","10.98","1.57","10500"
"NICBF","2021-11-17","10.8","10.85","10.71","10.81","0.93","50500"
"NICBF","2021-11-16","10.46","10.78","10.46","10.71","0.66","27975"
"NICBF","2021-11-15","10.65","10.79","10.58","10.64","-0.09","83200"
"NICBF","2021-11-14","10.52","10.8","10.52","10.65","-0.37","14500"
"NICBF","2021-11-11","10.7","10.7","10.67","10.69","-0.93","15050"
"NICBF","2021-11-09","10.9","10.9","10.79","10.79","-1.91","84000"
"NICBF","2021-11-08","11.09","11.09","11","11","-0.45","30450"
"NICBF","2021-11-03","10.76","11.13","10.76","11.05","1.19","43850"
"NICBF","2021-11-02","10.98","11.19","10.92","10.92","-0.73","9300"
"NICBF","2021-11-01","10.87","11.08","10.87","11","0.18","10958"
"NICBF","2021-10-31","11.05","11.05","10.9","10.98","1.01","11920"
"NICBF","2021-10-28","10.42","11.22","10.42","10.87","2.26","28800"
"NICBF","2021-10-27","10.96","10.96","10.6","10.63","-1.12","103000"
"NICBF","2021-10-26","10.93","10.93","10.75","10.75","0.28","22400"
"NICBF","2021-10-25","10.35","10.72","10.35","10.72","2.58","29200"
