"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"NICGF","2022-05-04","11.32","11.34","11.32","11.34","-1.39","300"
"NICGF","2022-05-02","11.6","11.6","11.45","11.5","-1.54","20200"
"NICGF","2022-04-28","11.73","11.8","11.68","11.68","-1.43","85700"
"NICGF","2022-04-27","11.88","11.88","11.67","11.85","-0.42","12100"
"NICGF","2022-04-26","11.8","12.03","11.6","11.9","2.41","40650"
"NICGF","2022-04-25","11.76","11.76","11.62","11.62","-1.19","15100"
"NICGF","2022-04-24","11.4","11.99","11.4","11.76","3.98","29075"
"NICGF","2022-04-21","11.3","11.31","11.3","11.31","-1.65","5800"
"NICGF","2022-04-20","11.5","11.5","11.5","11.5","1.68","4000"
"NICGF","2022-04-19","11.5","11.5","11.3","11.31","-1.65","4780"
"NICGF","2022-04-18","11.55","11.55","11.5","11.5","1.32","900"
"NICGF","2022-04-17","11.35","11.35","11.35","11.35","-1.30","400"
"NICGF","2022-04-13","11.46","11.5","11.35","11.5","0.35","26376"
"NICGF","2022-04-12","11.46","11.55","11.46","11.46","-0.69","2624"
"NICGF","2022-04-11","11.6","11.65","11.4","11.54","0.44","38950"
"NICGF","2022-04-07","11.55","11.55","11.49","11.49","-0.43","800"
"NICGF","2022-04-06","11.54","11.56","11.47","11.54","-0.69","13900"
"NICGF","2022-04-05","11.62","11.62","11.62","11.62","-1.86","1000"
"NICGF","2022-04-04","11.85","11.98","11.84","11.84","-0.34","6600"
"NICGF","2022-04-03","11.86","12.09","11.86","11.88","0.17","6600"
"NICGF","2022-03-31","12","12","11.86","11.86","0.25","3000"
"NICGF","2022-03-30","11.61","11.83","11.61","11.83","1.28","600"
"NICGF","2022-03-29","11.74","11.8","11.68","11.68","-1.85","34393"
"NICGF","2022-03-28","11.78","11.9","11.78","11.9","0.00","5700"
"NICGF","2022-03-27","11.76","12.13","11.76","11.9","0.00","18990"
"NICGF","2022-03-24","12","12","11.9","11.9","-0.67","48900"
"NICGF","2022-03-23","12","12.08","11.91","11.98","0.67","42399"
"NICGF","2022-03-22","12.02","12.02","11.81","11.9","0.93","41000"
"NICGF","2022-03-21","11.6","11.98","11.6","11.79","3.42","73500"
"NICGF","2022-03-20","11.45","11.45","11.4","11.4","-2.15","10600"
"NICGF","2022-03-16","11.65","11.65","11.65","11.65","-1.27","100"
"NICGF","2022-03-15","11.75","11.8","11.75","11.8","0.68","52000"
"NICGF","2022-03-14","11.72","11.72","11.72","11.72","-1.92","600"
"NICGF","2022-03-13","11.4","11.95","11.4","11.95","3.55","9600"
"NICGF","2022-03-10","11.45","11.54","11.45","11.54","0.26","1000"
"NICGF","2022-03-09","11.61","11.62","11.51","11.51","-1.62","21850"
"NICGF","2022-03-06","11.7","11.7","11.7","11.7","1.74","1000"
"NICGF","2022-03-02","11.7","11.7","11.5","11.5","-1.88","28500"
"NICGF","2022-02-28","11.73","11.73","11.72","11.72","-0.34","4100"
"NICGF","2022-02-27","11.75","11.76","11.71","11.76","-1.42","15000"
"NICGF","2022-02-24","11.7","11.93","11.7","11.93","0.51","3600"
"NICGF","2022-02-23","12","12","11.87","11.87","0.17","6000"
"NICGF","2022-02-22","11.8","11.85","11.8","11.85","0.17","5100"
