"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"NICL","2022-05-05","682.1","693","660","660","-5.04","12575"
"NICL","2022-05-04","680","720","674","695","0.36","6774"
"NICL","2022-05-02","719","719","689","692.5","-1.91","8766"
"NICL","2022-04-28","732","732","705","706","-2.49","5775"
"NICL","2022-04-27","702.1","724.9","702","724","1.13","5505"
"NICL","2022-04-26","740","740","706","715.9","-1.39","6293"
"NICL","2022-04-25","749","779.1","717","726","-1.22","11071"
"NICL","2022-04-24","724","749","715","735","3.52","9178"
"NICL","2022-04-21","700","714","695","710","1.00","3145"
"NICL","2022-04-20","751.6","751.6","697.1","703","-4.60","7458"
"NICL","2022-04-19","737.9","738","720","736.9","1.64","5166"
"NICL","2022-04-18","745","764.4","725","725","-3.33","6262"
"NICL","2022-04-17","773","776","749.8","750","-1.46","9874"
"NICL","2022-04-13","775","776","746","761.1","0.00","13132"
"NICL","2022-04-12","772","778","741.9","761.1","-3.18","12832"
"NICL","2022-04-11","821","821","786","786.1","-2.35","7938"
"NICL","2022-04-07","805","810","791","805","1.63","15508"
"NICL","2022-04-06","782.1","810","776.1","792.1","-0.55","20973"
"NICL","2022-04-05","802.1","810","780","796.5","-2.66","51175"
"NICL","2022-04-04","813.4","840","813.4","818.3","-1.41","11065"
"NICL","2022-04-03","838","840","827","830","-0.95","1257"
"NICL","2022-03-31","860","867","838","838","-1.41","8223"
"NICL","2022-03-30","828","860","828","850","0.64","18184"
"NICL","2022-03-29","850","854","824.1","844.6","0.07","27231"
"NICL","2022-03-28","864.9","868","841.6","844","-2.43","20299"
"NICL","2022-03-27","899.6","934","865","865","-1.93","107301"
"NICL","2022-03-24","843","885","829","882","4.63","40459"
"NICL","2022-03-23","831","845","829","843","0.48","26940"
"NICL","2022-03-22","850","850","835","839","-0.83","9839"
"NICL","2022-03-21","830","846.6","823.2","846","2.53","12017"
"NICL","2022-03-20","856","856","818","825.1","-1.77","17942"
"NICL","2022-03-16","830","844","828.5","840","0.60","15691"
"NICL","2022-03-15","819","841","805","835","1.21","23298"
"NICL","2022-03-14","828","840","811","825","0.01","5641"
"NICL","2022-03-13","790","830","785","824.9","5.08","17069"
"NICL","2022-03-10","740.1","790","740.1","785","4.95","16778"
"NICL","2022-03-09","764","764","745","748","-1.97","13944"
"NICL","2022-03-07","776","776.8","762","763","-0.65","4189"
"NICL","2022-03-06","791.5","791.5","761.1","768","-1.03","8115"
"NICL","2022-03-02","792.1","798","775","776","-3.84","12649"
"NICL","2022-02-28","830","830","797","807","-1.34","8094"
"NICL","2022-02-27","802","822","802","818","0.49","8111"
"NICL","2022-02-24","835","835","810","814","-3.55","18540"
"NICL","2022-02-23","840.1","845","836","844","-0.47","5622"
"NICL","2022-02-22","860","860","848","848","0.24","12119"
"NICL","2022-02-21","854.9","855","834","846","0.71","15046"
"NICL","2022-02-20","845.8","850","822","840","-2.67","30842"
"NICL","2022-02-17","873","873","860","863","-0.58","13485"
"NICL","2022-02-16","877","894.5","860","868","-1.03","29453"
"NICL","2022-02-15","846","877","846","877","3.06","13848"
"NICL","2022-02-14","855","887.4","850","851","-2.18","48473"
"NICL","2022-02-13","891.3","892","861","870","-4.33","46431"
"NICL","2022-02-10","912","917.8","907.9","909.4","-0.07","27640"
"NICL","2022-02-09","920.1","923","902.2","910","-1.09","36600"
"NICL","2022-02-08","903","937.3","895.1","920","0.00","174713"
"NICL","2022-02-07","890","900","882","886.1","1.22","26882"
"NICL","2022-02-06","902","902","875.2","875.4","-3.09","22468"
"NICL","2022-02-03","892","920","892","903.3","1.27","66976"
"NICL","2022-02-01","880","895","877.1","892","0.22","29862"
"NICL","2022-01-31","894.1","896","883","890","-0.34","23790"
"NICL","2022-01-30","871","906","871","893","4.57","49696"
"NICL","2022-01-27","867","867","848","854","0.40","24536"
"NICL","2022-01-26","867","867","842.8","850.6","-2.23","50158"
"NICL","2022-01-25","854.7","888","845","870","-0.23","27609"
"NICL","2022-01-24","885.1","900","864","872","-3.43","67529"
"NICL","2022-01-23","907","913","895","903","0.00","38077"
"NICL","2022-01-20","874.9","903","862","903","3.91","31141"
"NICL","2022-01-19","885","894","862.1","869","-0.69","33489"
"NICL","2022-01-18","898","904","875","875","-2.56","23053"
"NICL","2022-01-17","914","914","884","898","-0.22","25511"
"NICL","2022-01-16","881","915","890","900","2.16","45410"
"NICL","2022-01-13","870","890","859","881","2.09","49377"
"NICL","2022-01-12","900","900","861","863","-2.92","46295"
"NICL","2022-01-11","845","897","845","889","5.46","84592"
