"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"NICSF","2022-05-05","8.54","8.87","8.5","8.86","1.84","16750"
"NICSF","2022-05-04","8.33","8.7","8.33","8.7","2.35","4758"
"NICSF","2022-05-02","8.48","8.5","8.48","8.5","-1.51","1200"
"NICSF","2022-04-28","8.55","8.7","8.55","8.63","-0.80","3600"
"NICSF","2022-04-27","8.77","8.77","8.7","8.7","-2.68","1100"
"NICSF","2022-04-26","8.6","8.94","8.6","8.94","1.94","30700"
"NICSF","2022-04-25","8.43","8.77","8.43","8.77","1.98","3300"
"NICSF","2022-04-24","8.22","8.62","8.22","8.6","3.61","9300"
"NICSF","2022-04-21","8.24","8.34","8.21","8.3","-0.60","2600"
"NICSF","2022-04-20","8.4","8.5","8.35","8.35","0.48","21600"
"NICSF","2022-04-19","8.28","8.43","8.22","8.31","-1.07","8600"
"NICSF","2022-04-18","8.39","8.5","8.23","8.4","-1.87","31942"
"NICSF","2022-04-17","8.53","8.6","8.53","8.56","-1.61","11500"
"NICSF","2022-04-13","8.7","8.7","8.63","8.7","-1.14","3275"
"NICSF","2022-04-12","8.4","8.8","8.4","8.8","3.53","4600"
"NICSF","2022-04-11","8.6","8.6","8.45","8.5","-2.86","10700"
"NICSF","2022-04-07","8.58","8.8","8.58","8.75","0.00","8575"
"NICSF","2022-04-06","8.58","8.75","8.58","8.75","0.00","2000"
"NICSF","2022-04-05","8.56","8.75","8.43","8.75","0.34","29000"
"NICSF","2022-04-04","9.07","9.07","8.55","8.72","-2.02","9000"
"NICSF","2022-04-03","9","9","8.67","8.9","-0.56","28400"
"NICSF","2022-03-31","8.76","8.95","8.75","8.95","0.56","16700"
"NICSF","2022-03-30","9.16","9.16","8.82","8.9","-1.11","8070"
"NICSF","2022-03-29","9.12","9.12","8.69","9","0.56","2750"
"NICSF","2022-03-28","8.68","9.1","8.68","8.95","1.36","6800"
"NICSF","2022-03-27","9","9.17","8.83","8.83","-1.34","36850"
"NICSF","2022-03-24","9","9.12","8.85","8.95","0.00","15390"
"NICSF","2022-03-23","8.86","9.1","8.86","8.95","-0.56","8460"
"NICSF","2022-03-22","9.05","9.12","8.92","9","0.56","63500"
"NICSF","2022-03-21","8.9","9.06","8.88","8.95","0.56","5000"
"NICSF","2022-03-20","9.07","9.07","8.77","8.9","0.00","2600"
"NICSF","2022-03-16","8.9","9.07","8.73","8.9","0.45","5100"
"NICSF","2022-03-15","8.73","9.22","8.73","8.86","-0.34","18540"
"NICSF","2022-03-14","9.11","9.11","8.84","8.89","-1.11","1200"
"NICSF","2022-03-13","8.89","9","8.72","8.99","1.12","12100"
"NICSF","2022-03-10","8.62","8.91","8.45","8.89","3.13","25000"
"NICSF","2022-03-09","8.74","8.74","8.53","8.62","-1.26","13725"
"NICSF","2022-03-07","8.75","8.8","8.72","8.73","-0.23","1200"
"NICSF","2022-03-06","8.7","8.9","8.7","8.75","0.00","13378"
"NICSF","2022-03-02","8.75","8.8","8.65","8.75","0.00","13800"
"NICSF","2022-02-28","8.65","9.1","8.65","8.75","-0.57","11300"
