"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"NIFRA","2022-05-05","293","295","285","286.5","-1.92","121469"
"NIFRA","2022-05-04","296","299","290","292.1","-1.08","99614"
"NIFRA","2022-05-02","302","302","295","295.3","-2.09","125585"
"NIFRA","2022-04-28","312","312","301","301.6","-1.76","114023"
"NIFRA","2022-04-27","301","309","300","307","0.49","63206"
"NIFRA","2022-04-26","310","313","303.8","305.5","-1.29","74586"
"NIFRA","2022-04-25","318","320.9","308.7","309.5","-2.64","113420"
"NIFRA","2022-04-24","300","320.9","296","317.9","6.32","152478"
"NIFRA","2022-04-21","296","302.8","290.9","299","0.91","109454"
"NIFRA","2022-04-20","300","305","295","296.3","-1.89","106913"
"NIFRA","2022-04-19","300","309","293","302","0.67","99793"
"NIFRA","2022-04-18","312","312","300","300","-3.23","122674"
"NIFRA","2022-04-17","315","320","309.5","310","-1.90","107084"
"NIFRA","2022-04-13","310.7","320","310","316","0.64","102510"
"NIFRA","2022-04-12","315","320.4","312","314","-1.41","117778"
"NIFRA","2022-04-11","330.4","337","318","318.5","-1.70","222068"
"NIFRA","2022-04-07","312","329.9","312","324","1.89","138885"
"NIFRA","2022-04-06","315","322","311.1","318","0.32","130855"
"NIFRA","2022-04-05","323.6","323.6","315","317","-2.04","138955"
"NIFRA","2022-04-04","324","328","322","323.6","-0.34","95123"
"NIFRA","2022-04-03","330","330","323","324.7","-2.05","92142"
"NIFRA","2022-03-31","337","341","330","331.5","-1.63","82958"
"NIFRA","2022-03-30","332","338.6","326","337","3.22","103888"
"NIFRA","2022-03-29","326.1","334","325","326.5","0.12","100040"
"NIFRA","2022-03-28","333","334.9","326","326.1","-1.78","134867"
"NIFRA","2022-03-27","337","343","331","332","-2.35","152689"
"NIFRA","2022-03-24","349","349","340","340","-2.30","128898"
"NIFRA","2022-03-23","353.1","353.1","346.1","348","-1.44","114510"
"NIFRA","2022-03-22","353","360","353","353.1","0.03","138968"
"NIFRA","2022-03-21","360","360","347.1","353","-0.28","180026"
"NIFRA","2022-03-20","340","357","336","354","4.89","171499"
"NIFRA","2022-03-16","341","345.9","337.5","337.5","-1.32","106986"
"NIFRA","2022-03-15","350","350","340","342","-1.72","157124"
"NIFRA","2022-03-14","354","358","345","348","-1.69","82838"
"NIFRA","2022-03-13","342","356","338","354","5.36","227867"
"NIFRA","2022-03-10","323","336","319","336","4.02","185613"
"NIFRA","2022-03-09","330","333","321.5","323","-2.12","96432"
"NIFRA","2022-03-07","332","337","328","330","-0.30","107525"
"NIFRA","2022-03-06","331","338","325.1","331","0.00","129473"
"NIFRA","2022-03-02","343.9","345.9","329","331","-3.75","220597"
"NIFRA","2022-02-28","358","365","341.8","343.9","-2.02","173421"
"NIFRA","2022-02-27","354","360","345.1","351","-0.85","155707"
"NIFRA","2022-02-24","360","360.9","350","354","-1.67","235395"
"NIFRA","2022-02-23","361","367","358","360","-1.34","137830"
"NIFRA","2022-02-22","366","371","363.2","364.9","-0.27","111847"
"NIFRA","2022-02-21","368","375","362","365.9","1.22","118146"
"NIFRA","2022-02-20","369","374","355","361.5","-2.03","224491"
"NIFRA","2022-02-17","372","374","366","369","-0.81","116473"
"NIFRA","2022-02-16","384","384","367","372","-1.33","219828"
"NIFRA","2022-02-15","356.8","381","356.8","377","3.57","163852"
"NIFRA","2022-02-14","360","379.9","360","364","-0.82","303691"
"NIFRA","2022-02-13","385","385","360.7","367","-6.38","685053"
"NIFRA","2022-02-10","392","401","390","392","-1.26","329169"
"NIFRA","2022-02-09","404","405","392","397","-1.98","357001"
"NIFRA","2022-02-08","418.3","435","398","405","0.00","778107"
"NIFRA","2022-02-07","375","413","375","410.1","7.92","1227275"
"NIFRA","2022-02-06","376.5","381","365.3","380","0.93","261674"
"NIFRA","2022-02-03","383","392","376","376.5","0.13","479810"
"NIFRA","2022-02-01","386.5","386.5","372.5","376","-0.79","234316"
"NIFRA","2022-01-31","382.6","391.5","368","379","1.04","432113"
"NIFRA","2022-01-30","347.8","375.1","347.8","375.1","10.00","335843"
"NIFRA","2022-01-27","343","350","340.1","341","-0.61","110333"
"NIFRA","2022-01-26","354","354","339","343.1","-2.94","162777"
"NIFRA","2022-01-25","358","362","342","353.5","-0.70","160557"
"NIFRA","2022-01-24","374","374","352","356","-4.30","256935"
"NIFRA","2022-01-23","374","382","368","372","-0.53","183380"
"NIFRA","2022-01-20","372","375","366","374","1.63","217424"
"NIFRA","2022-01-19","372","373","363.1","368","-1.10","209171"
"NIFRA","2022-01-18","382","384","370.1","372.1","-2.72","263726"
"NIFRA","2022-01-17","390","396","376","382.5","-1.67","280447"
"NIFRA","2022-01-16","400","415","381.5","389","-0.99","640840"
"NIFRA","2022-01-13","380.3","400","372.9","392.9","5.36","572402"
"NIFRA","2022-01-12","340","372.9","340","372.9","10.00","443532"
"NIFRA","2022-01-11","324.3","345","317.9","339","6.60","217947"
"NIFRA","2022-01-10","316","324","314","318","0.63","165581"
"NIFRA","2022-01-09","308","320.9","308","316","2.60","152930"
"NIFRA","2022-01-06","305","311","301.8","308","0.03","72266"
"NIFRA","2022-01-05","316","320","307","307.9","-2.56","113843"
"NIFRA","2022-01-04","294.1","322","289.1","316","7.52","181835"
"NIFRA","2022-01-03","287","297","287","293.9","0.65","58152"
"NIFRA","2022-01-02","291","295","290","292","0.34","75101"
"NIFRA","2021-12-29","290","293.5","289","291","-0.31","51602"
"NIFRA","2021-12-28","290","294.9","284","291.9","-0.38","78749"
"NIFRA","2021-12-27","304.9","307.9","292","293","-2.98","83592"
"NIFRA","2021-12-26","302","310","300","302","0.00","77040"
"NIFRA","2021-12-23","301","307","296.8","302","0.33","116170"
"NIFRA","2021-12-22","290","301","290","301","3.44","100683"
"NIFRA","2021-12-21","289","294.6","287","291","0.69","52346"
"NIFRA","2021-12-20","288","292.5","284","289","0.00","51655"
"NIFRA","2021-12-16","297.6","297.7","286.2","289","-0.99","74886"
"NIFRA","2021-12-15","295.8","310","285","291.9","0.66","174205"
"NIFRA","2021-12-14","275","291","275","290","7.37","57731"
"NIFRA","2021-12-13","279","280","268.5","270.1","-4.96","134542"
"NIFRA","2021-12-12","299","301","284.2","284.2","-3.99","146644"
"NIFRA","2021-12-09","293.6","298.7","290.5","296","0.82","68966"
"NIFRA","2021-12-08","298","301","290","293.6","-1.14","70229"
"NIFRA","2021-12-07","300","313","290","297","-0.37","148038"
"NIFRA","2021-12-06","299","302","288","298.1","-0.30","158263"
"NIFRA","2021-12-05","316.2","316.2","297.1","299","-3.55","148968"
"NIFRA","2021-12-02","307.4","316","307.4","310","-1.15","71495"
"NIFRA","2021-12-01","310","316.1","310","313.6","0.35","77321"
"NIFRA","2021-11-30","317","320","308","312.5","-1.17","91375"
"NIFRA","2021-11-29","321","321","316","316.2","-1.50","81228"
"NIFRA","2021-11-28","336","336","313.6","321","-4.18","177279"
"NIFRA","2021-11-25","338.1","338.1","332","335","1.06","131504"
"NIFRA","2021-11-24","360","360","350","358","1.42","204852"
"NIFRA","2021-11-23","358.9","361","351.9","353","-1.64","84926"
"NIFRA","2021-11-22","355","363","353","358.9","0.98","128568"
"NIFRA","2021-11-21","360","364","354","355.4","-0.45","86458"
"NIFRA","2021-11-18","361","365","356.1","357","-1.24","114092"
"NIFRA","2021-11-17","365","370","360.1","361.5","0.98","113811"
"NIFRA","2021-11-16","350","367.2","350","358","0.62","76190"
"NIFRA","2021-11-15","355","365.8","355","355.8","0.23","83297"
"NIFRA","2021-11-14","368.2","375.5","355","355","-1.66","118795"
"NIFRA","2021-11-11","370","375","360","361","-3.48","114346"
"NIFRA","2021-11-09","372","385","362.6","374","0.54","242919"
"NIFRA","2021-11-08","355.9","375","355","372","6.59","253551"
"NIFRA","2021-11-03","345","352","345","349","-0.20","71443"
"NIFRA","2021-11-02","349","350","345","349.7","0.20","61891"
"NIFRA","2021-11-01","358","358","348","349","-0.68","114146"
"NIFRA","2021-10-31","350","355","349","351.4","0.75","121645"
"NIFRA","2021-10-28","353","353","347","348.8","-1.19","87422"
"NIFRA","2021-10-27","355","362","349","353","-0.56","86232"
"NIFRA","2021-10-26","345","358","345","355","2.33","129038"
"NIFRA","2021-10-25","337","347","337","346.9","2.88","81851"
"NIFRA","2021-10-24","338","344","336","337.2","-0.24","71357"
"NIFRA","2021-10-21","343","348.8","336","338","-1.31","66702"
"NIFRA","2021-10-20","338","350","338","342.5","2.24","79034"
"NIFRA","2021-10-19","345","346","332.5","335","-3.74","129619"
"NIFRA","2021-10-18","360","364","344","348","-3.33","95320"
"NIFRA","2021-10-17","368.7","368.7","354","360","-0.41","75468"
