"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"NILPO","2020-11-25","395.25","100","100","100","0.00","1070200"
"NILPO","2019-08-01","316","910","910","910","0.00","235255"
"NILPO","2016-12-20","910","910","910","910","0.00","238"
"NILPO","2016-12-04","0","0","0","200","0.00","3990"
"NILPO","2016-09-11","0","0","0","175","0.00","26597"
"NILPO","2015-12-15","0","0","0","130","0.00","209251"
"NILPO","2015-09-13","249","249","249","249","0.00","30"
"NILPO","2015-08-06","249","249","249","249","0.00","50"
"NILPO","2015-06-07","254","249","249","249","-1.97","15000"
"NILPO","2015-06-03","264","259","254","254","-3.79","20"
"NILPO","2015-06-02","279","274","264","264","-5.38","30"
"NILPO","2015-06-01","294","289","279","279","-5.10","30"
"NILPO","2015-05-28","312","306","294","294","-5.77","30"
"NILPO","2015-05-27","330","324","312","312","-5.45","30"
"NILPO","2015-05-26","140","330","330","330","0.00","10"
"NILPO","2014-10-15","140","140","140","140","0.00","225820"
"NILPO","2014-09-14","0","140","140","140","-0.68","122408"
