"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"NIL","2022-05-05","850.1","854","832.1","832.1","-3.80","6973"
"NIL","2022-05-04","873","873","851","865","-0.93","3561"
"NIL","2022-05-02","877","884","873.1","873.1","-0.22","5856"
"NIL","2022-04-28","885","892","870.2","875","0.00","3145"
"NIL","2022-04-27","860","877","860","875","0.00","1876"
"NIL","2022-04-26","885","885","867.4","875","-0.11","2807"
"NIL","2022-04-25","896","910","876","876","-2.23","5821"
"NIL","2022-04-24","877","900","873","896","4.19","5638"
"NIL","2022-04-21","865","865","837","860","-0.58","7562"
"NIL","2022-04-20","870","872","858","865","0.00","4269"
"NIL","2022-04-19","866","878.7","858","865","-0.22","6067"
"NIL","2022-04-18","871","880","865.1","866.9","-1.49","4399"
"NIL","2022-04-17","876.2","904","876.2","880","-1.57","7035"
"NIL","2022-04-13","885","901","868","894","1.79","15491"
"NIL","2022-04-12","904","904","875","878.3","-1.87","6278"
"NIL","2022-04-11","946","961.5","893","895","-3.56","11901"
"NIL","2022-04-07","917","935","917","928","1.20","11491"
"NIL","2022-04-06","926","940","909.6","917","-2.76","11851"
"NIL","2022-04-05","970","971","937","943","-2.48","9597"
"NIL","2022-04-04","983","989","964","967","-1.63","10142"
"NIL","2022-04-03","1000","1000","975","983","-1.70","9883"
"NIL","2022-03-31","1025","1025","999","1000","-0.99","6147"
"NIL","2022-03-30","982","1010","975","1010","2.12","8956"
"NIL","2022-03-29","1000","1004","985","989","0.00","5132"
"NIL","2022-03-28","1015","1015","981","989","-2.56","23483"
"NIL","2022-03-27","1054","1076","1015","1015","-1.84","44236"
"NIL","2022-03-24","1039.9","1045.2","1012","1034","0.78","12665"
"NIL","2022-03-23","1057","1057","1020","1026","-1.07","5942"
"NIL","2022-03-22","1030","1045","1030","1037.1","0.69","7473"
"NIL","2022-03-21","1010.1","1035","1003","1030","0.68","13089"
"NIL","2022-03-20","1044","1044","1008","1023","-0.10","15505"
"NIL","2022-03-16","1040","1040","1015","1024","-0.10","14572"
"NIL","2022-03-15","1064","1064.3","1021","1025","-1.77","23820"
"NIL","2022-03-14","1200","1208","1180","1200","1.18","10655"
"NIL","2022-03-13","1145","1186","1145","1186","4.96","18446"
"NIL","2022-03-10","1095","1130.7","1085","1130","2.87","9745"
"NIL","2022-03-09","1108","1111","1085.1","1098.5","-0.14","6746"
"NIL","2022-03-07","1095","1110","1094","1100","0.64","11958"
"NIL","2022-03-06","1104","1104","1083","1093","0.92","10474"
"NIL","2022-03-02","1111","1111","1080","1083","-0.64","16063"
"NIL","2022-02-28","1110","1115","1080","1090","-0.91","10678"
"NIL","2022-02-27","1135","1135","1090.3","1100","-1.43","10530"
"NIL","2022-02-24","1140","1140","1105","1116","-2.11","12264"
"NIL","2022-02-23","1170","1170","1136","1140","-1.62","9351"
"NIL","2022-02-22","1155","1166","1146","1158.8","1.29","8621"
"NIL","2022-02-21","1155","1168","1130","1144","-0.10","17686"
"NIL","2022-02-20","1161.3","1184","1140","1145.1","-3.37","22433"
"NIL","2022-02-17","1193","1199","1176","1185","1.28","10314"
"NIL","2022-02-16","1190","1214.5","1170","1170","-2.82","11405"
"NIL","2022-02-15","1215","1215","1179","1204","1.01","10432"
"NIL","2022-02-14","1230","1230","1189.1","1192","-1.49","17564"
"NIL","2022-02-13","1240","1240","1195","1210","-4.26","30195"
"NIL","2022-02-10","1260","1285","1255","1263.9","-0.17","11051"
"NIL","2022-02-09","1276","1289","1255","1266","-0.78","14816"
"NIL","2022-02-08","1313","1314","1269.1","1276","0.00","18837"
"NIL","2022-02-07","1260","1327","1260","1287.4","0.89","18372"
"NIL","2022-02-06","1295","1295","1275","1276","-1.77","12426"
"NIL","2022-02-03","1326","1326","1294","1299","-0.08","39543"
"NIL","2022-02-01","1291","1300","1280","1300","0.70","15747"
"NIL","2022-01-31","1324","1324","1285","1291","-1.38","23025"
"NIL","2022-01-30","1297.4","1323","1290","1309","2.91","34585"
"NIL","2022-01-27","1249","1295.4","1249","1272","1.76","26877"
"NIL","2022-01-26","1255","1276","1231.1","1250","-1.26","26513"
"NIL","2022-01-25","1275","1294","1264.1","1266","-0.71","20865"
"NIL","2022-01-24","1309","1309","1265","1275","-2.75","47730"
"NIL","2022-01-23","1326","1332","1299","1311","0.31","35352"
"NIL","2022-01-20","1290","1309","1270","1307","2.59","35949"
"NIL","2022-01-19","1295","1308","1270.1","1274","-1.24","36791"
"NIL","2022-01-18","1340","1340","1284","1290","-2.49","48203"
"NIL","2022-01-17","1366","1375","1314.1","1323","-1.27","73084"
"NIL","2022-01-16","1315","1380","1336","1340","1.90","47848"
"NIL","2022-01-13","1250","1340","1250","1315","5.96","47814"
"NIL","2022-01-12","1281","1295","1241","1241","-3.05","38802"
"NIL","2022-01-11","1255","1294","1241","1280","2.40","34353"
"NIL","2022-01-10","1210.3","1254.6","1210.3","1250","2.04","39152"
"NIL","2022-01-09","1205","1243","1205","1225","2.17","34745"
"NIL","2022-01-06","1175","1205","1162.3","1199","2.04","20631"
"NIL","2022-01-05","1180","1213","1170","1175","-2.08","17931"
"NIL","2022-01-04","1185","1220","1184","1200","0.00","12984"
"NIL","2022-01-03","1215","1230","1172","1200","0.59","35157"
"NIL","2022-01-02","1132.1","1195","1132","1193","4.19","26952"
"NIL","2021-12-29","1115","1152.6","1115","1145","1.96","13960"
"NIL","2021-12-28","1120","1141","1097.6","1123","-1.66","21547"
"NIL","2021-12-27","1236","1250","1139","1142","-5.78","46463"
"NIL","2021-12-26","1127","1215","1113.5","1212","9.68","42263"
"NIL","2021-12-23","1043","1115","1027","1105","8.02","33290"
"NIL","2021-12-22","1009","1038","1000","1023","3.33","11229"
"NIL","2021-12-21","988.3","1008","975","990","2.17","8707"
"NIL","2021-12-20","979","990","950","969","-2.12","12057"
"NIL","2021-12-16","995","1009","988","990","-1.98","12462"
"NIL","2021-12-15","1037.3","1085.1","999.6","1010","-0.69","21013"
"NIL","2021-12-14","974","1017","973.1","1017","6.38","5622"
"NIL","2021-12-13","996","996","955","956","-4.02","22197"
"NIL","2021-12-12","1042.1","1045","994.7","996","-4.41","15551"
"NIL","2021-12-09","1037","1053","1029","1042","0.48","8631"
"NIL","2021-12-08","1075","1075","1035","1037","-2.63","13916"
"NIL","2021-12-07","1091.2","1120","1065","1065","-0.46","17758"
"NIL","2021-12-06","1076","1095","1030","1069.9","-0.57","25489"
"NIL","2021-12-05","1109.1","1125","1075","1076","-4.36","28654"
"NIL","2021-12-02","1184","1184","1119.3","1125","-3.10","17598"
"NIL","2021-12-01","1182","1182","1155","1161","0.17","6560"
"NIL","2021-11-30","1144","1164.8","1140.1","1159","0.35","13088"
"NIL","2021-11-29","1157","1195.5","1143","1155","-2.04","15966"
"NIL","2021-11-28","1186.8","1213.8","1139.1","1179","-2.64","32861"
"NIL","2021-11-25","1225","1239","1210","1211","-0.49","6188"
"NIL","2021-11-24","1212.1","1226","1202","1217","-0.41","17229"
"NIL","2021-11-23","1267","1267","1212","1222","-1.77","12616"
"NIL","2021-11-22","1225","1259","1225","1244","1.14","11981"
"NIL","2021-11-21","1230","1240","1219","1230","0.08","16080"
"NIL","2021-11-18","1237","1251","1228","1229","-1.68","17174"
"NIL","2021-11-17","1260","1280","1250","1250","-0.79","18615"
"NIL","2021-11-16","1263","1269","1240","1260","-0.24","27664"
"NIL","2021-11-15","1269","1279","1255","1263","1.45","8397"
"NIL","2021-11-14","1236","1270","1235","1245","-0.72","16726"
"NIL","2021-11-11","1255","1281","1251","1254","-2.03","15495"
"NIL","2021-11-09","1301","1319.9","1275","1280","-3.32","26492"
"NIL","2021-11-08","1350","1350","1324","1324","-1.93","13401"
"NIL","2021-11-03","1400","1400","1348","1350","-1.82","9060"
"NIL","2021-11-02","1330","1380","1328","1375","2.08","16111"
"NIL","2021-11-01","1355.1","1370","1325.1","1347","-0.52","18259"
"NIL","2021-10-31","1310","1354","1298","1354","4.39","19558"
"NIL","2021-10-28","1300","1320","1292","1297","-0.99","11564"
"NIL","2021-10-27","1310","1360","1298","1310","0.31","34968"
"NIL","2021-10-26","1300","1325","1299","1306","2.43","17083"
"NIL","2021-10-25","1230","1275","1230","1275","4.34","11867"
"NIL","2021-10-24","1210","1243","1210","1222","0.25","3034"
"NIL","2021-10-21","1224","1229","1212","1219","-0.41","7782"
"NIL","2021-10-20","1217.9","1243","1217.9","1224","0.74","7830"
"NIL","2021-10-19","1249","1252.6","1200","1215","-3.00","17338"
"NIL","2021-10-18","1290","1290","1250","1252.6","-2.75","12772"
"NIL","2021-10-17","1280","1304","1254.4","1288","0.63","5180"
"NIL","2021-10-11","1281","1281","1255","1280","0.00","8088"
"NIL","2021-10-10","1296","1328","1280","1280","0.71","12404"
"NIL","2021-10-06","1245","1279","1237","1271","2.75","13767"
"NIL","2021-10-05","1210","1242","1209","1237","1.98","10730"
"NIL","2021-10-04","1201","1230","1187","1213","0.25","16150"
"NIL","2021-10-03","1220","1244","1206","1210","-0.81","23458"
"NIL","2021-09-30","1240","1244","1215","1219.9","-0.01","18446"
"NIL","2021-09-29","1220","1239","1182","1220","1.24","19138"
"NIL","2021-09-28","1243","1267","1196","1205","-3.06","28524"
"NIL","2021-09-27","1290","1290","1243","1243","-3.87","26569"
"NIL","2021-09-26","1305","1314","1290","1293","-1.67","12314"
"NIL","2021-09-23","1365","1375","1275","1315","-1.79","21924"
"NIL","2021-09-22","1314","1340","1314","1339","3.88","18525"
"NIL","2021-09-21","1280","1326","1220","1289","0.55","35523"
"NIL","2021-09-20","1340","1340","1280","1282","-3.97","39288"
"NIL","2021-09-16","1350","1359","1325","1335","-2.55","41001"
"NIL","2021-09-15","1385","1390","1360","1370","-1.08","16599"
"NIL","2021-09-14","1405","1417","1380","1385","-0.36","21381"
"NIL","2021-09-13","1394","1425","1388","1390","1.46","16045"
"NIL","2021-09-12","1381.9","1392","1358","1370","1.11","19839"
"NIL","2021-09-09","1375","1397","1350","1355","-1.09","23873"
"NIL","2021-09-08","1390","1399","1359","1370","-2.70","29078"
"NIL","2021-09-07","1473.9","1473.9","1389","1408","-2.56","26048"
"NIL","2021-09-06","1365","1449","1356","1445","5.24","32131"
"NIL","2021-09-05","1400","1408","1333","1373","-2.97","47383"
"NIL","2021-09-02","1450","1450","1398","1415","-2.14","35990"
"NIL","2021-09-01","1461","1485","1446","1446","-1.03","33112"
"NIL","2021-08-31","1500","1500","1455","1461","-2.01","45796"
"NIL","2021-08-29","1558","1558","1490","1491","-2.74","56815"
"NIL","2021-08-26","1560","1565","1529","1533","-0.97","53429"
"NIL","2021-08-25","1620","1620","1538","1548","-2.87","72014"
"NIL","2021-08-24","1547.3","1620","1547.3","1593.8","5.06","193650"
"NIL","2021-08-19","1494.3","1564","1466","1517","3.55","121468"
"NIL","2021-08-18","1479.3","1479.3","1440","1465","0.69","43487"
"NIL","2021-08-17","1481","1481","1455","1455","0.21","52256"
"NIL","2021-08-16","1450","1521","1441","1452","1.22","42617"
"NIL","2021-08-15","1446","1446","1405.6","1434.5","-0.80","26433"
"NIL","2021-08-12","1451","1479","1445","1446","-0.34","29314"
"NIL","2021-08-11","1480","1480","1450","1451","-0.96","32876"
"NIL","2021-08-10","1445","1490","1444","1465","1.67","36346"
