"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"NLBBL","2022-05-05","955","980","950","967","-0.55","2297"
"NLBBL","2022-05-04","970","990","970","972.3","-1.69","2279"
"NLBBL","2022-05-02","985","990","975","989","0.41","2064"
"NLBBL","2022-04-28","1004","1009","985","985","-0.51","2343"
"NLBBL","2022-04-27","1004","1004","980","990","-1.00","569"
"NLBBL","2022-04-26","1005","1010","1000","1000","0.50","230"
"NLBBL","2022-04-25","1010","1014","995","995","-1.00","748"
"NLBBL","2022-04-24","984","1010","983","1005","4.15","1643"
"NLBBL","2022-04-21","982","982","956","965","-0.52","1343"
"NLBBL","2022-04-20","995","996","960","970","-2.02","3000"
"NLBBL","2022-04-19","987","1001","980","990","0.30","1376"
"NLBBL","2022-04-18","987","988","969","987","0.71","987"
"NLBBL","2022-04-17","992","992","980","980","-0.01","839"
"NLBBL","2022-04-13","973","998","971","980.1","0.52","2622"
"NLBBL","2022-04-12","1000","1020","975","975","-2.50","3912"
"NLBBL","2022-04-11","1045","1050","990","1000","-3.57","3058"
"NLBBL","2022-04-07","1000","1052.6","990","1037","3.71","2174"
"NLBBL","2022-04-06","975","1000","975","999.9","0.90","2328"
"NLBBL","2022-04-05","994","1009.8","980.5","991","-1.59","4658"
"NLBBL","2022-04-04","1025","1025","1006","1007","0.20","826"
"NLBBL","2022-04-03","1010","1020","1005","1005","-1.57","2513"
"NLBBL","2022-03-31","1069.9","1069.9","1021","1021","-2.76","1516"
"NLBBL","2022-03-30","1038","1050","1020","1050","1.94","1868"
"NLBBL","2022-03-29","1015.2","1030","1015","1030","0.00","937"
"NLBBL","2022-03-28","1030","1035.3","1006","1030","-1.58","2189"
"NLBBL","2022-03-27","1078.1","1078.1","1041","1046.5","-4.86","4900"
"NLBBL","2022-03-24","1085","1129","1068.1","1100","2.51","1776"
"NLBBL","2022-03-23","1088","1090","1073.1","1073.1","-1.82","2440"
"NLBBL","2022-03-22","1074.5","1094","1073","1093","1.86","5460"
"NLBBL","2022-03-21","1048","1086","1045","1073","1.23","2980"
"NLBBL","2022-03-20","1062.1","1075","1056","1060","-1.38","2597"
"NLBBL","2022-03-16","1065","1074.8","1057","1074.8","0.45","2214"
"NLBBL","2022-03-15","1091","1091","1059","1070","-1.20","2633"
"NLBBL","2022-03-14","1070","1083","1067","1083","0.00","970"
"NLBBL","2022-03-13","1069.7","1090","1048","1083","3.26","5640"
"NLBBL","2022-03-10","1010","1048.8","990","1048.8","5.30","5546"
"NLBBL","2022-03-09","1020","1033.9","995","996","-1.87","2543"
"NLBBL","2022-03-07","1050","1050","1014.3","1015","-1.93","4224"
"NLBBL","2022-03-06","1065","1070","1028.5","1035","-1.88","5621"
"NLBBL","2022-03-02","1053","1068","1023","1054.8","-1.71","6528"
"NLBBL","2022-02-28","1100.1","1115","1065","1073.1","-2.45","6283"
"NLBBL","2022-02-27","1107","1115","1098","1100","-2.48","4826"
"NLBBL","2022-02-24","1137","1142","1120","1128","-2.76","6078"
"NLBBL","2022-02-23","1187.9","1187.9","1155","1160","-1.28","589"
"NLBBL","2022-02-22","1160","1175","1150.6","1175","0.09","3362"
"NLBBL","2022-02-21","1173.9","1178.1","1143.1","1174","2.00","2262"
"NLBBL","2022-02-20","1199","1199","1150","1151","-3.76","4301"
"NLBBL","2022-02-17","1224","1230","1185","1196","-2.29","1401"
"NLBBL","2022-02-16","1184","1224","1174","1224","1.32","6819"
"NLBBL","2022-02-15","1135","1208","1125","1208","6.06","5815"
"NLBBL","2022-02-14","1155","1156.5","1117","1139","0.35","4582"
"NLBBL","2022-02-13","1172","1172","1123","1135","-3.90","11808"
"NLBBL","2022-02-10","1225","1225","1181","1181","-3.20","3212"
"NLBBL","2022-02-09","1201","1224.9","1200","1220","-0.41","3483"
"NLBBL","2022-02-08","1252","1252","1185.8","1225","0.00","22044"
