"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"NLG","2022-05-05","713","726","700.2","726","-0.14","7840"
"NLG","2022-05-04","743","743","725.1","727","-4.09","4674"
"NLG","2022-05-02","735.2","765","712","758","1.07","6673"
"NLG","2022-04-28","767.9","767.9","732.1","750","-1.83","7362"
"NLG","2022-04-27","765","765","735","764","1.22","1744"
"NLG","2022-04-26","745","755","740","754.8","-0.40","6478"
"NLG","2022-04-25","770","778","750","757.8","-1.33","2144"
"NLG","2022-04-24","730","793.5","723","768","4.66","5422"
"NLG","2022-04-21","722","735","698","733.8","1.49","4327"
"NLG","2022-04-20","745","745","720.3","723","-2.30","1556"
"NLG","2022-04-19","730","750","727","740","0.00","2825"
"NLG","2022-04-18","736","749","734","740","-1.33","2065"
"NLG","2022-04-17","768","768","735.1","750","-2.34","3008"
"NLG","2022-04-13","752","770","730","768","1.69","6113"
"NLG","2022-04-12","796.6","796.6","755.1","755.2","-3.30","2282"
"NLG","2022-04-11","781","809","780.9","781","-1.98","6286"
"NLG","2022-04-07","790","798","775","796.8","1.13","4954"
"NLG","2022-04-06","792","799.9","776","787.9","-2.48","6742"
"NLG","2022-04-05","795","815","768.4","807.9","0.99","9522"
"NLG","2022-04-04","841","841","785","800","-3.03","23737"
"NLG","2022-04-03","830","830","812","825","-2.02","9377"
"NLG","2022-03-31","860","860","828.3","842","-0.94","6452"
"NLG","2022-03-30","825.3","856.8","824","850","1.19","7422"
"NLG","2022-03-29","836","840","816","840","0.45","5870"
"NLG","2022-03-28","843","868","835","836.2","-1.85","16158"
"NLG","2022-03-27","879","928","852","852","-1.15","58768"
"NLG","2022-03-24","811","861.9","811","861.9","4.47","15360"
"NLG","2022-03-23","847","847","816.5","825","-0.96","2404"
"NLG","2022-03-22","837","838","823","833","0.97","3494"
"NLG","2022-03-21","814","825","800","825","1.35","4095"
"NLG","2022-03-20","805","815","773.3","814","1.87","9794"
"NLG","2022-03-16","870","886.7","870","879","1.03","37293"
"NLG","2022-03-15","884","884","853","870","0.00","13262"
"NLG","2022-03-14","879.9","880","862.4","870","0.58","2251"
"NLG","2022-03-13","843.5","865","836","865","4.59","23715"
"NLG","2022-03-10","810","828","810","827","0.85","6285"
"NLG","2022-03-09","838","838","811","820","-1.09","11077"
"NLG","2022-03-07","850","850","820","829","-0.84","3559"
"NLG","2022-03-06","836","836","816","836","1.95","5308"
"NLG","2022-03-02","833","835","816","820","-2.84","17412"
"NLG","2022-02-28","869","869","836","844","-1.62","2616"
"NLG","2022-02-27","865","865","831.1","857.9","-0.24","4152"
"NLG","2022-02-24","869","869","843","860","-1.04","7353"
"NLG","2022-02-23","871","871","858","869","1.64","9897"
"NLG","2022-02-22","850","865.9","850","855","0.71","3207"
"NLG","2022-02-21","851","864","841","849","-0.12","1838"
"NLG","2022-02-20","860.5","860.5","840","850","-3.19","7318"
"NLG","2022-02-17","890","890","872.2","878","0.23","3074"
"NLG","2022-02-16","884","899.9","875","876","0.11","11500"
"NLG","2022-02-15","870","884.5","863","875","1.45","9793"
"NLG","2022-02-14","880","880","860.1","862.5","-1.99","14547"
"NLG","2022-02-13","901.6","907","863","880","-4.35","23064"
"NLG","2022-02-10","940","940","908.3","920","-0.65","4328"
"NLG","2022-02-09","927","945","920.1","926","-2.01","7834"
"NLG","2022-02-08","963","963","930","945","0.00","11106"
"NLG","2022-02-07","951.6","959","933","945","1.29","10082"
"NLG","2022-02-06","930","959","929","933","-1.48","7925"
"NLG","2022-02-03","974","974","942.3","947","-0.84","11719"
