"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"NLICLP","2022-03-07","591","591","591","591","0.00","32430"
"NLICLP","2022-03-02","591","591","591","591","0.00","47942"
"NLICLP","2022-02-24","591","591","591","591","0.00","5647"
"NLICLP","2021-09-21","636","636","636","636","0.00","5500"
"NLICLP","2021-07-25","636","636","636","636","0.00","2680"
"NLICLP","2021-06-20","636","636","636","636","0.00","78426"
"NLICLP","2021-04-19","636","636","636","636","0.00","10000"
"NLICLP","2020-10-14","418","418","418","418","0.00","814"
"NLICLP","2020-10-01","418","418","418","418","0.00","10000"
"NLICLP","2020-07-06","323","323","323","323","-69.81","8500"
"NLICLP","2019-03-14","1070","400","400","400","0.00","196262"
"NLICLP","2018-10-25","400","400","400","400","0.00","1200"
"NLICLP","2018-06-26","700","700","700","700","1.45","1560"
"NLICLP","2018-06-24","690","690","690","690","-0.72","30000"
"NLICLP","2018-06-17","695","695","695","695","0.00","306"
"NLICLP","2017-10-18","1175","1175","1175","1175","0.26","37500"
"NLICLP","2017-10-16","1172","1172","1172","1172","-1.92","14042"
"NLICLP","2017-08-17","1225","1225","1195","1195","-4.40","28000"
"NLICLP","2017-07-11","1348","1348","1250","1250","-9.09","78000"
"NLICLP","2017-04-25","1375","1375","1375","1375","0.00","25000"
"NLICLP","2016-11-23","1686","1686","1686","1686","0.00","8700"
"NLICLP","2016-11-22","1720","1720","1686","1686","-3.93","1000"
"NLICLP","2016-11-16","1755","1755","1755","1755","0.00","3120"
"NLICLP","2016-07-10","1755","1755","1755","1755","0.00","2015"
"NLICLP","2015-09-22","1025","1025","1025","1025","1.99","13000"
"NLICLP","2015-09-10","1005","1005","1005","1005","-1.95","1620"
"NLICLP","2015-08-06","1020","1025","1025","1025","0.49","50000"
"NLICLP","2015-07-15","1000","1020","1000","1020","2.00","39000"
"NLICLP","2015-06-17","1036","1020","1000","1000","-3.47","23000"
"NLICLP","2015-06-09","1078","1057","1036","1036","-3.90","5400"
"NLICLP","2015-04-21","1078","1078","1078","1078","0.00","20850"
"NLICLP","2015-04-15","1100","1078","1078","1078","-2.00","3000"
"NLICLP","2015-04-08","1100","1100","1100","1100","0.00","40000"
"NLICLP","2015-03-11","1078","1100","1090","1100","2.04","95000"
"NLICLP","2015-03-10","980","1078","999","1078","10.00","5000"
"NLICLP","2015-01-22","980","980","980","980","0.00","1000"
"NLICLP","2014-12-14","1000","980","980","980","-2.00","2660"
"NLICLP","2014-12-11","1000","1000","1000","1000","0.00","3822"
"NLICLP","2014-12-08","1000","1000","1000","1000","0.00","16247"
"NLICLP","2014-10-27","956","1000","975","1000","4.60","35583"
"NLICLP","2014-10-26","902","956","920","956","5.99","1500"
"NLICLP","2014-10-22","851","902","868","902","5.99","1500"
"NLICLP","2014-10-21","819","851","835","851","3.91","1000"
"NLICLP","2014-10-20","773","819","788","819","5.95","1500"
"NLICLP","2014-10-19","744","773","758","773","3.90","1000"
"NLICLP","2014-10-16","702","744","716","744","5.98","1500"
"NLICLP","2014-10-15","689","730","702","702","1.89","17317"
"NLICLP","2014-10-14","650","689","663","689","6.00","1500"
"NLICLP","2014-08-28","650","650","650","650","0.00","28759"
"NLICLP","2014-08-19","650","650","650","650","0.00","28759"
"NLICLP","2014-05-28","656","650","650","650","-0.91","52000"
"NLICLP","2014-05-25","644","656","656","656","1.86","8580"
"NLICLP","2014-05-22","632","644","644","644","1.90","2200"
"NLICLP","2014-05-07","620","632","632","632","1.94","5000"
"NLICLP","2014-04-29","608","620","620","620","1.97","5000"
"NLICLP","2014-04-20","620","608","608","608","-1.94","3500"
"NLICLP","2014-03-06","620","620","620","620","0.00","8580"
"NLICLP","2014-01-16","608","620","620","620","1.97","17160"
"NLICLP","2014-01-14","620","608","608","608","-1.94","11500"
"NLICLP","2014-01-01","620","620","620","620","0.00","8580"
"NLICLP","2013-11-14","644","620","620","620","-3.73","31500"
