"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"NLICL","2022-05-05","707","715.9","705","714.6","-0.47","8824"
"NLICL","2022-05-04","715","739","715","718","-0.97","8282"
"NLICL","2022-05-02","732","732","718","725","-2.03","9821"
"NLICL","2022-04-28","767","767","740","740","-1.60","4580"
"NLICL","2022-04-27","747","755","740","752","-0.92","5347"
"NLICL","2022-04-26","752","768","745","759","-0.78","5395"
"NLICL","2022-04-25","775","787","747","765","-1.28","10937"
"NLICL","2022-04-24","741","775","741","774.9","5.29","12565"
"NLICL","2022-04-21","735.5","740","724","736","0.11","11981"
"NLICL","2022-04-20","762.9","763","735.2","735.2","-1.97","6071"
"NLICL","2022-04-19","743","758.8","731","750","1.08","9650"
"NLICL","2022-04-18","745","758.6","742","742","-1.72","5285"
"NLICL","2022-04-17","784","784","752.3","755","-1.82","9943"
"NLICL","2022-04-13","747.1","776","747.1","769","1.18","6367"
"NLICL","2022-04-12","793","793","760","760","-2.31","9554"
"NLICL","2022-04-11","810","811","770","778","-2.14","16507"
"NLICL","2022-04-07","790","815","790","795","0.39","20749"
"NLICL","2022-04-06","781.4","797","777","791.9","-0.03","12992"
"NLICL","2022-04-05","807.1","807.1","784","792.1","-2.81","32762"
"NLICL","2022-04-04","810","828","809.1","815","-0.85","14524"
"NLICL","2022-04-03","822","840","820","822","-0.96","12056"
"NLICL","2022-03-31","859.1","859.1","829","830","-1.89","5718"
"NLICL","2022-03-30","826.3","850","826","846","0.83","11132"
"NLICL","2022-03-29","857","857","825","839","-0.71","11472"
"NLICL","2022-03-28","858","862.5","838","845","-1.98","18187"
"NLICL","2022-03-27","918.1","940","861","862.1","-4.22","81475"
"NLICL","2022-03-24","870","917","870","900.1","3.46","54590"
"NLICL","2022-03-23","881.2","881.2","863.6","870","-1.27","16870"
"NLICL","2022-03-22","875","886","865","881.2","2.09","33767"
"NLICL","2022-03-21","852","868","851","863.2","0.61","9703"
"NLICL","2022-03-20","874.7","874.7","857","858","-1.15","22704"
"NLICL","2022-03-16","858","877","858","868","0.34","36952"
"NLICL","2022-03-15","843","869","828.5","865.1","2.73","41757"
"NLICL","2022-03-14","851.7","851.7","811","842.1","0.85","19401"
"NLICL","2022-03-13","806.9","836","798.7","835","5.55","44723"
"NLICL","2022-03-10","780","793","770.1","791.1","0.79","15574"
"NLICL","2022-03-09","835.3","835.3","780.1","784.9","-4.16","22410"
"NLICL","2022-03-07","835","836","811","819","-1.68","10252"
"NLICL","2022-03-06","857.14","860","826.5","833","-2.82","20128"
"NLICL","2022-03-02","1042","1046","1010.3","1020","-2.11","45727"
"NLICL","2022-02-28","1074","1074","1033","1042","-1.23","19022"
"NLICL","2022-02-27","1050","1067.9","1035","1055","1.44","14137"
"NLICL","2022-02-24","1055","1068","1035","1040","-2.80","39162"
"NLICL","2022-02-23","1085","1085","1070","1070","-0.93","10121"
"NLICL","2022-02-22","1075","1093","1073","1080","0.47","14327"
"NLICL","2022-02-21","1075","1081","1060","1075","1.11","20706"
"NLICL","2022-02-20","1055","1088","1053","1063.2","-1.01","26650"
"NLICL","2022-02-17","1093.9","1093.9","1066.2","1074","-0.92","24036"
"NLICL","2022-02-16","1088","1105","1075","1084","-0.37","16529"
"NLICL","2022-02-15","1081","1090","1065","1088","1.78","23050"
"NLICL","2022-02-14","1087","1088.7","1065","1069","0.09","28323"
"NLICL","2022-02-13","1089.8","1089.8","1047","1068","-3.96","45828"
"NLICL","2022-02-10","1102.3","1125","1100","1112","0.35","31282"
"NLICL","2022-02-09","1101.1","1122","1100.1","1108.1","-0.89","18120"
"NLICL","2022-02-08","1150","1151.5","1109","1118","0.00","39331"
"NLICL","2022-02-07","1129","1129","1113","1129","1.35","26730"
"NLICL","2022-02-06","1115","1134","1112","1114","-0.09","38584"
"NLICL","2022-02-03","1148","1148","1115","1115","-1.33","42862"
"NLICL","2022-02-01","1129","1135","1124.1","1130","-0.01","52412"
"NLICL","2022-01-31","1155","1155","1130","1130.1","-2.07","42392"
"NLICL","2022-01-30","1153.6","1174","1140.1","1154","2.03","101886"
"NLICL","2022-01-27","1142.4","1165","1129.5","1131","0.98","175444"
"NLICL","2022-01-26","1142.4","1142.4","1086","1120","0.00","72278"
"NLICL","2022-01-25","1135","1136","1100","1120","0.00","80825"
"NLICL","2022-01-24","1147.7","1150","1108","1120","-3.85","94027"
"NLICL","2022-01-23","1165","1179","1146","1164.9","0.25","75341"
"NLICL","2022-01-20","1114.1","1165","1114","1162","3.11","84489"
"NLICL","2022-01-19","1140","1150","1121","1127","-0.98","46007"
"NLICL","2022-01-18","1155","1165","1133","1138.1","0.10","61478"
"NLICL","2022-01-17","1140","1161","1120","1137","0.90","98271"
"NLICL","2022-01-16","1107","1147","1115","1126.9","1.80","91143"
"NLICL","2022-01-13","1071","1122","1070","1107","2.03","82225"
"NLICL","2022-01-12","1144","1144","1080","1085","-3.47","73818"
"NLICL","2022-01-11","1070","1133","1066","1124","4.07","99844"
"NLICL","2022-01-10","1030","1087","998","1080","6.72","155500"
"NLICL","2022-01-09","999.6","1012","982","1012","3.27","53220"
"NLICL","2022-01-06","977","985","963","980","0.31","15442"
"NLICL","2022-01-05","997","1009","972","977","-1.81","34101"
"NLICL","2022-01-04","986","1000","977","995","1.02","53778"
"NLICL","2022-01-03","990","1005","972","985","1.03","55842"
"NLICL","2022-01-02","930.1","977","929","975","3.23","37160"
"NLICL","2021-12-29","940","947","912","944.5","1.78","16136"
"NLICL","2021-12-28","912.4","937","912.4","928","-0.32","18509"
"NLICL","2021-12-27","970.5","1000","931","931","-2.15","97317"
"NLICL","2021-12-26","882","951.5","882","951.5","10.00","59640"
"NLICL","2021-12-23","849","875","840","865","1.88","29155"
"NLICL","2021-12-22","820","858.9","815","849","4.43","22827"
"NLICL","2021-12-21","809","825","794","813","2.39","5019"
"NLICL","2021-12-20","800","809","786","794","-1.00","8939"
"NLICL","2021-12-16","803.6","815","789","802","-2.20","19473"
"NLICL","2021-12-15","846","862","813.5","820","-1.23","16374"
"NLICL","2021-12-14","799.9","843","788","830.2","4.70","11210"
"NLICL","2021-12-13","785","804","780","792.9","-0.89","17302"
"NLICL","2021-12-12","844.1","844.1","800","800","-4.99","24467"
"NLICL","2021-12-09","837","849","835","842","-0.94","12513"
"NLICL","2021-12-08","878","880","848","850","-2.30","14362"
"NLICL","2021-12-07","900","918","869","870","-2.25","12322"
"NLICL","2021-12-06","894","909","865","890","1.47","20439"
"NLICL","2021-12-05","882","900","874.3","877.1","-1.45","16815"
"NLICL","2021-12-02","921.9","921.9","887","890","-1.66","23413"
"NLICL","2021-12-01","923","923","905","905","0.00","9115"
"NLICL","2021-11-30","923.1","940","893.1","905","0.00","28395"
"NLICL","2021-11-29","940","948","902","905","-1.95","34701"
"NLICL","2021-11-28","955.1","962.1","910","923","-4.45","64801"
"NLICL","2021-11-25","995","995","932.5","966","-2.13","24823"
"NLICL","2021-11-24","968.4","995","950","987","-0.10","12870"
"NLICL","2021-11-23","977.1","1000","977","988","-0.71","13071"
"NLICL","2021-11-22","1000","1009","995.1","995.1","-0.44","10819"
"NLICL","2021-11-21","1005","1018","987","999.5","-0.05","10198"
"NLICL","2021-11-18","1036.3","1036.3","999.9","1000","-1.57","22377"
"NLICL","2021-11-17","1055","1065","1016","1016","-2.31","24255"
"NLICL","2021-11-16","1015","1048","1000","1040","3.50","31269"
"NLICL","2021-11-15","987","1006.7","975","1004.8","3.77","27788"
"NLICL","2021-11-14","980","988","965","968.3","-0.38","7950"
"NLICL","2021-11-11","990","1004","965","972","-2.80","11240"
"NLICL","2021-11-09","1030","1034","990","1000","-4.49","25710"
"NLICL","2021-11-08","1063","1066","1040","1047","-0.66","14735"
"NLICL","2021-11-03","1059","1070","1045","1054","0.86","20418"
"NLICL","2021-11-02","1003","1066.4","1001","1045","2.15","26325"
"NLICL","2021-11-01","1040","1041","1007","1023","-1.45","18296"
"NLICL","2021-10-31","1015","1047","1002","1038","2.27","18883"
"NLICL","2021-10-28","1032.5","1034","996","1015","-0.98","15825"
"NLICL","2021-10-27","991.2","1037","972","1025","3.41","29546"
"NLICL","2021-10-26","970","1008.7","965","991.2","3.25","24320"
"NLICL","2021-10-25","941","964.8","930","960","4.00","15801"
"NLICL","2021-10-24","915","930","909","923.1","0.67","7381"
"NLICL","2021-10-21","930","948.6","910","917","-1.19","9326"
"NLICL","2021-10-20","915","940","915","928","3.34","9551"
"NLICL","2021-10-19","928","928","886.1","898","-3.65","25005"
"NLICL","2021-10-18","951","961","930","932","-3.13","12835"
"NLICL","2021-10-17","951","971","955.1","962.1","1.17","7569"
"NLICL","2021-10-11","974","974","930","951","-1.89","29938"
"NLICL","2021-10-10","997","997.5","961.4","969.3","-0.89","16495"
"NLICL","2021-10-06","970","984","960","978","2.42","21621"
"NLICL","2021-10-05","940","956","931","954.9","2.23","13474"
"NLICL","2021-10-04","950","950","927","934.1","-0.63","16165"
"NLICL","2021-10-03","969","969","937","940","-1.43","18401"
"NLICL","2021-09-30","980","980","953.6","953.6","-2.09","10901"
"NLICL","2021-09-29","960","977.9","925.1","974","3.40","28229"
