"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"NLICP","2022-02-14","1006","1006","1006","1006","0.00","5000"
"NLICP","2022-01-12","1006","1006","1006","1006","0.00","10000"
"NLICP","2021-11-17","1006","1006","1006","1006","0.00","1300"
"NLICP","2021-11-14","1006","1006","1006","1006","-1.95","5000"
"NLICP","2021-11-02","1026","1026","1026","1026","2.00","5000"
"NLICP","2021-09-23","1005.9","1005.9","1005.9","1005.9","2.00","22000"
"NLICP","2021-09-16","986.2","986.2","986.2","986.2","2.00","20000"
"NLICP","2021-09-09","966.9","966.9","966.9","966.9","1.99","30000"
"NLICP","2021-08-31","948","948","948","948","1.94","5000"
"NLICP","2021-08-29","930","930","930","930","0.00","2742"
"NLICP","2021-08-09","930","930","930","930","0.00","4764"
"NLICP","2021-08-08","920","930","920","930","1.09","8000"
"NLICP","2021-06-21","920","920","920","920","0.00","4278"
"NLICP","2021-06-20","920","920","920","920","0.22","17115"
"NLICP","2021-05-16","918","918","918","918","1.89","3000"
"NLICP","2021-04-06","865","901","865","901","6.12","20000"
"NLICP","2021-04-05","849","849","849","849","1.92","30000"
"NLICP","2021-04-04","833","833","833","833","1.96","10000"
"NLICP","2021-03-03","817","817","817","817","-1.92","15000"
"NLICP","2021-02-28","833","833","833","833","-2.00","15000"
"NLICP","2021-02-25","850","850","850","850","0.00","25000"
"NLICP","2021-01-26","867","867","867","867","0.02","6595"
"NLICP","2021-01-20","850","850","850","850","0.00","13000"
"NLICP","2021-01-18","850","850","850","850","0.00","1000"
"NLICP","2021-01-17","850","850","850","850","0.00","12000"
"NLICP","2021-01-13","845","850","845","850","0.01","10000"
"NLICP","2021-01-10","840","840","840","840","0.01","10000"
"NLICP","2021-01-07","830","830","830","830","0.00","3000"
"NLICP","2021-01-05","830","830","830","830","0.02","12648"
"NLICP","2020-12-28","814","814","814","814","0.02","2000"
"NLICP","2020-12-20","799","799","799","799","0.00","56288"
"NLICP","2020-12-14","799","799","799","799","0.02","10000"
"NLICP","2020-11-29","784","784","784","784","-0.02","10000"
"NLICP","2020-11-25","800","800","800","800","0.01","5000"
"NLICP","2020-10-07","790","790","790","790","1.94","4186"
"NLICP","2020-09-22","775","775","775","775","0.00","10000"
"NLICP","2020-09-21","775","775","775","775","0.00","15000"
"NLICP","2020-08-30","500","500","500","500","0.00","20000"
"NLICP","2020-02-10","500","500","500","500","-0.40","21014"
"NLICP","2020-02-09","502","502","502","502","0.40","22345"
"NLICP","2020-01-12","500","500","500","500","0.00","11000"
"NLICP","2020-01-07","500","500","500","500","-1.57","10000"
"NLICP","2019-12-08","508","508","508","508","-1.93","42000"
"NLICP","2019-11-13","518","518","518","518","0.00","20000"
"NLICP","2019-09-22","518","518","518","518","1.97","28803"
"NLICP","2019-09-11","508","508","508","508","0.00","10125"
"NLICP","2019-09-05","508","508","508","508","0.00","10000"
"NLICP","2019-08-07","524","524","524","524","-1.13","12500"
"NLICP","2019-08-01","530","530","530","530","0.00","32500"
"NLICP","2019-07-16","530","530","530","530","0.76","65000"
"NLICP","2019-07-15","526","526","526","526","0.00","48343"
"NLICP","2019-07-07","514","526","514","526","4.37","20000"
"NLICP","2019-07-01","504","504","504","504","1.82","25000"
"NLICP","2019-04-30","693","693","693","693","0.00","24024"
"NLICP","2019-01-22","532","532","532","532","0.00","15000"
"NLICP","2019-01-10","532","532","532","532","0.00","3297"
"NLICP","2019-01-03","532","532","532","532","0.00","23810"
"NLICP","2018-11-18","532","532","532","532","0.00","4150"
"NLICP","2018-11-14","757","757","532","532","-29.72","2400"
"NLICP","2018-06-19","757","757","757","757","0.00","4000"
"NLICP","2018-06-18","757","757","757","757","0.00","10000"
"NLICP","2018-06-04","772","772","757","757","-3.81","6000"
"NLICP","2018-04-26","787","787","787","787","0.00","22593"
"NLICP","2018-04-16","857","857","787","787","-9.95","1500"
"NLICP","2018-04-15","971","952","874","874","-9.99","1500"
"NLICP","2018-04-12","1057","1057","971","971","-9.93","1500"
"NLICP","2018-03-11","1100","1078","1078","1078","-2.00","1000"
"NLICP","2018-02-28","1100","1100","1100","1100","0.00","31675"
"NLICP","2018-02-27","1100","1100","1100","1100","0.00","50000"
"NLICP","2018-02-22","1100","1100","1100","1100","0.00","50000"
"NLICP","2018-02-20","1100","1100","1100","1100","0.00","51875"
"NLICP","2018-02-14","1100","1100","1100","1100","0.00","50000"
"NLICP","2018-02-11","1100","1100","1100","1100","0.00","5000"
"NLICP","2018-01-21","1100","1100","1100","1100","0.00","3612"
"NLICP","2017-12-27","1071","1100","1071","1100","4.76","100000"
"NLICP","2017-12-06","1050","1050","1050","1050","-0.85","3000"
"NLICP","2017-11-19","1080","1059","1059","1059","-1.94","5000"
"NLICP","2017-11-05","1080","1080","1080","1080","-1.82","6400"
"NLICP","2017-09-24","1100","1100","1100","1100","0.00","3000"
"NLICP","2017-09-20","1100","1100","1100","1100","0.00","100000"
"NLICP","2017-09-18","1100","1100","1100","1100","0.00","500"
