"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"NLIC","2022-05-05","907","908","890","890.3","-1.95","32718"
"NLIC","2022-05-04","921","921","908","908","-1.47","14774"
"NLIC","2022-05-02","952.6","952.6","920","921.5","-1.34","28676"
"NLIC","2022-04-28","949.9","950","933.8","934","-0.44","22681"
"NLIC","2022-04-27","942","945","935","938.1","-0.41","23108"
"NLIC","2022-04-26","940","949","938","942","0.08","13730"
"NLIC","2022-04-25","968","972","941.1","941.2","-0.93","37294"
"NLIC","2022-04-24","958.9","960","940","950","0.96","77509"
"NLIC","2022-04-21","950","950","925","941","0.16","27342"
"NLIC","2022-04-20","955","956.9","935.1","939.5","-0.90","22228"
"NLIC","2022-04-19","950","955","928","948","0.42","27822"
"NLIC","2022-04-18","955","968","944","944","-1.15","24298"
"NLIC","2022-04-17","970","973.7","951","955","0.01","33790"
"NLIC","2022-04-13","950","960","935","954.9","1.48","29560"
"NLIC","2022-04-12","951","951","925","941","0.11","33353"
"NLIC","2022-04-11","1009.8","1015","927.5","940","-5.05","174050"
"NLIC","2022-04-07","996.9","997","979","990","1.12","34304"
"NLIC","2022-04-06","985","1007.9","971","979","-1.01","45733"
"NLIC","2022-04-05","1005","1012","984","989","-2.27","82031"
"NLIC","2022-04-04","1014","1029","1011","1012","-0.39","21879"
"NLIC","2022-04-03","1033","1035","1005","1016","-1.45","40551"
"NLIC","2022-03-31","1030","1047.8","1030","1031","-0.29","38075"
"NLIC","2022-03-30","1026","1050","1014","1034","0.98","48992"
"NLIC","2022-03-29","1082","1083","1020","1024","-3.67","63695"
"NLIC","2022-03-28","1098","1098","1057.2","1063","-2.03","54127"
"NLIC","2022-03-27","1144","1161","1080","1085","-3.30","69836"
"NLIC","2022-03-24","1158.9","1159","1120","1122","-1.67","41249"
"NLIC","2022-03-23","1170.1","1175","1138","1141","-2.23","45861"
"NLIC","2022-03-22","1125","1179","1124","1167","5.18","59448"
"NLIC","2022-03-21","1106","1110","1088","1109.5","2.25","77128"
"NLIC","2022-03-20","1250","1268","1235","1237","-0.32","131065"
"NLIC","2022-03-16","1260","1279","1235","1241","-0.64","67378"
"NLIC","2022-03-15","1289.9","1295","1245","1249","-1.81","94315"
"NLIC","2022-03-14","1299","1299","1253","1272","-0.16","52110"
"NLIC","2022-03-13","1234.8","1284.1","1220","1274","5.24","155130"
"NLIC","2022-03-10","1179.9","1218","1160","1210.6","3.47","72033"
"NLIC","2022-03-09","1155","1175","1150","1170","1.30","39735"
"NLIC","2022-03-07","1170.1","1181","1152","1155","-0.35","94907"
