"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"NLO","2022-03-06","247.8","252.7","247.8","252.7","3.99","255"
"NLO","2021-07-05","316","316","316","316","4.98","10"
"NLO","2021-05-23","301","301","301","301","4.88","10"
"NLO","2021-05-20","287","287","287","287","4.74","10"
"NLO","2021-02-09","274","274","274","274","0.05","10"
"NLO","2020-12-28","261","261","261","261","0.05","10"
"NLO","2020-12-09","249","249","249","249","0.05","24"
"NLO","2020-12-02","238","238","238","238","0.04","10"
"NLO","2020-11-23","228","228","228","228","0.05","10"
"NLO","2020-11-05","218","218","218","218","4.81","10"
"NLO","2020-11-04","208","208","208","208","4.52","10"
"NLO","2020-10-18","199","199","199","199","4.74","10"
"NLO","2020-09-22","190","190","190","190","1.60","80"
"NLO","2020-02-23","187","187","187","187","1.63","3500"
"NLO","2019-07-29","217","214","214","214","0.00","8"
"NLO","2019-07-28","214","214","214","214","1.90","19"
"NLO","2019-07-25","202","210","202","210","8.81","73"
"NLO","2015-04-13","213","213","213","213","0.00","681"
"NLO","2015-01-05","209","213","213","213","1.91","17"
"NLO","2014-03-25","246","209","209","209","-15.04","178"
"NLO","2014-01-29","242","246","246","246","1.65","36"
"NLO","2012-09-13","246","242","242","242","-1.63","12"
"NLO","2012-01-08","251","246","246","246","-1.99","14"
