"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"NMB50","2022-05-05","12.55","12.64","12.55","12.64","-1.25","523"
"NMB50","2022-05-04","12.46","12.8","12.45","12.8","0.79","39200"
"NMB50","2022-05-02","12.8","12.8","12.5","12.7","0.00","8900"
"NMB50","2022-04-28","12.5","12.9","12.3","12.7","-0.39","45750"
"NMB50","2022-04-27","12.75","12.75","12.5","12.75","-1.92","4200"
"NMB50","2022-04-26","12.63","13","12.58","13","1.64","26300"
"NMB50","2022-04-25","12.8","12.8","12.79","12.79","-1.99","4233"
"NMB50","2022-04-24","12.8","13.08","12.8","13.05","3.74","33600"
"NMB50","2022-04-21","12.34","12.58","12.34","12.58","1.04","14308"
"NMB50","2022-04-20","12.5","12.6","12.36","12.45","-0.88","25500"
"NMB50","2022-04-19","12.37","12.59","12.37","12.56","-0.40","19665"
"NMB50","2022-04-18","12.41","12.61","12.4","12.61","-0.16","12810"
"NMB50","2022-04-17","12.4","12.75","12.4","12.63","-0.08","8500"
"NMB50","2022-04-13","12.27","12.64","12.27","12.64","1.77","20775"
"NMB50","2022-04-12","12.85","12.85","12.42","12.42","-3.35","51782"
"NMB50","2022-04-11","12.78","12.87","12.74","12.85","-1.15","27325"
"NMB50","2022-04-07","12.8","13.19","12.8","13","2.36","163308"
"NMB50","2022-04-06","12.26","12.7","12.26","12.7","1.60","25800"
"NMB50","2022-04-05","12.7","12.7","12.37","12.5","-1.57","33100"
"NMB50","2022-04-03","12.78","12.78","12.53","12.7","0.79","37200"
"NMB50","2022-03-31","12.33","12.6","12.3","12.6","0.40","22739"
"NMB50","2022-03-30","12.31","12.55","12.31","12.55","1.05","600"
"NMB50","2022-03-29","12.5","12.5","12.41","12.42","-1.82","101100"
"NMB50","2022-03-28","12.65","12.9","12.65","12.65","-0.39","5500"
"NMB50","2022-03-27","12.65","13","12.64","12.7","-0.55","6475"
"NMB50","2022-03-24","13","13","12.52","12.77","-1.39","35437"
"NMB50","2022-03-23","12.95","12.96","12.95","12.95","0.00","12500"
"NMB50","2022-03-22","12.71","12.95","12.61","12.95","1.89","3700"
"NMB50","2022-03-21","12.7","12.87","12.65","12.71","-1.24","14500"
"NMB50","2022-03-16","12.8","12.87","12.8","12.87","2.22","23209"
"NMB50","2022-03-15","12.35","12.6","12.29","12.59","1.94","5800"
"NMB50","2022-03-13","12.11","12.35","12.11","12.35","1.23","1300"
"NMB50","2022-03-10","12.13","12.2","12.13","12.2","0.58","2600"
"NMB50","2022-03-09","12.22","12.3","12.12","12.13","-0.49","28126"
"NMB50","2022-03-07","12.17","12.25","12.17","12.19","0.08","2900"
"NMB50","2022-03-06","12.4","12.4","12.18","12.18","-0.25","24300"
"NMB50","2022-03-02","12.32","12.32","12.2","12.21","-1.61","111729"
"NMB50","2022-02-28","12.76","12.76","12.41","12.41","-2.74","57100"
"NMB50","2022-02-27","12.76","12.77","12.76","12.76","0.08","12784"
"NMB50","2022-02-24","12.74","12.8","12.74","12.75","-0.16","54496"
"NMB50","2022-02-23","12.75","12.8","12.75","12.77","-1.01","9910"
"NMB50","2022-02-22","13","13","12.9","12.9","-0.77","935"
"NMB50","2022-02-21","12.8","13","12.75","13","1.56","30600"
"NMB50","2022-02-20","12.98","13.1","12.8","12.8","-0.23","81150"
"NMB50","2022-02-17","13.02","13.02","12.83","12.83","-0.23","1100"
"NMB50","2022-02-16","13","13","12.86","12.86","-0.69","1800"
"NMB50","2022-02-15","12.9","13","12.9","12.95","-0.38","6700"
"NMB50","2022-02-14","13.29","13.29","12.81","13","-0.23","16400"
"NMB50","2022-02-13","13.1","13.1","12.84","13.03","-2.47","24255"
"NMB50","2022-02-10","13","13.36","13","13.36","2.06","10100"
"NMB50","2022-02-09","13.04","13.1","12.9","13.09","-1.58","47440"
"NMB50","2022-02-08","13.43","13.43","13.1","13.3","0.00","116050"
"NMB50","2022-02-07","13.2","13.42","13.2","13.42","-0.07","3000"
"NMB50","2022-02-06","13.2","13.43","13.19","13.43","-0.15","7100"
"NMB50","2022-02-03","13.13","13.46","13.08","13.45","2.59","219695"
"NMB50","2022-02-01","12.86","13.11","12.86","13.11","1.08","6200"
"NMB50","2022-01-31","13.19","13.19","12.96","12.97","-1.67","16379"
"NMB50","2022-01-30","13.06","13.27","13.06","13.19","2.97","17535"
"NMB50","2022-01-27","12.72","13.31","12.63","12.81","0.00","95414"
"NMB50","2022-01-26","13.1","13.1","12.78","12.81","-1.69","218475"
"NMB50","2022-01-25","13.36","13.36","13.01","13.03","-0.53","55400"
"NMB50","2022-01-24","13.33","13.33","13.1","13.1","-3.68","195100"
"NMB50","2022-01-23","13.65","13.65","13.14","13.6","1.49","650575"
"NMB50","2022-01-20","13.3","13.4","13.28","13.4","0.00","644759"
"NMB50","2022-01-19","13.22","13.4","13.22","13.4","0.00","122431"
"NMB50","2022-01-18","13.42","13.68","13.4","13.4","-1.47","92370"
"NMB50","2022-01-17","13.3","13.6","13.29","13.6","3.98","113199"
"NMB50","2022-01-16","12.91","13.32","12.96","13.08","1.32","182848"
"NMB50","2022-01-13","13.05","13.05","12.81","12.91","0.78","35896"
"NMB50","2022-01-12","12.78","13.07","12.7","12.81","0.08","166450"
"NMB50","2022-01-11","12.97","13","12.77","12.8","-1.31","86545"
"NMB50","2022-01-10","12.47","12.97","12.4","12.97","5.96","323277"
"NMB50","2022-01-09","12.33","12.49","12.24","12.24","0.99","199400"
"NMB50","2022-01-06","11.86","12.12","11.86","12.12","1.76","83659"
"NMB50","2022-01-05","12.02","12.02","11.9","11.91","-0.75","117240"
"NMB50","2022-01-04","11.61","12.13","11.61","12","2.04","152400"
"NMB50","2022-01-03","11.78","12","11.76","11.76","1.82","26780"
"NMB50","2022-01-02","11.61","11.78","11.55","11.55","0.00","120700"
"NMB50","2021-12-29","11.37","11.58","11.37","11.55","1.58","11221"
"NMB50","2021-12-28","11.4","11.59","11.18","11.37","-0.52","89399"
"NMB50","2021-12-27","11.6","11.6","11.34","11.43","-1.30","157600"
"NMB50","2021-12-26","11.52","11.75","11.5","11.58","0.00","34220"
"NMB50","2021-12-23","12.02","12.02","11.58","11.58","-1.78","4700"
"NMB50","2021-12-22","11.51","11.79","11.51","11.79","2.52","1600"
"NMB50","2021-12-21","11.3","11.5","11.3","11.5","0.88","7600"
"NMB50","2021-12-20","11.4","11.5","11.4","11.4","-0.87","9650"
"NMB50","2021-12-16","11.3","11.5","11.3","11.5","0.00","2000"
"NMB50","2021-12-15","11.62","12.08","11.5","11.5","0.88","7430"
"NMB50","2021-12-14","11.38","11.4","11.16","11.4","0.18","51000"
"NMB50","2021-12-13","11.45","11.45","11.1","11.38","-0.61","89290"
"NMB50","2021-12-12","11.5","11.5","11.43","11.45","-0.43","26900"
"NMB50","2021-12-09","11.41","11.5","11.41","11.5","-0.95","200"
"NMB50","2021-12-08","11.57","12.03","11.57","11.61","-1.61","21220"
"NMB50","2021-12-07","11.52","11.82","11.32","11.8","2.43","67500"
"NMB50","2021-12-06","11.52","11.75","11.2","11.52","-1.96","38950"
"NMB50","2021-12-05","11.85","11.85","11.55","11.75","-2.00","10171"
"NMB50","2021-12-02","12","12.1","11.98","11.99","-0.08","548000"
"NMB50","2021-12-01","11.93","12","11.93","12","-0.08","23050"
"NMB50","2021-11-30","12","12.06","11.91","12.01","-0.25","188491"
"NMB50","2021-11-29","12","12.34","11.92","12.04","1.60","577490"
"NMB50","2021-11-28","12","12","11.85","11.85","-1.99","38000"
"NMB50","2021-11-25","11.81","12.1","11.81","12.09","0.42","26550"
"NMB50","2021-11-24","11.7","12.04","11.64","12.04","1.78","46740"
"NMB50","2021-11-23","11.8","11.85","11.8","11.83","-1.33","22400"
"NMB50","2021-11-22","11.79","11.99","11.79","11.99","0.00","1300"
"NMB50","2021-11-21","12","12.05","11.85","11.99","0.33","15450"
"NMB50","2021-11-18","11.94","11.95","11.8","11.95","-0.42","45300"
"NMB50","2021-11-17","12","12.19","12","12","-1.07","40100"
"NMB50","2021-11-16","11.79","12.13","11.79","12.13","3.15","2200"
"NMB50","2021-11-15","11.98","12.1","11.76","11.76","-1.84","77100"
"NMB50","2021-11-14","12.1","12.1","11.73","11.98","0.67","26400"
"NMB50","2021-11-11","12.2","12.2","11.9","11.9","-0.58","20800"
"NMB50","2021-11-09","12.11","12.19","11.94","11.97","-1.07","142800"
"NMB50","2021-11-08","12.27","12.27","12.1","12.1","0.50","48400"
"NMB50","2021-11-03","12.04","12.1","11.98","12.04","0.33","176100"
"NMB50","2021-11-02","12.2","12.2","11.98","12","-0.33","117295"
"NMB50","2021-11-01","12.05","12.1","12","12.04","-0.08","63160"
"NMB50","2021-10-31","12.14","12.14","12","12.05","1.18","174750"
"NMB50","2021-10-28","11.69","12.15","11.69","11.91","-0.08","22300"
"NMB50","2021-10-27","11.85","12.04","11.82","11.92","-1.08","50790"
"NMB50","2021-10-26","11.92","12.05","11.89","12.05","1.35","58000"
"NMB50","2021-10-25","11.72","11.89","11.7","11.89","3.39","25200"
"NMB50","2021-10-24","11.1","11.75","11.1","11.5","1.77","25750"
"NMB50","2021-10-21","11.35","11.35","11.3","11.3","-0.44","10000"
"NMB50","2021-10-20","11.45","11.45","11.26","11.35","0.53","79121"
"NMB50","2021-10-19","10.87","11.3","10.87","11.29","1.80","18300"
"NMB50","2021-10-18","11.32","11.4","11","11.09","-3.82","206900"
"NMB50","2021-10-17","11.75","11.65","11.53","11.53","-1.87","60200"
"NMB50","2021-10-11","11.75","11.82","11.57","11.75","0.43","80700"
"NMB50","2021-10-10","11.8","11.8","11.7","11.7","-1.60","12100"
