"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"NMBD2085","2022-02-01","990","990","990","990","0.51","200"
"NMBD2085","2022-01-26","985","985","985","985","1.55","300"
"NMBD2085","2022-01-23","970","970","970","970","-1.95","25"
"NMBD2085","2022-01-17","1009.4","1009.4","989.3","989.3","-3.95","50"
"NMBD2085","2022-01-11","1025","1030","1025","1030","0.49","75"
"NMBD2085","2022-01-10","1025","1025","1025","1025","0.00","25"
"NMBD2085","2022-01-05","1025","1025","1025","1025","0.00","25"
"NMBD2085","2022-01-03","1020","1025","1020","1025","1.99","60"
"NMBD2085","2022-01-02","1005","1005","1005","1005","0.50","50"
"NMBD2085","2021-12-27","1000","1000","1000","1000","0.65","200"
"NMBD2085","2021-12-22","993.5","993.5","993.5","993.5","0.10","25"
"NMBD2085","2021-12-21","1000","1000","992.5","992.5","-2.50","25"
"NMBD2085","2021-12-15","1010","1018","1010","1018","0.00","125"
"NMBD2085","2021-11-24","1017.9","1018","1015","1018","1.89","75"
"NMBD2085","2021-11-23","1000","1000","999.1","999.1","0.24","50"
"NMBD2085","2021-11-21","996.7","996.7","996.7","996.7","-0.38","25"
"NMBD2085","2021-11-18","1000","1000.5","999.6","1000.5","0.15","100"
"NMBD2085","2021-11-16","999","999","999","999","-0.20","25"
"NMBD2085","2021-11-14","1001","1001","1001","1001","-0.89","25"
"NMBD2085","2021-11-11","1010","1010","1010","1010","1.00","50"
"NMBD2085","2021-11-09","1000","1000","1000","1000","-1.96","25"
"NMBD2085","2021-11-08","1015","1020","1015","1020","-0.97","177"
"NMBD2085","2021-10-27","1030","1030","1030","1030","0.00","10"
