"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"NMBHF1","2022-05-05","11.83","11.83","11.76","11.76","-0.34","140309"
"NMBHF1","2022-05-04","11.7","11.8","11.7","11.8","-0.51","48057"
"NMBHF1","2022-05-02","11.73","11.86","11.73","11.86","-0.84","17496"
"NMBHF1","2022-04-28","11.97","12.22","11.92","11.96","-0.25","119742"
"NMBHF1","2022-04-27","11.72","12","11.63","11.99","0.33","13988"
"NMBHF1","2022-04-26","11.73","11.95","11.73","11.95","1.96","117634"
"NMBHF1","2022-04-25","11.5","11.72","11.5","11.72","1.91","6664"
"NMBHF1","2022-04-24","11.24","11.5","11.24","11.5","2.59","4961"
"NMBHF1","2022-04-21","11.17","11.39","11.17","11.21","-1.23","85134"
"NMBHF1","2022-04-19","11.33","11.37","11.33","11.35","0.18","8216"
"NMBHF1","2022-04-18","11.45","11.45","11.31","11.33","-1.05","15348"
"NMBHF1","2022-04-13","11.45","11.45","11.45","11.45","0.00","4161"
"NMBHF1","2022-04-12","11.55","11.55","11.45","11.45","-1.29","53050"
"NMBHF1","2022-04-11","11.6","11.6","11.6","11.6","-0.17","4410"
"NMBHF1","2022-04-06","11.64","11.64","11.62","11.62","0.00","8190"
"NMBHF1","2022-04-05","11.85","11.85","11.62","11.62","-3.01","4317"
"NMBHF1","2022-04-04","11.8","11.98","11.8","11.98","1.01","10370"
"NMBHF1","2022-03-31","11.85","11.88","11.85","11.86","-1.08","15991"
"NMBHF1","2022-03-30","11.81","11.99","11.81","11.99","3.45","5100"
"NMBHF1","2022-03-29","11.36","11.6","11.36","11.59","0.00","4232"
"NMBHF1","2022-03-28","11.57","11.59","11.57","11.59","-1.19","13296"
"NMBHF1","2022-03-27","11.78","11.78","11.7","11.73","-0.42","7077"
"NMBHF1","2022-03-24","11.74","11.78","11.74","11.78","-1.34","4576"
"NMBHF1","2022-03-23","12.12","12.12","11.91","11.94","0.34","11000"
"NMBHF1","2022-03-22","11.8","11.9","11.8","11.9","2.76","1415"
"NMBHF1","2022-03-21","11.53","11.8","11.53","11.58","0.52","15973"
"NMBHF1","2022-03-20","11.44","11.52","11.44","11.52","-1.12","3744"
"NMBHF1","2022-03-15","11.65","11.65","11.65","11.65","1.92","1832"
"NMBHF1","2022-03-14","11.43","11.43","11.43","11.43","-0.87","1184"
"NMBHF1","2022-03-13","11.36","11.72","11.36","11.53","0.26","3882"
"NMBHF1","2022-03-10","11.4","11.5","11.4","11.5","1.32","982"
"NMBHF1","2022-03-09","11.36","11.36","11.35","11.35","0.00","12080"
"NMBHF1","2022-03-07","11.37","11.39","11.35","11.35","-0.26","30926"
"NMBHF1","2022-03-06","11.56","11.56","11.38","11.38","-1.56","12736"
"NMBHF1","2022-03-02","11.58","11.58","11.56","11.56","-1.87","38308"
"NMBHF1","2022-02-28","11.7","11.78","11.55","11.78","0.86","44397"
"NMBHF1","2022-02-27","11.69","11.87","11.68","11.68","0.26","11085"
"NMBHF1","2022-02-24","11.65","11.65","11.65","11.65","-1.69","5577"
"NMBHF1","2022-02-23","11.64","11.85","11.64","11.85","1.80","7572"
"NMBHF1","2022-02-22","11.64","11.64","11.64","11.64","0.26","1000"
"NMBHF1","2022-02-21","11.66","11.66","11.61","11.61","0.00","6240"
"NMBHF1","2022-02-20","11.71","11.73","11.61","11.61","-1.36","55280"
"NMBHF1","2022-02-17","11.77","11.9","11.77","11.77","-0.17","4654"
"NMBHF1","2022-02-16","11.77","11.79","11.77","11.79","-0.59","1664"
"NMBHF1","2022-02-15","11.86","11.86","11.86","11.86","-0.08","831"
"NMBHF1","2022-02-14","12.1","12.1","11.87","11.87","-0.50","8960"
"NMBHF1","2022-02-13","11.73","11.93","11.73","11.93","-0.25","9940"
"NMBHF1","2022-02-10","12","12","11.96","11.96","-0.08","12347"
"NMBHF1","2022-02-09","11.95","11.98","11.95","11.97","-1.72","7073"
"NMBHF1","2022-02-08","11.99","12.19","11.99","12.18","0.00","20925"
"NMBHF1","2022-02-07","11.88","12","11.87","11.91","0.34","25644"
"NMBHF1","2022-02-06","11.84","11.87","11.84","11.87","-0.25","2496"
"NMBHF1","2022-02-03","12","12.2","11.9","11.9","-2.78","45444"
"NMBHF1","2022-02-01","11.66","12.24","11.66","12.24","4.53","31640"
"NMBHF1","2022-01-31","11.7","11.92","11.67","11.71","-1.60","202018"
"NMBHF1","2022-01-30","11.85","12.05","11.85","11.9","2.41","3999"
"NMBHF1","2022-01-27","12.01","12.01","11.62","11.62","-1.44","58022"
"NMBHF1","2022-01-26","11.85","12","11.78","11.79","-1.75","184909"
"NMBHF1","2022-01-25","12.1","12.1","12","12","-0.83","59329"
"NMBHF1","2022-01-24","12.16","12.19","11.92","12.1","-2.42","42041"
"NMBHF1","2022-01-23","12.25","12.4","12.1","12.4","1.22","21470"
"NMBHF1","2022-01-20","12.45","12.45","12.22","12.25","-1.61","2248"
"NMBHF1","2022-01-19","12.47","12.47","12.45","12.45","-1.97","18511"
"NMBHF1","2022-01-18","12.49","13","12.49","12.7","1.60","28524"
"NMBHF1","2022-01-17","12.15","12.5","12.15","12.5","0.97","28845"
"NMBHF1","2022-01-16","12.14","12.38","12","12.38","1.98","32053"
"NMBHF1","2022-01-13","12.17","12.17","11.93","12.14","1.59","19997"
"NMBHF1","2022-01-12","11.95","11.96","11.95","11.95","0.00","430918"
"NMBHF1","2022-01-11","11.93","12.16","11.93","11.95","0.17","20955"
"NMBHF1","2022-01-10","11.6","11.93","11.6","11.93","3.20","93384"
"NMBHF1","2022-01-09","11.56","12.03","11.56","11.56","1.85","173626"
"NMBHF1","2022-01-06","11.54","11.57","11.35","11.35","0.00","62556"
"NMBHF1","2022-01-05","11.3","11.35","11.3","11.35","-0.96","15054"
"NMBHF1","2022-01-04","11.47","11.47","11.25","11.46","1.87","17680"
"NMBHF1","2022-01-03","11.15","11.27","11.15","11.25","1.81","1700"
"NMBHF1","2022-01-02","11.2","11.2","11.01","11.05","-0.99","20761"
"NMBHF1","2021-12-29","11.2","11.2","11.16","11.16","-1.24","16413"
"NMBHF1","2021-12-28","11.42","11.42","11.3","11.3","0.89","25114"
"NMBHF1","2021-12-27","11.01","11.2","11.01","11.2","0.00","10016"
"NMBHF1","2021-12-26","11.09","11.2","11","11.2","1.82","5616"
"NMBHF1","2021-12-23","10.98","11.09","10.72","11","0.73","17500"
"NMBHF1","2021-12-21","10.71","10.92","10.71","10.92","1.20","8986"
"NMBHF1","2021-12-20","10.79","10.79","10.79","10.79","-1.82","2948"
"NMBHF1","2021-12-16","10.69","10.99","10.69","10.99","1.57","10825"
"NMBHF1","2021-12-15","10.91","10.91","10.69","10.82","-0.73","51748"
"NMBHF1","2021-12-14","10.72","10.9","10.69","10.9","1.96","50416"
"NMBHF1","2021-12-13","10.9","11","10.69","10.69","-2.82","81600"
"NMBHF1","2021-12-12","11.1","11.1","10.89","11","-0.99","46643"
"NMBHF1","2021-12-09","11.1","11.11","11.1","11.11","0.00","30409"
"NMBHF1","2021-12-08","11.14","11.14","11.1","11.11","-0.27","19225"
"NMBHF1","2021-12-07","11.09","11.23","11.09","11.14","0.45","43242"
"NMBHF1","2021-12-06","11.01","11.09","11","11.09","0.82","32766"
"NMBHF1","2021-12-05","11.11","11.11","11","11","-2.05","79700"
"NMBHF1","2021-12-02","11.66","11.66","11.1","11.23","-1.92","173989"
"NMBHF1","2021-12-01","11.47","11.5","11.4","11.45","-0.17","60262"
"NMBHF1","2021-11-30","11.44","11.47","11.44","11.47","0.44","4072"
"NMBHF1","2021-11-29","11.24","11.5","11.24","11.42","-0.35","13667"
"NMBHF1","2021-11-28","11.62","11.62","11.46","11.46","-1.38","48174"
"NMBHF1","2021-11-25","11.62","11.63","11.62","11.62","-0.68","3992"
"NMBHF1","2021-11-24","11.64","11.7","11.62","11.7","0.60","48140"
"NMBHF1","2021-11-23","11.62","11.75","11.62","11.63","-0.34","6286"
"NMBHF1","2021-11-22","11.7","11.7","11.65","11.67","0.17","16139"
"NMBHF1","2021-11-21","11.65","11.66","11.65","11.65","0.00","13430"
"NMBHF1","2021-11-18","11.63","11.65","11.63","11.65","0.17","21002"
"NMBHF1","2021-11-17","11.89","11.89","11.63","11.63","-0.34","46150"
"NMBHF1","2021-11-16","11.6","11.71","11.58","11.67","0.95","75354"
"NMBHF1","2021-11-15","11.55","11.6","11.55","11.56","0.09","8639"
"NMBHF1","2021-11-14","11.51","11.55","11.51","11.55","-0.35","54993"
"NMBHF1","2021-11-11","11.6","11.65","11.55","11.59","0.35","34600"
"NMBHF1","2021-11-09","11.8","11.81","11.55","11.55","-3.59","164768"
"NMBHF1","2021-11-08","11.75","11.98","11.75","11.98","1.87","50000"
"NMBHF1","2021-11-03","11.68","11.76","11.68","11.76","0.09","300"
"NMBHF1","2021-11-02","11.75","11.75","11.68","11.75","0.00","7180"
"NMBHF1","2021-11-01","11.75","11.99","11.75","11.75","-1.92","3100"
"NMBHF1","2021-10-31","11.79","11.98","11.56","11.98","3.63","8350"
"NMBHF1","2021-10-28","11.8","11.8","11.48","11.56","-3.18","54655"
"NMBHF1","2021-10-27","11.49","11.94","11.49","11.94","3.92","23546"
"NMBHF1","2021-10-26","11.4","11.52","11.3","11.49","1.68","121338"
"NMBHF1","2021-10-25","11.3","11.3","11.3","11.3","0.80","5825"
"NMBHF1","2021-10-24","11","11.21","10.92","11.21","1.91","31451"
"NMBHF1","2021-10-21","11","11.22","10.96","11","0.18","57828"
"NMBHF1","2021-10-20","10.98","10.98","10.83","10.98","1.95","7860"
"NMBHF1","2021-10-19","10.79","10.8","10.77","10.77","-0.74","12825"
"NMBHF1","2021-10-18","11.2","11.2","10.78","10.85","-1.36","25100"
"NMBHF1","2021-10-17","11.01","11","11","11","-0.09","1248"
"NMBHF1","2021-10-11","11.01","11.01","11.01","11.01","-1.70","1000"
"NMBHF1","2021-10-10","11","11.22","11","11.2","1.82","17409"
"NMBHF1","2021-10-06","10.9","11.2","10.9","11","1.57","21070"
"NMBHF1","2021-10-05","10.62","10.83","10.62","10.83","0.28","5909"
"NMBHF1","2021-10-04","10.8","10.81","10.8","10.8","0.00","29301"
"NMBHF1","2021-10-03","10.82","11","10.8","10.8","-0.64","101329"
"NMBHF1","2021-09-30","10.8","11","10.8","10.87","0.28","47892"
"NMBHF1","2021-09-29","11.01","11.01","10.83","10.84","0.37","79999"
"NMBHF1","2021-09-28","10.91","11","10.8","10.8","-1.46","133700"
"NMBHF1","2021-09-27","10.97","11.09","10.96","10.96","-1.17","69275"
"NMBHF1","2021-09-26","10.96","11.42","10.95","11.09","1.56","120618"
"NMBHF1","2021-09-23","11.04","11.1","10.92","10.92","-0.91","42488"
"NMBHF1","2021-09-22","10.82","11.2","10.81","11.02","1.01","84898"
"NMBHF1","2021-09-21","10.71","10.96","10.71","10.91","0.00","13684"
"NMBHF1","2021-09-20","11.13","11.16","10.54","10.91","-3.88","165656"
"NMBHF1","2021-09-16","11.5","11.5","11.24","11.35","-2.16","22032"
"NMBHF1","2021-09-15","11.6","11.62","11.6","11.6","0.87","25592"
"NMBHF1","2021-09-14","11.26","11.68","11.26","11.5","0.35","108451"
"NMBHF1","2021-09-13","11.4","11.46","11.4","11.46","-0.78","13664"
"NMBHF1","2021-09-12","11.6","11.6","11.5","11.55","-0.43","42551"
"NMBHF1","2021-09-09","11.63","11.64","11.6","11.6","-1.69","92853"
"NMBHF1","2021-09-08","12","12","11.7","11.8","-0.67","109000"
"NMBHF1","2021-09-07","11.65","11.89","11.65","11.88","1.97","71188"
"NMBHF1","2021-09-06","11.63","11.7","11.41","11.65","0.26","34618"
"NMBHF1","2021-09-05","11.57","11.8","11.57","11.62","-1.53","124158"
"NMBHF1","2021-09-02","14.22","14.22","13.72","13.8","-1.08","170671"
"NMBHF1","2021-09-01","13.92","14","13.85","13.95","0.22","108821"
"NMBHF1","2021-08-31","13.95","13.99","13.91","13.92","-0.29","79802"
"NMBHF1","2021-08-29","14.25","14.25","13.78","13.96","-0.14","87573"
"NMBHF1","2021-08-26","13.96","14.21","13.96","13.98","-1.55","232379"
"NMBHF1","2021-08-25","14.31","14.4","14.15","14.2","-1.39","138196"
"NMBHF1","2021-08-24","14.15","14.48","13.85","14.4","0.00","98017"
"NMBHF1","2021-08-19","14.69","14.69","14.4","14.4","-0.69","143495"
"NMBHF1","2021-08-18","14.61","14.72","14.43","14.5","-2.68","605264"
"NMBHF1","2021-08-17","15.1","15.1","14.65","14.9","-0.93","594384"
"NMBHF1","2021-08-16","15.05","15.1","15","15.04","-0.40","99791"
"NMBHF1","2021-08-15","15.2","15.2","14.96","15.1","-0.59","168818"
"NMBHF1","2021-08-12","15.08","15.2","15.08","15.19","0.73","1286381"
"NMBHF1","2021-08-11","15","15.2","15","15.08","-0.26","193748"
"NMBHF1","2021-08-10","15.03","15.2","15","15.12","0.60","271725"
"NMBHF1","2021-08-09","15","15.25","15","15.03","-0.79","213823"
"NMBHF1","2021-08-08","15.06","15.15","15.06","15.15","0.80","66913"
"NMBHF1","2021-08-05","15.02","15.3","15.02","15.03","-0.40","182301"
"NMBHF1","2021-08-04","15.11","15.25","15","15.09","-0.85","142695"
"NMBHF1","2021-08-03","15.4","15.58","15.22","15.22","-1.17","109464"
