"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"NMBMF","2022-05-05","825","830","811.2","811.2","-1.91","1815"
"NMBMF","2022-05-04","840","850","826","827","-2.38","2900"
"NMBMF","2022-05-02","851","851","845","847.2","-1.49","970"
"NMBMF","2022-04-28","850","876","850","860","-0.69","1226"
"NMBMF","2022-04-27","887.4","887.4","852.6","866","-0.46","666"
"NMBMF","2022-04-26","875","894","869.6","870","-1.95","1088"
"NMBMF","2022-04-25","924","924","887.3","887.3","-3.97","2023"
"NMBMF","2022-04-24","855","925","855","924","8.07","2102"
"NMBMF","2022-04-21","845","860","837","855","0.12","1585"
"NMBMF","2022-04-20","874","874","842.8","854","-0.47","1062"
"NMBMF","2022-04-19","852","865","845","858","0.70","857"
"NMBMF","2022-04-18","852.4","860","848","852","0.00","812"
"NMBMF","2022-04-17","870","875","850","852","-1.50","1304"
"NMBMF","2022-04-13","863.9","882","850","865","2.13","1362"
"NMBMF","2022-04-12","855","867","847","847","-2.64","2418"
"NMBMF","2022-04-11","903","910","861","870","-1.81","2284"
"NMBMF","2022-04-07","898","900","885","886","-0.46","2744"
"NMBMF","2022-04-06","900","900","884","890.1","-1.10","1821"
"NMBMF","2022-04-05","905","905","897","900","-2.17","2029"
"NMBMF","2022-04-04","942","942","920","920","-0.54","1570"
"NMBMF","2022-04-03","916","925","915","925","-0.54","920"
"NMBMF","2022-03-31","957","957","925.4","930","-1.37","478"
"NMBMF","2022-03-30","925","942.9","905","942.9","1.94","2263"
"NMBMF","2022-03-29","920","925","904.1","925","-0.22","2454"
"NMBMF","2022-03-28","938","950","925.1","927","-1.38","2728"
"NMBMF","2022-03-27","960","960","935","940","-3.09","2080"
"NMBMF","2022-03-24","972.2","989","970","970","-0.51","2886"
"NMBMF","2022-03-23","990","990","970","975","-0.41","1499"
"NMBMF","2022-03-22","990","991","977","979","0.51","1169"
"NMBMF","2022-03-21","978.9","988","969","974","-0.50","991"
"NMBMF","2022-03-20","972","984","965.1","978.9","-0.11","2745"
"NMBMF","2022-03-16","978","995","975","980","-1.71","2665"
"NMBMF","2022-03-15","1000","1000","970","997","-1.77","8084"
"NMBMF","2022-03-14","996","1015.9","996","1015","-0.10","721"
"NMBMF","2022-03-13","985","1020","976","1016","4.53","6256"
"NMBMF","2022-03-10","941","973","940.3","972","1.78","1520"
"NMBMF","2022-03-09","971.9","971.9","936","955","0.00","1432"
"NMBMF","2022-03-07","965","965","947","955","0.84","669"
"NMBMF","2022-03-06","931","966","930.1","947","-0.11","961"
"NMBMF","2022-03-02","975","975","947","948","-2.97","4304"
"NMBMF","2022-02-28","998","1000","975","977","-1.02","2822"
"NMBMF","2022-02-27","1000","1014","987.1","987.1","-1.52","1484"
"NMBMF","2022-02-24","1012.7","1032","1002.3","1002.3","-1.03","2608"
"NMBMF","2022-02-23","1013.4","1045","1011.1","1012.7","-1.87","3430"
"NMBMF","2022-02-22","1055","1055.7","1025","1032","-0.29","2715"
"NMBMF","2022-02-21","1034","1035","1008","1035","1.67","3047"
"NMBMF","2022-02-20","1030","1041","1012","1018","-3.14","4329"
"NMBMF","2022-02-17","1050","1060","1050","1051","-0.85","1031"
"NMBMF","2022-02-16","1090","1090","1060","1060","-2.75","397"
"NMBMF","2022-02-15","1030","1090","1030","1090","5.83","1920"
"NMBMF","2022-02-14","1024.1","1050","1024.1","1030","-0.77","1010"
"NMBMF","2022-02-13","1055","1058","1033","1038","-3.44","4243"
"NMBMF","2022-02-10","1060","1080.9","1060","1075","0.83","2632"
"NMBMF","2022-02-09","1081","1085","1062","1066.2","-1.61","3885"
"NMBMF","2022-02-08","1112","1112","1082","1083.6","0.00","5494"
"NMBMF","2022-02-07","1079","1109","1079","1091","-0.82","3078"
"NMBMF","2022-02-06","1081","1120","1080","1100","0.00","2617"
"NMBMF","2022-02-03","1126","1127","1100","1100","-0.45","3751"
"NMBMF","2022-02-01","1122","1122","1099","1105","-0.10","4364"
"NMBMF","2022-01-31","1135","1135","1105","1106.1","-2.55","3692"
"NMBMF","2022-01-30","1082.4","1135","1082.4","1135","6.95","4538"
"NMBMF","2022-01-27","1105","1105","1061.1","1061.2","-2.73","11404"
"NMBMF","2022-01-26","1087","1114","1087","1091","-1.53","3955"
"NMBMF","2022-01-25","1101","1135","1100.1","1108","-1.07","4661"
"NMBMF","2022-01-24","1158","1158.1","1117.2","1120","-5.08","5835"
"NMBMF","2022-01-23","1183","1190","1172.1","1180","-1.50","2991"
"NMBMF","2022-01-20","1170","1198","1156","1198","2.83","3132"
"NMBMF","2022-01-19","1195","1195","1163","1165","-1.69","1809"
"NMBMF","2022-01-18","1186","1219","1176","1185","-1.25","5836"
"NMBMF","2022-01-17","1208","1225","1190","1200","-0.66","8301"
"NMBMF","2022-01-16","1200","1240","1190","1208","0.67","9222"
"NMBMF","2022-01-13","1141","1200","1136.8","1200","3.45","7736"
"NMBMF","2022-01-12","1156","1201","1155.1","1160","-1.53","6275"
"NMBMF","2022-01-11","1139","1198.5","1130","1178","5.07","6200"
"NMBMF","2022-01-10","1103","1147","1090","1121.2","1.65","5004"
"NMBMF","2022-01-09","1111","1115","1101.1","1103","0.27","2759"
"NMBMF","2022-01-06","1089","1116","1070","1100","0.92","2046"
"NMBMF","2022-01-05","1132","1132","1074","1090","-1.80","2771"
"NMBMF","2022-01-04","1077","1130","1077","1110","3.06","5078"
