"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"NMFBS","2022-05-05","2000","2001","1945.4","1946","-2.70","3646"
"NMFBS","2022-05-04","2051","2091","1990","2000","-2.49","2754"
"NMFBS","2022-05-02","2135.9","2135.9","2040","2051","-2.10","2893"
"NMFBS","2022-04-28","2101","2139","2090","2095","-0.29","1526"
"NMFBS","2022-04-27","2090","2125","2078","2101","-0.90","1221"
"NMFBS","2022-04-26","2090","2131.7","2090","2120","0.00","1029"
"NMFBS","2022-04-25","2150","2193","2100","2120","-2.35","3027"
"NMFBS","2022-04-24","2121.6","2171","2081","2171","4.38","2935"
"NMFBS","2022-04-21","2046.5","2080","2046.5","2080","-0.34","1928"
"NMFBS","2022-04-20","2162","2162","2060","2087","-1.56","2095"
"NMFBS","2022-04-19","2060","2128","2050","2120","1.53","2798"
"NMFBS","2022-04-18","2100","2110","2065","2088","-0.57","2196"
"NMFBS","2022-04-17","2127","2145","2090","2100","-1.18","2899"
"NMFBS","2022-04-13","2040","2150","2040","2125","2.11","2820"
"NMFBS","2022-04-12","2110","2111","2081.1","2081.1","-2.80","3658"
"NMFBS","2022-04-11","2238","2238","2137.1","2141","-2.46","6581"
"NMFBS","2022-04-07","2111","2195.1","2110","2195","1.99","7026"
"NMFBS","2022-04-06","2184","2198","2100","2152.1","-2.13","5129"
"NMFBS","2022-04-05","2220","2220","2180","2199","-1.48","3614"
"NMFBS","2022-04-04","2251","2285","2200","2232","-1.67","7457"
"NMFBS","2022-04-03","2298","2299.8","2261","2270","-1.90","2987"
"NMFBS","2022-03-31","2315","2359","2300","2314","-1.95","4505"
"NMFBS","2022-03-30","2365","2376","2336","2360","1.29","729"
"NMFBS","2022-03-29","2327","2355","2307","2330","0.13","607"
"NMFBS","2022-03-28","2335","2365","2326","2327","-1.61","1849"
"NMFBS","2022-03-27","2345.1","2400","2340.5","2365","-0.63","1882"
"NMFBS","2022-03-24","2407","2407","2370","2380","-1.08","1137"
"NMFBS","2022-03-23","2426","2450","2375","2406","-0.82","3156"
"NMFBS","2022-03-22","2426","2440","2426","2426","0.04","889"
"NMFBS","2022-03-21","2464","2464","2409","2425","0.33","847"
"NMFBS","2022-03-20","2415","2425","2415","2417","-1.15","641"
"NMFBS","2022-03-16","2485","2485","2404","2445","-0.20","797"
"NMFBS","2022-03-15","2471","2471","2444","2450","0.20","1851"
"NMFBS","2022-03-14","2475","2490","2445.1","2445.1","-1.01","575"
"NMFBS","2022-03-13","2432","2489","2400","2470","3.56","1433"
"NMFBS","2022-03-10","2370","2385","2367","2385","1.92","1407"
"NMFBS","2022-03-09","2395","2396","2305","2340","-0.43","1734"
"NMFBS","2022-03-07","2370","2400","2330","2350","-1.14","3152"
"NMFBS","2022-03-06","2391","2395","2346","2377","1.36","1384"
"NMFBS","2022-03-02","2408","2408","2271","2345","-2.60","3300"
"NMFBS","2022-02-28","2490","2490","2402","2407.7","-1.40","2338"
"NMFBS","2022-02-27","2420","2465","2395","2442","0.00","1134"
"NMFBS","2022-02-24","2451","2490","2436","2442","-1.69","3329"
"NMFBS","2022-02-23","2500","2510","2470","2484","-0.64","1121"
"NMFBS","2022-02-22","2495","2530","2485","2500","0.40","1144"
"NMFBS","2022-02-21","2500","2500","2475","2490","-0.40","1454"
"NMFBS","2022-02-20","2480.4","2529","2420","2500","-1.22","3234"
"NMFBS","2022-02-17","2549","2550","2499","2531","-0.28","1256"
"NMFBS","2022-02-16","2550","2590","2525","2538","-0.47","3828"
"NMFBS","2022-02-15","2470","2550","2470","2550","3.24","1878"
"NMFBS","2022-02-14","2550","2550","2456","2470","-1.20","5067"
"NMFBS","2022-02-13","2580","2580","2482","2500","-3.25","4767"
"NMFBS","2022-02-10","2610","2630","2548","2584","-0.65","7049"
"NMFBS","2022-02-09","2620","2620","2595","2601","-0.91","1966"
"NMFBS","2022-02-08","2692.8","2730","2622","2625","0.00","2067"
"NMFBS","2022-02-07","2640","2647","2627","2640","0.36","1204"
"NMFBS","2022-02-06","2700","2700","2628","2630.5","-1.85","2295"
"NMFBS","2022-02-03","2710","2749","2675","2680","-0.92","4689"
"NMFBS","2022-02-01","2701","2730","2686","2705","-0.33","3916"
"NMFBS","2022-01-31","2770","2782.4","2677","2714","-0.51","8485"
"NMFBS","2022-01-30","2754","2800","2700","2727.9","1.03","4953"
"NMFBS","2022-01-27","2600","2713.2","2571","2700","5.02","9460"
"NMFBS","2022-01-26","2600","2610","2560","2571","-1.12","2285"
"NMFBS","2022-01-25","2590","2670","2550","2600","0.39","5837"
"NMFBS","2022-01-24","2734","2734","2580.1","2590","-3.39","9507"
"NMFBS","2022-01-23","2700","2729","2680","2681","-0.19","5105"
"NMFBS","2022-01-20","2625","2699","2625","2686","0.94","4823"
"NMFBS","2022-01-19","2700","2702","2650","2661","-0.89","6062"
"NMFBS","2022-01-18","2746","2746","2670","2685","-1.68","5532"
"NMFBS","2022-01-17","2732.1","2768","2713.1","2731","0.39","3962"
"NMFBS","2022-01-16","2705","2813","2690","2720.5","0.57","14629"
"NMFBS","2022-01-13","2680","2730","2650","2705","0.18","7620"
"NMFBS","2022-01-12","2800","2800","2700","2700.1","-1.92","10889"
"NMFBS","2022-01-11","2666.5","2849","2666.5","2753","5.31","24572"
"NMFBS","2022-01-10","3692","3700","3625","3660","1.10","44658"
"NMFBS","2022-01-09","3650","3675","3588","3620","0.57","19531"
"NMFBS","2022-01-06","3470","3625","3466","3599.5","3.73","28133"
"NMFBS","2022-01-05","3522","3530","3460","3470","-0.57","8592"
