"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"NNLB","2020-02-03","804","852","780","834","5.70","12147"
"NNLB","2020-02-02","732","789","732","789","9.89","9769"
"NNLB","2020-01-30","728","759","716","718","0.56","5718"
"NNLB","2020-01-29","675","715","675","714","4.39","4797"
"NNLB","2020-01-28","701","701","684","684","-1.01","4912"
"NNLB","2020-01-27","667","691","651","691","5.66","4878"
"NNLB","2020-01-26","660","660","647","650","-2.69","2020"
"NNLB","2020-01-23","693","742","645","668","-1.76","2680"
"NNLB","2020-01-22","714","750","673","680","-2.86","2295"
"NNLB","2020-01-21","710","737","685","700","0.43","1470"
"NNLB","2020-01-20","726","726","693","700","-1.82","6425"
"NNLB","2020-01-19","712","750","712","740","5.87","1361"
"NNLB","2020-01-16","652","704","637","699","9.22","6845"
"NNLB","2020-01-15","648","660","640","640","0.63","540"
"NNLB","2020-01-14","609","650","600","636","2.58","6917"
"NNLB","2020-01-13","667","693","611","620","-5.20","4350"
"NNLB","2020-01-12","606","654","606","654","9.92","6120"
"NNLB","2020-01-09","566","610","565","595","7.21","3490"
"NNLB","2020-01-08","550","572","549","555","2.40","5234"
"NNLB","2020-01-07","541","551","529","542","2.07","8639"
"NNLB","2020-01-06","538","542","531","531","-0.38","563"
"NNLB","2020-01-05","522","540","520","533","3.70","5724"
"NNLB","2020-01-02","509","519","500","514","-0.96","7888"
"NNLB","2020-01-01","500","519","500","519","3.18","2064"
"NNLB","2019-12-31","514","514","503","503","-0.79","602"
"NNLB","2019-12-30","490","507","489","507","2.63","3908"
"NNLB","2019-12-29","500","500","494","494","-1.79","1700"
"NNLB","2019-12-26","506","510","503","503","0.60","1020"
"NNLB","2019-12-25","513","513","500","500","-0.99","686"
"NNLB","2019-12-24","525","525","505","505","-1.94","1014"
"NNLB","2019-12-23","515","515","505","515","0.00","895"
"NNLB","2019-12-22","507","515","498","515","1.58","1316"
"NNLB","2019-12-19","501","534","491","507","0.40","1855"
"NNLB","2019-12-18","615","619","598","606","-0.16","12193"
"NNLB","2019-12-17","607","617","600","607","1.85","3475"
"NNLB","2019-12-16","631","632","594","596","-3.87","3240"
"NNLB","2019-12-15","639","639","616","622","-4.60","6414"
"NNLB","2019-12-12","650","691","642","652","0.93","10983"
"NNLB","2019-12-11","599","646","599","646","9.86","6688"
"NNLB","2019-12-10","545","588","545","588","9.91","7144"
"NNLB","2019-12-09","515","545","500","535","2.88","7516"
"NNLB","2019-12-08","490","520","485","520","5.26","2720"
"NNLB","2019-12-05","480","494","480","494","4.88","2043"
"NNLB","2019-12-04","470","485","470","471","-0.84","1017"
"NNLB","2019-12-03","467","475","467","475","3.71","660"
"NNLB","2019-12-02","458","458","458","458","-1.51","201"
"NNLB","2019-12-01","465","465","465","465","0.00","70"
"NNLB","2019-11-28","488","488","462","465","-2.92","800"
"NNLB","2019-11-27","464","479","462","479","3.68","240"
"NNLB","2019-11-26","458","465","452","462","1.32","732"
"NNLB","2019-11-25","465","465","456","456","0.00","186"
"NNLB","2019-11-24","455","456","454","456","0.22","800"
"NNLB","2019-11-21","455","455","455","455","0.00","100"
"NNLB","2019-11-20","465","465","455","455","-0.22","272"
"NNLB","2019-11-19","456","466","456","456","-0.22","1154"
"NNLB","2019-11-18","455","464","455","457","0.22","160"
"NNLB","2019-11-17","456","456","456","456","-1.51","25"
"NNLB","2019-11-14","471","471","463","463","-1.70","611"
"NNLB","2019-11-13","465","474","465","471","0.43","1060"
"NNLB","2019-11-12","481","481","460","469","-4.29","490"
"NNLB","2019-11-11","455","495","455","490","6.99","3910"
"NNLB","2019-11-10","464","464","451","458","0.22","740"
"NNLB","2019-11-07","453","457","451","457","-0.65","1050"
"NNLB","2019-11-06","443","466","443","460","5.75","6643"
"NNLB","2019-11-05","422","438","422","435","5.07","290"
"NNLB","2019-10-17","409","417","409","414","0.00","192"
"NNLB","2019-10-16","419","419","414","414","-3.04","250"
"NNLB","2019-10-14","427","427","427","427","-1.84","20"
"NNLB","2019-10-03","435","435","435","435","1.87","10"
"NNLB","2019-10-02","427","427","427","427","-1.84","50"
"NNLB","2019-10-01","434","442","434","435","2.11","590"
"NNLB","2019-09-30","412","418","411","418","1.21","428"
"NNLB","2019-09-29","413","413","412","413","-1.90","115"
"NNLB","2019-09-26","421","421","421","421","-0.94","40"
"NNLB","2019-09-24","430","430","423","423","-1.17","500"
"NNLB","2019-09-23","413","428","413","428","1.66","950"
"NNLB","2019-09-22","429","435","421","421","-3.22","490"
"NNLB","2019-09-19","440","440","433","435","-2.90","270"
"NNLB","2019-09-18","460","469","442","448","-0.88","396"
"NNLB","2019-09-17","428","452","428","452","7.62","746"
"NNLB","2019-09-16","420","420","412","420","-1.64","1020"
"NNLB","2019-09-15","442","442","427","427","-1.61","2550"
"NNLB","2019-09-12","440","440","432","434","-3.12","260"
"NNLB","2019-09-11","435","448","435","448","3.46","675"
"NNLB","2019-09-10","425","433","425","433","2.61","70"
"NNLB","2019-09-09","428","428","420","422","-3.21","142"
"NNLB","2019-09-08","441","441","436","436","-1.80","69"
"NNLB","2019-09-05","450","450","444","444","-1.55","60"
"NNLB","2019-09-04","435","451","435","451","2.50","1340"
"NNLB","2019-09-03","411","440","403","440","5.01","1809"
"NNLB","2019-09-02","417","419","409","419","-1.41","720"
"NNLB","2019-09-01","430","430","423","425","-2.97","964"
"NNLB","2019-08-29","445","445","437","438","-3.52","110"
"NNLB","2019-08-28","454","454","454","454","-1.94","20"
"NNLB","2019-08-27","460","463","460","463","0.87","60"
"NNLB","2019-08-25","459","459","459","459","0.66","34"
"NNLB","2019-08-22","459","459","450","456","1.33","100"
"NNLB","2019-08-21","453","453","449","450","1.12","135"
"NNLB","2019-08-20","456","456","445","445","-3.68","350"
"NNLB","2019-08-19","450","462","449","462","3.12","250"
"NNLB","2019-08-18","453","453","448","448","-2.82","330"
"NNLB","2019-08-15","452","461","451","461","1.99","490"
"NNLB","2019-08-14","454","454","450","452","-1.09","1235"
"NNLB","2019-08-13","454","465","453","457","0.44","1517"
"NNLB","2019-08-12","444","455","444","455","4.36","260"
"NNLB","2019-08-11","438","438","430","436","-2.24","590"
"NNLB","2019-08-08","452","452","444","446","-1.33","565"
"NNLB","2019-08-07","448","463","445","452","2.73","1363"
