"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"NONLIFEINSU","2022-05-05","10271.59","10271.58","9986.94","10007.41","0.00","237232778.9"
"NONLIFEINSU","2022-05-04","10482.41","10482.4","10191.95","10271.58","0.00","139672442.5"
"NONLIFEINSU","2022-05-02","10736.08","10740.17","10417.3","10482.4","0.00","172235464.4"
"NONLIFEINSU","2022-04-28","10745.73","10879.37","10650.39","10701.03","0.00","195822980"
"NONLIFEINSU","2022-04-27","10717.38","10775.62","10605.73","10742.37","0.00","89023169.6"
"NONLIFEINSU","2022-04-26","10794.49","10880.26","10638.41","10711.68","0.00","97769510.8"
"NONLIFEINSU","2022-04-25","10957.06","11107.13","10767.53","10811.83","0.00","200195764.7"
"NONLIFEINSU","2022-04-24","10528.81","11013.64","10528.8","10961.93","0.00","278877560"
"NONLIFEINSU","2022-04-21","10627.71","10652.72","10302.11","10527.55","0.00","242344341.1"
"NONLIFEINSU","2022-04-20","10778.13","10811.59","10580.23","10612.76","0.00","149408338.2"
"NONLIFEINSU","2022-04-19","10720.15","10903.71","10592.3","10782.58","0.00","172268383.3"
"NONLIFEINSU","2022-04-18","11062.52","11087.68","10703.92","10720.14","0.00","195427345.8"
"NONLIFEINSU","2022-04-17","11183.17","11216.85","10970.84","11062.51","0.00","174639405.9"
"NONLIFEINSU","2022-04-13","11053.73","11231.88","10876.27","11183.16","0.00","178443450.8"
"NONLIFEINSU","2022-04-12","11302.72","11313.63","11016.65","11053.71","0.00","175347957.5"
"NONLIFEINSU","2022-04-11","11452.26","11680.01","11241.21","11288.83","0.00","430911806.5"
"NONLIFEINSU","2022-04-07","11335.3","11528.5","11335.29","11444.42","0.00","254798226.4"
"NONLIFEINSU","2022-04-06","11527.08","11534.48","11249.57","11335.29","0.00","280842313"
"NONLIFEINSU","2022-04-05","11873.92","11873.92","11301.92","11527.07","0.00","537760958.7"
"NONLIFEINSU","2022-04-04","12093.65","12114.37","11871.1","11873.92","0.00","310517418.1"
"NONLIFEINSU","2022-04-03","12279.28","12304.31","12010.24","12074.04","0.00","366752752.9"
"NONLIFEINSU","2022-03-31","12293.33","12427.53","12147.58","12246.05","0.00","348684406.2"
"NONLIFEINSU","2022-03-30","12092.15","12286.07","11955.42","12283.35","0.00","450051064"
"NONLIFEINSU","2022-03-29","12206.71","12214.34","12031.06","12092.15","0.00","293909365.7"
"NONLIFEINSU","2022-03-28","12455.37","12455.52","12151.48","12168.84","0.00","536199925.6"
"NONLIFEINSU","2022-03-27","12413.2","12911.13","12373.24","12421.33","0.00","1844802522.3"
"NONLIFEINSU","2022-03-24","12167.73","12436.32","12143.41","12288.56","0.00","756126913.5"
"NONLIFEINSU","2022-03-23","12245.56","12264.07","12133.04","12160.61","0.00","332954345"
"NONLIFEINSU","2022-03-22","12165.2","12269.51","12154.02","12240.14","0.00","354239504.5"
"NONLIFEINSU","2022-03-21","12116.16","12165.2","11993.63","12155.49","0.00","298009213.2"
"NONLIFEINSU","2022-03-20","12194.61","12292.93","12027.63","12109.2","0.00","486440452.5"
"NONLIFEINSU","2022-03-16","12119.54","12195.01","12074.61","12183.46","0.00","457484521.6"
"NONLIFEINSU","2022-03-15","12064.6","12143.81","11947.95","12106.24","0.00","556785621.3"
"NONLIFEINSU","2022-03-14","11965.61","12145.25","11909.62","12038.91","0.00","286752355.2"
"NONLIFEINSU","2022-03-13","11413.78","11965.6","11413.77","11965.6","0.00","736622707.2"
"NONLIFEINSU","2022-03-10","11149.64","11397.73","11065.33","11397.73","0.00","280924280.6"
"NONLIFEINSU","2022-03-09","11354.91","11405.46","11104.73","11156.36","0.00","0"
"NONLIFEINSU","2022-03-07","11355.78","11469.75","11303.28","11348.16","0.00","274313064"
"NONLIFEINSU","2022-03-06","11356.43","11441.69","11215.84","11338.29","0.00","297299222.7"
