"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"NRIC","2022-05-05","939","950","916","917","-3.07","20677"
"NRIC","2022-05-04","960","965","946","946","-2.07","16598"
"NRIC","2022-05-02","990","999.6","965","966","-2.42","15244"
"NRIC","2022-04-28","996","1013","989","990","-0.90","12673"
"NRIC","2022-04-27","991","1002","988","999","-0.10","11659"
"NRIC","2022-04-26","1015","1025","995","1000","-1.28","7730"
"NRIC","2022-04-25","1030","1044.9","999.7","1013","-2.13","19900"
"NRIC","2022-04-24","985","1041.7","971","1035","6.71","25235"
"NRIC","2022-04-21","965","982","950","969.9","0.51","19248"
"NRIC","2022-04-20","986","1003.9","960","965","-2.03","20253"
"NRIC","2022-04-19","1003.9","1003.9","975","985","0.00","11514"
"NRIC","2022-04-18","1019","1019","984","985","-2.09","26618"
"NRIC","2022-04-17","1039.9","1048.7","1005","1006","-2.32","23399"
"NRIC","2022-04-13","1029.9","1040","1000","1029.9","1.17","19041"
"NRIC","2022-04-12","1041","1050","1010","1018","-2.86","28752"
"NRIC","2022-04-11","1070","1112","1045.1","1048","-2.06","25775"
"NRIC","2022-04-07","1087","1094","1068.1","1070","0.18","34452"
"NRIC","2022-04-06","1100","1100","1067","1068.1","-2.01","26382"
"NRIC","2022-04-05","1109","1109","1075","1090","-2.07","30597"
"NRIC","2022-04-04","1110","1120","1105","1113","0.27","15416"
"NRIC","2022-04-03","1108","1120","1105","1110","-1.42","21973"
"NRIC","2022-03-31","1150","1160","1125","1126","-1.66","24595"
"NRIC","2022-03-30","1137","1145","1102.5","1145","2.69","17353"
"NRIC","2022-03-29","1128","1150","1114.1","1115","-1.41","16827"
"NRIC","2022-03-28","1150","1160","1117","1131","-1.23","36050"
"NRIC","2022-03-27","1208.7","1232.7","1145","1145.1","-3.37","48112"
"NRIC","2022-03-24","1200","1213","1158","1185","0.42","53573"
"NRIC","2022-03-23","1198.9","1198.9","1175","1180","-0.51","14008"
"NRIC","2022-03-22","1178","1200","1178","1186","0.85","25828"
"NRIC","2022-03-21","1190","1190","1167","1176","-0.08","21185"
"NRIC","2022-03-20","1210","1211","1172","1177","-1.92","44438"
"NRIC","2022-03-16","1222","1229","1190","1200","-0.58","39365"
