"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"NRN","2022-05-05","526.5","531","508","525","-2.23","18347"
"NRN","2022-05-04","543.1","552","527","537","-1.47","5550"
"NRN","2022-05-02","548","558","537.2","545","-1.98","8472"
"NRN","2022-04-28","570","580.5","556","556","-2.46","6789"
"NRN","2022-04-27","570","579","558.8","570","0.00","7135"
"NRN","2022-04-26","563.6","581","560","570","-0.89","9188"
"NRN","2022-04-25","585","595.5","574","575.1","-1.86","24613"
"NRN","2022-04-24","550","589","538.1","586","6.74","15929"
"NRN","2022-04-21","534","560","534","549","1.67","14637"
"NRN","2022-04-20","555","566","540","540","-2.70","12030"
"NRN","2022-04-19","550","575","535","555","0.91","17332"
"NRN","2022-04-18","589","590","540","550","-8.33","21801"
"NRN","2022-04-17","610.1","619","589","600","-3.23","14932"
"NRN","2022-04-13","615","630.3","607","620","0.32","11126"
"NRN","2022-04-12","625","637","603","618","-2.98","11668"
"NRN","2022-04-11","653.8","653.8","627","637","-0.62","12812"
"NRN","2022-04-07","630","651","630","641","1.75","10637"
"NRN","2022-04-06","635","651","630","630","-2.17","8944"
"NRN","2022-04-05","651.1","651.1","632.1","644","-1.68","16170"
"NRN","2022-04-04","653","665","650","655","-0.33","10254"
"NRN","2022-04-03","650","675","650","657.2","0.64","9619"
"NRN","2022-03-31","681.4","684","653","653","-2.99","13179"
"NRN","2022-03-30","669","680","656.2","673.1","1.83","8233"
"NRN","2022-03-29","662","690.1","658","661","-1.93","13515"
"NRN","2022-03-28","681","689","668","674","-2.85","20562"
"NRN","2022-03-27","690","700","675","693.8","-0.17","44959"
"NRN","2022-03-24","694","714","687","695","-1.56","11273"
"NRN","2022-03-23","699","711","685","706","1.00","34046"
"NRN","2022-03-22","710","718.8","693","699","-1.55","18118"
"NRN","2022-03-21","684.1","710","682.2","710","2.90","18800"
"NRN","2022-03-20","700","705","681.5","690","-0.58","11315"
"NRN","2022-03-16","702","710","688","694","-1.28","16936"
"NRN","2022-03-15","706","710","685","703","0.43","36329"
"NRN","2022-03-14","711","717","696.7","700","-1.53","22545"
"NRN","2022-03-13","705","724","690","710.9","1.60","66093"
"NRN","2022-03-10","660","699.7","660","699.7","6.34","44837"
"NRN","2022-03-09","675","700","650.2","658","-2.52","49560"
"NRN","2022-03-07","680","694","666","675","-2.03","17052"
"NRN","2022-03-06","705","718","679","689","-0.86","17470"
"NRN","2022-03-02","729","755","692","695","-5.44","82827"
"NRN","2022-02-28","796","797","730","735","-6.01","51048"
"NRN","2022-02-27","808","809.2","767.4","782","-1.39","45106"
"NRN","2022-02-24","805","830","784","793","-1.61","138545"
"NRN","2022-02-23","770","813","756","806","4.95","100612"
"NRN","2022-02-22","780","780.3","760","768","0.39","40085"
"NRN","2022-02-21","740.5","784","721.3","765","5.37","43028"
"NRN","2022-02-20","720.3","739","708","726","-1.22","26660"
"NRN","2022-02-17","735","756","733.3","735","-1.74","23293"
"NRN","2022-02-16","772","772","734","748","-1.58","11836"
"NRN","2022-02-15","748.9","762.9","720","760","3.40","44549"
"NRN","2022-02-14","730","740.5","717","735","1.24","32539"
"NRN","2022-02-13","764","764","719","726","-6.80","56401"
"NRN","2022-02-10","775","792","763.5","779","-0.89","22054"
"NRN","2022-02-09","782","800","780.1","786","-1.26","40871"
"NRN","2022-02-08","820","836","793","796","0.00","51850"
"NRN","2022-02-07","820","834.5","800.1","815","-0.61","87227"
"NRN","2022-02-06","798","836","780","820","3.80","120666"
"NRN","2022-02-03","785","812","770","790","1.02","101519"
"NRN","2022-02-01","780","807.5","768","782","0.26","116779"
"NRN","2022-01-31","760","805.8","730.1","780","4.42","102846"
"NRN","2022-01-30","732.3","757.7","720","747","4.04","79339"
"NRN","2022-01-27","682.9","719","669.3","718","7.16","64025"
"NRN","2022-01-26","690","690","661","670","-1.90","23844"
"NRN","2022-01-25","667.2","693","667.2","683","0.44","22348"
"NRN","2022-01-24","706","707","671.1","680","-5.56","47307"
"NRN","2022-01-23","724","728","699.1","720","1.41","50621"
"NRN","2022-01-20","680","714","680","710","2.60","17220"
"NRN","2022-01-19","700","705","686","692","-1.14","49584"
"NRN","2022-01-18","730","736","692","700","-2.78","44668"
"NRN","2022-01-17","680","728","670","720","7.78","87884"
"NRN","2022-01-16","648","682","651","668","3.09","45677"
"NRN","2022-01-13","629","649.7","625","648","3.02","22927"
"NRN","2022-01-12","649","666","623.3","629","-2.19","67305"
"NRN","2022-01-11","630","655","630","643.1","2.08","16037"
"NRN","2022-01-10","632.3","640","615","630","1.61","28406"
"NRN","2022-01-09","584","623","577","620","8.01","54733"
"NRN","2022-01-06","577","580","555.1","574","1.41","7993"
"NRN","2022-01-05","581","595","555","566","-2.25","16479"
"NRN","2022-01-04","559","581","536.1","579","3.76","22871"
"NRN","2022-01-03","543.6","565.9","529","558","4.69","17141"
"NRN","2022-01-02","510","534","510","533","4.22","8484"
"NRN","2021-12-29","549","549","531.2","537","-0.56","14274"
"NRN","2021-12-28","539","550","530","540","-1.82","7418"
"NRN","2021-12-27","555","576","545","550","-0.90","21753"
"NRN","2021-12-26","532.3","570","532.3","555","2.21","20413"
"NRN","2021-12-23","540","561","537","543","-0.55","14552"
"NRN","2021-12-22","538","569","528","546","3.49","16364"
"NRN","2021-12-21","518","535","504","527.6","2.75","7549"
"NRN","2021-12-20","522","525.3","505","513.5","-3.48","18498"
"NRN","2021-12-16","571.2","571.2","525","532","-5.00","21530"
"NRN","2021-12-15","575.5","596","544","560","-0.76","23030"
"NRN","2021-12-14","523","564.3","513","564.3","10.00","8630"
"NRN","2021-12-13","513","522.5","502","513","-1.82","21662"
"NRN","2021-12-12","556","563","522.5","522.5","-7.19","12748"
"NRN","2021-12-09","571","571","549","563","0.54","15058"
"NRN","2021-12-08","580","600","560","560","-4.44","10773"
"NRN","2021-12-07","622.2","622.2","578","586","-3.93","11583"
"NRN","2021-12-06","583","610","571","610","3.04","21562"
"NRN","2021-12-05","600","613","592","592","-3.27","14212"
"NRN","2021-12-02","635","635","610","612","-2.96","12222"
"NRN","2021-12-01","626.2","633.9","617.1","630.7","2.72","14799"
"NRN","2021-11-30","620","625","608","614","-0.15","12468"
"NRN","2021-11-29","630","645","605","614.9","-0.82","21925"
"NRN","2021-11-28","648","654","620","620","-5.20","21113"
"NRN","2021-11-25","673.3","673.3","653","654","-0.92","17243"
"NRN","2021-11-24","655","682","652.7","660.1","-0.89","24992"
"NRN","2021-11-23","700","715","660","666","-3.20","19545"
"NRN","2021-11-22","684","698","676.2","688","2.49","11529"
"NRN","2021-11-21","685","706","671.3","671.3","-3.26","17186"
"NRN","2021-11-18","720","720","683.5","693.9","-1.71","30169"
"NRN","2021-11-17","738","740","705","706","-3.09","28920"
"NRN","2021-11-16","715.1","733","706","728.5","1.89","18989"
"NRN","2021-11-15","714","724","691","715","2.14","34352"
"NRN","2021-11-14","690","717","676","700","0.00","18892"
"NRN","2021-11-11","705","714","687","700","-2.10","27991"
"NRN","2021-11-09","759","759","700","715","-5.55","43023"
"NRN","2021-11-08","767","779.2","746.1","757","0.53","26097"
"NRN","2021-11-03","717","769","703","753","7.11","65781"
"NRN","2021-11-02","680","703","665","703","2.63","25182"
"NRN","2021-11-01","724","724","679","685","-3.79","34036"
"NRN","2021-10-31","685","716","672.1","712","4.86","35334"
"NRN","2021-10-28","672","680","658.6","679","-0.88","20087"
"NRN","2021-10-27","661","696","650","685","2.24","28123"
"NRN","2021-10-26","640","678.3","627.2","670","4.69","45027"
"NRN","2021-10-25","605.8","640","597","640","7.74","56462"
"NRN","2021-10-24","583","603","573","594","1.89","7213"
"NRN","2021-10-21","591","596","574.1","583","-1.19","9994"
"NRN","2021-10-20","582.4","605.8","582.4","590","3.33","7270"
"NRN","2021-10-19","600","600","570","571","-4.52","7114"
"NRN","2021-10-18","605.7","614","569","598","-3.24","21743"
"NRN","2021-10-17","616","635","601","618","2.32","2370"
"NRN","2021-10-11","608","613","596.1","604","-1.95","11089"
"NRN","2021-10-10","637","649","615.5","616","-3.30","14414"
"NRN","2021-10-06","630","647.7","623","637","2.41","11476"
"NRN","2021-10-05","606","630","606","622","4.54","12606"
"NRN","2021-10-04","580","612","569","595","1.88","16441"
"NRN","2021-10-03","614","625","584","584","-5.81","22400"
"NRN","2021-09-30","658","658","620","620","-4.02","15667"
"NRN","2021-09-29","614","658","593.9","646","5.21","33025"
"NRN","2021-09-28","664","687","600","614","-7.53","34656"
"NRN","2021-09-27","700","719","664","664","-6.21","29382"
"NRN","2021-09-26","730.1","760","708","708","-4.97","20857"
"NRN","2021-09-23","780","785","735","745","-3.25","28010"
"NRN","2021-09-22","727","770","727","770","7.95","24901"
"NRN","2021-09-21","720","742","680.2","713.3","-0.93","31308"
"NRN","2021-09-20","771","771","716","720","-6.49","31142"
"NRN","2021-09-16","774.2","787","750","770","-2.53","29149"
"NRN","2021-09-15","800.2","821","788","790","-3.19","32227"
"NRN","2021-09-14","850","852","808","816","-3.20","18413"
"NRN","2021-09-13","820","891","820","843","4.07","70966"
"NRN","2021-09-12","795.6","818","781","810","3.85","35958"
"NRN","2021-09-09","799","809","778","780","-0.64","10144"
"NRN","2021-09-08","798","802","781","785","-3.56","14363"
"NRN","2021-09-07","846","846","800","814","-3.78","22589"
"NRN","2021-09-06","775","847","750","846","9.87","42587"
"NRN","2021-09-05","800","840","750.1","770","-3.75","58982"
"NRN","2021-09-02","867","883","789","800","-5.88","73927"
"NRN","2021-09-01","867","887","833","850","0.00","38619"
"NRN","2021-08-31","882","895","845","850","-5.03","47842"
"NRN","2021-08-29","930","948","892","895","-3.76","67205"
"NRN","2021-08-26","897","933.3","882.1","930","3.91","65965"
"NRN","2021-08-25","910","915","881","895","-3.24","83251"
"NRN","2021-08-24","950","985.1","915","925","-4.15","105534"
"NRN","2021-08-19","979","990","940","965","0.52","199899"
"NRN","2021-08-18","880","960","875","960","9.09","204201"
"NRN","2021-08-17","882.3","899.6","853","880","1.73","87542"
"NRN","2021-08-16","830","899","823","865","3.10","102487"
"NRN","2021-08-15","876","886","813","839","-6.05","203981"
"NRN","2021-08-12","918.7","963.6","892","893","-0.85","126794"
"NRN","2021-08-11","835","900.7","811","900.7","9.99","273702"
"NRN","2021-08-10","800","826","790","818.9","2.36","143751"
"NRN","2021-08-09","767","810","760","800","4.44","124769"
"NRN","2021-08-08","794.5","795","761.5","766","-1.67","69355"
"NRN","2021-08-05","820","820","770.3","779","-3.11","98558"
"NRN","2021-08-04","773.1","821","760","804","6.07","228498"
"NRN","2021-08-03","763.9","775","735","758","1.20","59617"
"NRN","2021-08-02","732.1","755","732.1","749","1.08","32034"
"NRN","2021-08-01","740.1","754","731","741","-1.85","41105"
"NRN","2021-07-29","750","771","736","755","0.67","61678"
"NRN","2021-07-28","755","783","746","750","-1.32","66488"
"NRN","2021-07-27","730","771","730","760","2.70","74993"
"NRN","2021-07-26","748.6","759","725.2","740","0.82","84179"
"NRN","2021-07-25","715","740","710","734","3.82","93365"
"NRN","2021-07-22","680","718","676","707","3.97","71790"
"NRN","2021-07-20","663","688","654","680","1.49","26204"
