"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"NSLB","2022-05-05","917","917","907","915","-2.14","401"
"NSLB","2022-05-04","930","935","910.1","935","-0.53","637"
"NSLB","2022-05-02","958","958","940","940","-3.79","324"
"NSLB","2022-04-28","982","982","960","977","-0.51","492"
"NSLB","2022-04-27","947","983","929.3","982","1.66","750"
"NSLB","2022-04-26","955","966","955","966","1.68","32"
"NSLB","2022-04-25","954","955","950","950","-2.06","731"
"NSLB","2022-04-24","955","985","936","970","2.75","1553"
"NSLB","2022-04-21","912","944","911","944","1.83","461"
"NSLB","2022-04-20","955","955","925","927","-2.93","1169"
"NSLB","2022-04-19","929","955","929","955","3.80","805"
"NSLB","2022-04-18","912.1","930","912","920","-0.76","1583"
"NSLB","2022-04-17","982","982","927","927","-5.41","2335"
"NSLB","2022-04-13","980","980","975","980","-1.90","610"
"NSLB","2022-04-12","1000","1000","970","999","-0.35","912"
"NSLB","2022-04-11","1041","1041","1000","1002.5","-3.14","1325"
"NSLB","2022-04-07","1020","1050","1020","1035","0.29","1852"
"NSLB","2022-04-06","1052.7","1052.7","1011.4","1032","-3.92","2077"
"NSLB","2022-04-05","1305","1312","1274","1278.2","-0.68","7342"
"NSLB","2022-04-04","1303","1307","1287","1287","-1.76","1692"
"NSLB","2022-04-03","1320","1322","1304","1310","-0.76","707"
"NSLB","2022-03-31","1340","1341","1315.1","1320","-1.27","1298"
"NSLB","2022-03-30","1325","1340","1315","1337","-0.22","416"
"NSLB","2022-03-29","1301","1340","1301","1340","1.13","421"
"NSLB","2022-03-28","1349","1349.8","1315","1325","0.00","418"
"NSLB","2022-03-27","1364.9","1365","1325","1325","-1.34","1502"
"NSLB","2022-03-24","1327.1","1352","1327.1","1343","0.22","390"
"NSLB","2022-03-23","1341.3","1351","1335","1340","-1.54","622"
"NSLB","2022-03-22","1345","1365","1340","1361","1.57","1624"
"NSLB","2022-03-21","1335","1354","1325.2","1340","0.15","582"
"NSLB","2022-03-20","1341","1341","1326","1338","-0.15","683"
"NSLB","2022-03-16","1350","1350","1334","1340","-1.47","1902"
"NSLB","2022-03-15","1350.1","1366","1328.1","1360","-1.16","1170"
"NSLB","2022-03-14","1378","1378","1356","1376","-0.12","560"
"NSLB","2022-03-13","1311","1380","1305","1377.7","5.16","3970"
"NSLB","2022-03-10","1288","1310.1","1267","1310.1","1.72","3269"
"NSLB","2022-03-09","1305","1319","1267.3","1288","0.63","1616"
"NSLB","2022-03-07","1315","1315.5","1270","1280","-0.76","903"
"NSLB","2022-03-06","1280","1300","1279","1289.8","1.56","999"
"NSLB","2022-03-02","1300","1300","1261.1","1270","-2.09","754"
"NSLB","2022-02-28","1360","1364.7","1296","1297.1","-3.06","1553"
"NSLB","2022-02-27","1330","1360","1330","1338","1.13","881"
"NSLB","2022-02-24","1381","1389","1323","1323","-5.43","1464"
"NSLB","2022-02-23","1412.7","1439","1390","1399","1.01","5015"
"NSLB","2022-02-22","1391","1400","1375","1385","-0.36","840"
"NSLB","2022-02-21","1365.2","1395","1365.1","1390","0.00","641"
"NSLB","2022-02-20","1375.2","1390","1365","1390","-0.71","600"
"NSLB","2022-02-17","1407","1407","1380","1400","-0.21","323"
"NSLB","2022-02-16","1434.9","1434.9","1381.1","1403","-0.27","1361"
"NSLB","2022-02-15","1380.1","1406.8","1380.1","1406.8","1.93","192"
"NSLB","2022-02-14","1356","1405","1356","1380.1","0.74","2507"
"NSLB","2022-02-13","1373","1376","1350","1370","-2.21","1884"
"NSLB","2022-02-10","1402","1424","1401","1401","-1.11","3560"
"NSLB","2022-02-09","1430","1430","1389","1416.7","-0.65","4512"
"NSLB","2022-02-08","1469","1469","1426","1426","0.00","3379"
"NSLB","2022-02-07","1430.2","1450","1430.2","1450","-0.28","844"
"NSLB","2022-02-06","1460","1460","1430","1454","-0.35","3664"
"NSLB","2022-02-03","1500","1500","1455","1459.1","-1.74","2398"
"NSLB","2022-02-01","1480","1500","1471","1485","-0.93","1069"
"NSLB","2022-01-31","1512.6","1520","1485","1499","1.08","7014"
"NSLB","2022-01-30","1460.1","1489","1453","1483","2.21","3010"
"NSLB","2022-01-27","1444","1498","1444","1451","1.90","2230"
"NSLB","2022-01-26","1425","1453","1400","1424","-2.01","4317"
"NSLB","2022-01-25","1449","1513","1449","1453.2","1.27","2386"
"NSLB","2022-01-24","1484","1488","1435","1435","-5.21","4820"
"NSLB","2022-01-23","1509.6","1532","1500","1513.9","2.29","4638"
"NSLB","2022-01-20","1496","1500","1460","1480","-1.60","2504"
"NSLB","2022-01-19","1509.2","1550","1483","1504","-2.34","6391"
"NSLB","2022-01-18","1524","1575","1519.1","1540","2.67","8514"
"NSLB","2022-01-17","1449","1511","1443","1500","4.97","8165"
"NSLB","2022-01-16","1389","1445","1405","1429","2.88","7454"
"NSLB","2022-01-13","1380","1395","1371","1389","0.65","6616"
"NSLB","2022-01-12","1419","1419","1353","1380","-1.36","4521"
"NSLB","2022-01-11","1340","1435","1340","1399","5.43","5013"
"NSLB","2022-01-10","1321","1340","1320","1327","-1.26","1222"
"NSLB","2022-01-09","1320","1400","1318","1344","0.30","3843"
"NSLB","2022-01-06","1290","1352.5","1274","1340","3.08","1661"
"NSLB","2022-01-05","1330","1330","1278.1","1300","-2.26","3299"
"NSLB","2022-01-04","1272","1425","1247","1330","2.50","4139"
"NSLB","2022-01-03","1280","1367.9","1240","1297.5","2.65","2617"
"NSLB","2022-01-02","1221.7","1264","1180.1","1264","5.51","1830"
"NSLB","2021-12-29","1195","1221.9","1180","1198","0.00","1465"
"NSLB","2021-12-28","1196.1","1268","1195.2","1198","-1.71","2269"
"NSLB","2021-12-27","1225","1249","1195","1218.9","-1.54","843"
"NSLB","2021-12-26","1190","1245","1180","1238","4.92","1509"
"NSLB","2021-12-23","1140","1180","1139","1180","3.52","717"
"NSLB","2021-12-22","1111","1177","1111","1139.9","4.58","1175"
"NSLB","2021-12-21","1071","1100","1071","1090","1.77","194"
"NSLB","2021-12-20","1086","1087.9","1071","1071","-0.37","82"
"NSLB","2021-12-16","1078","1078","1056.6","1075","-2.27","1097"
"NSLB","2021-12-15","1151","1169.9","1078.2","1100","-5.34","1307"
"NSLB","2021-12-14","1102","1162","1102","1162","7.49","230"
"NSLB","2021-12-13","1089.3","1089.3","1026.1","1081","-2.74","1390"
"NSLB","2021-12-12","1215","1215","1111.5","1111.5","-10.00","6092"
"NSLB","2021-12-09","1222","1249","1200.1","1235","-0.40","2691"
"NSLB","2021-12-08","1313","1313","1240","1240","-7.39","1285"
"NSLB","2021-12-07","1339","1339","1339","1339","1.37","100"
"NSLB","2021-12-06","1345","1345","1294","1320.9","-1.65","316"
"NSLB","2021-12-05","1285","1343.1","1260","1343.1","4.04","895"
"NSLB","2021-12-02","1315","1315","1289","1291","-1.83","810"
"NSLB","2021-12-01","1315.1","1315.1","1315","1315","-0.75","352"
"NSLB","2021-11-30","1315.5","1325","1306.1","1325","0.72","620"
"NSLB","2021-11-29","1331","1356.6","1315.5","1315.5","-1.09","932"
"NSLB","2021-11-28","1350.5","1350.5","1330","1330","-3.48","490"
"NSLB","2021-11-25","1360","1378","1358.1","1378","-0.51","359"
"NSLB","2021-11-24","1331","1385","1331","1385","2.37","388"
"NSLB","2021-11-23","1361","1387.8","1351","1353","-0.59","1184"
"NSLB","2021-11-22","1376","1376","1353","1361","-0.92","575"
"NSLB","2021-11-21","1400","1410","1371.4","1373.6","-1.18","776"
"NSLB","2021-11-18","1380","1400","1369","1390","-0.07","2030"
"NSLB","2021-11-17","1398.9","1455","1391","1391","1.31","1537"
"NSLB","2021-11-16","1370","1428.4","1370","1373","0.00","1530"
"NSLB","2021-11-15","1386.9","1386.9","1350","1373","0.95","1764"
"NSLB","2021-11-14","1380","1410","1358","1360.1","-3.26","2611"
"NSLB","2021-11-11","1425","1425","1391","1406","-2.36","2063"
"NSLB","2021-11-09","1489.9","1489.9","1440","1440","-3.35","1265"
"NSLB","2021-11-08","1526.9","1526.9","1473","1489.9","-0.67","1450"
"NSLB","2021-11-03","1544","1544","1469.5","1500","-1.06","2962"
"NSLB","2021-11-02","1483.1","1516","1425","1516","0.46","3147"
"NSLB","2021-11-01","1561","1561","1487.1","1509","-1.55","3993"
"NSLB","2021-10-31","1534","1564.6","1474","1532.8","1.91","13467"
"NSLB","2021-10-28","1513","1513","1431","1504","1.28","9342"
"NSLB","2021-10-27","1479.9","1509","1450","1485","2.05","4340"
"NSLB","2021-10-26","1439.2","1460","1430.8","1455.2","3.13","4526"
"NSLB","2021-10-25","1435","1460","1400","1411","0.07","2719"
"NSLB","2021-10-24","1422","1450.4","1400","1410","1.08","3499"
"NSLB","2021-10-21","1372","1425","1372","1395","-0.19","632"
"NSLB","2021-10-20","1387.2","1399","1365","1397.6","2.76","439"
"NSLB","2021-10-19","1375","1375","1296.6","1360","-2.86","5002"
"NSLB","2021-10-18","1454.5","1480","1398","1400","-5.66","956"
"NSLB","2021-10-17","1452","1484","1455","1484","2.20","1072"
"NSLB","2021-10-11","1466","1487","1427","1452","-2.88","3834"
"NSLB","2021-10-10","1543.8","1625","1480","1495","-1.23","3875"
"NSLB","2021-10-06","1403.5","1513.6","1395","1513.6","10.00","6524"
"NSLB","2021-10-05","1337.2","1440","1314","1376","4.96","3580"
"NSLB","2021-10-04","1280","1341","1280","1311","1.63","1577"
"NSLB","2021-10-03","1295","1320","1216","1290","1.34","6149"
"NSLB","2021-09-30","1346","1400","1247","1273","-3.56","3397"
