"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"NUBL","2022-05-05","1050","1050","1026","1026","-2.10","3817"
"NUBL","2022-05-04","1050","1055","1040","1048","-1.96","4614"
"NUBL","2022-05-02","1100","1100","1065.2","1069","-1.47","4540"
"NUBL","2022-04-28","1091","1093","1073","1085","-0.55","2542"
"NUBL","2022-04-27","1103","1114.5","1080","1091","-1.09","2541"
"NUBL","2022-04-26","1115","1115","1095","1103","0.27","803"
"NUBL","2022-04-25","1101","1139","1100","1100","-1.79","3000"
"NUBL","2022-04-24","1097","1142.3","1074","1120","3.90","5307"
"NUBL","2022-04-21","1060","1080","1050","1078","1.03","3415"
"NUBL","2022-04-20","1075","1083","1065","1067","-0.74","2246"
"NUBL","2022-04-19","1056","1080","1056","1075","0.74","1672"
"NUBL","2022-04-18","1067.5","1089","1060","1067.1","-1.92","4054"
"NUBL","2022-04-17","1127","1127","1088","1088","-1.54","3166"
"NUBL","2022-04-13","1061","1105","1057","1105","2.50","4809"
"NUBL","2022-04-12","1067","1082","1059","1078","-0.28","4679"
"NUBL","2022-04-11","1101.6","1120","1081","1081","0.09","4245"
"NUBL","2022-04-07","1074.9","1095","1064","1080","1.41","6520"
"NUBL","2022-04-06","1074","1090","1053","1065","-2.65","7025"
"NUBL","2022-04-05","1091","1096","1070","1094","-0.45","6385"
"NUBL","2022-04-04","1122","1122","1088","1099","-0.09","7106"
"NUBL","2022-04-03","1093","1117","1093","1100","-1.26","2348"
"NUBL","2022-03-31","1143.4","1143.4","1108","1114","-0.62","4627"
"NUBL","2022-03-30","1137","1145","1099","1121","0.54","5102"
"NUBL","2022-03-29","1100","1118","1100","1115","0.00","4333"
"NUBL","2022-03-28","1143.4","1143.4","1100","1115","-0.54","3209"
"NUBL","2022-03-27","1153.5","1153.5","1119.5","1121","-1.75","5193"
"NUBL","2022-03-24","1150","1163","1140.1","1141","-0.44","5131"
"NUBL","2022-03-23","1179","1179","1145","1146","-0.87","3930"
"NUBL","2022-03-22","1177","1177","1155","1156","0.17","4762"
"NUBL","2022-03-21","1168.9","1168.9","1138","1154","0.70","2397"
"NUBL","2022-03-20","1170","1172","1143","1146","-0.35","4471"
"NUBL","2022-03-16","1150","1159.9","1145","1150","0.00","4716"
"NUBL","2022-03-15","1166","1177","1145","1150","-1.29","7610"
"NUBL","2022-03-14","1161","1171.9","1137.8","1165","1.30","1867"
"NUBL","2022-03-13","1120","1150","1115.1","1150","3.74","12210"
"NUBL","2022-03-10","1085","1110","1085","1108.5","1.33","6187"
"NUBL","2022-03-09","1120","1120","1090.1","1094","-0.64","7189"
"NUBL","2022-03-07","1111","1119","1092","1101","-0.90","9643"
"NUBL","2022-03-06","1110","1123","1090","1111","0.09","9328"
"NUBL","2022-03-02","1145","1145","1110","1110","-3.06","6849"
"NUBL","2022-02-28","1179","1179","1140.1","1145","-1.38","7099"
"NUBL","2022-02-27","1166","1180","1158","1161","-0.43","4416"
"NUBL","2022-02-24","1180","1190","1158.1","1166","-2.67","15436"
"NUBL","2022-02-23","1200","1205","1187","1198","-0.17","4045"
