"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"NYADI","2022-05-05","363","363","344.2","353","-2.75","7144"
"NYADI","2022-05-04","368","380","361","363","-3.20","4666"
"NYADI","2022-05-02","386","393","374.1","375","-4.65","5895"
"NYADI","2022-04-28","387.1","402.9","387.1","393.3","-0.43","8301"
"NYADI","2022-04-27","389","403.9","386.1","395","-0.25","3525"
"NYADI","2022-04-26","392.1","408","390.3","396","-1.00","5881"
"NYADI","2022-04-25","412","424.3","398","400","-4.72","11852"
"NYADI","2022-04-24","395","419.8","374.6","419.8","7.64","12837"
"NYADI","2022-04-21","370","399.8","360","390","4.00","5538"
"NYADI","2022-04-20","382","401","368","375","-3.10","5304"
"NYADI","2022-04-19","380","390","361.2","387","1.57","7350"
"NYADI","2022-04-18","392","400","381","381","-4.75","4772"
"NYADI","2022-04-17","410","417","397","400","-2.44","4681"
"NYADI","2022-04-13","394","411.9","394","410","2.22","5670"
"NYADI","2022-04-12","420","422","397.1","401.1","-6.07","9734"
"NYADI","2022-04-11","435","443.7","421.5","427","-0.49","11615"
"NYADI","2022-04-07","444","444","425","429.1","-1.58","10979"
"NYADI","2022-04-06","429.3","441","419.9","436","-0.46","6185"
"NYADI","2022-04-05","441","441","425","438","-2.67","10520"
"NYADI","2022-04-04","445.9","450","439","450","-1.08","4533"
"NYADI","2022-04-03","442.2","454.9","442","454.9","0.84","4216"
"NYADI","2022-03-31","458","470","451.1","451.1","-2.57","8375"
"NYADI","2022-03-30","440.8","464.2","440.8","463","2.96","7335"
"NYADI","2022-03-29","436","459","436","449.7","1.28","9089"
"NYADI","2022-03-28","460","469.1","442","444","-1.99","5974"
"NYADI","2022-03-27","459.7","470","447","453","-3.41","13798"
"NYADI","2022-03-24","471","475","467","469","-0.42","7182"
"NYADI","2022-03-23","483","483","470","471","-2.69","12633"
"NYADI","2022-03-22","498.6","498.6","478","484","-1.02","7378"
"NYADI","2022-03-21","490","496","475.1","489","1.03","9304"
"NYADI","2022-03-20","475","493.1","475","484","0.10","6100"
"NYADI","2022-03-16","485.5","489.2","470.5","483.5","1.58","8788"
"NYADI","2022-03-15","483.2","499.7","467","476","-2.94","19314"
"NYADI","2022-03-14","495","504.9","486.1","490.4","-2.89","6148"
"NYADI","2022-03-13","513","517","491.1","505","0.40","27030"
"NYADI","2022-03-10","470","517","447","503","7.02","16084"
"NYADI","2022-03-09","494.7","494.7","464","470","-3.29","10317"
"NYADI","2022-03-07","497.5","497.5","478.3","486","-0.41","8970"
"NYADI","2022-03-06","484.5","488","470","488","2.74","16335"
"NYADI","2022-03-02","481","490","472.6","475","-3.06","11964"
"NYADI","2022-02-28","535","545","490","490","-6.67","25258"
"NYADI","2022-02-27","520","535","510","525","0.96","30184"
"NYADI","2022-02-24","550","550.8","518","520","-5.45","37596"
"NYADI","2022-02-23","545.7","566","530","550","2.80","44722"
"NYADI","2022-02-22","520","555","512","535","4.70","68842"
"NYADI","2022-02-21","482","516","482","511","3.95","28319"
"NYADI","2022-02-20","473.4","507","464","491.6","1.78","30263"
"NYADI","2022-02-17","465.5","483","460","483","1.68","7677"
"NYADI","2022-02-16","490","490","457.7","475","-2.96","17166"
"NYADI","2022-02-15","445","489.5","437","489.5","10.00","11328"
"NYADI","2022-02-14","451","459","444","445","-1.33","7201"
"NYADI","2022-02-13","468.5","469","448","451","-5.65","21099"
"NYADI","2022-02-10","480.2","499.8","475","478","-2.43","13357"
"NYADI","2022-02-09","490","500","480.2","489.9","-1.63","13550"
"NYADI","2022-02-08","509","529.2","495.1","498","0.00","18203"
"NYADI","2022-02-07","504.8","515","499.1","509","-1.17","11704"
"NYADI","2022-02-06","527","527","503","515","-2.83","34028"
"NYADI","2022-02-03","509","530.2","503","530","4.13","56373"
"NYADI","2022-02-01","495","524","481","509","4.09","21831"
"NYADI","2022-01-31","505","505","488","489","-3.17","9895"
"NYADI","2022-01-30","484.5","510","484.5","505","6.32","25004"
"NYADI","2022-01-27","473","481","465","475","0.42","9620"
"NYADI","2022-01-26","477","485","463","473","-2.49","11451"
"NYADI","2022-01-25","486","503","472","485.1","-1.40","18223"
"NYADI","2022-01-24","517","520","480","492","-4.84","37075"
"NYADI","2022-01-23","530","545","510","517","-1.90","31446"
"NYADI","2022-01-20","475","529","474.6","527","8.86","34689"
"NYADI","2022-01-19","499","499","481","484.1","-2.99","13433"
"NYADI","2022-01-18","492","505","490","499","1.42","30733"
"NYADI","2022-01-17","463","492","460","492","4.66","28599"
"NYADI","2022-01-16","481","489.6","469","470.1","-2.27","32274"
"NYADI","2022-01-13","472.4","485","463","481","-0.21","20163"
"NYADI","2022-01-12","482","486","460","482","0.00","25627"
"NYADI","2022-01-11","431","482","431","482","9.79","31728"
"NYADI","2022-01-10","430","439.9","420","439","2.09","20907"
"NYADI","2022-01-09","390.1","432.3","390.1","430","9.41","24892"
"NYADI","2022-01-06","375","393","369.1","393","2.88","11525"
"NYADI","2022-01-05","384","397.8","371","382","-0.52","14924"
"NYADI","2022-01-04","371.5","388","367.1","384","1.32","7729"
"NYADI","2022-01-03","375.4","390","362","379","-1.04","13813"
"NYADI","2022-01-02","356.8","386.1","353","383","5.22","11390"
"NYADI","2021-12-29","351.2","372","351.2","364","1.68","4050"
"NYADI","2021-12-28","355","362.4","351","358","-0.56","4065"
"NYADI","2021-12-27","375","375","358","360","-4.00","11881"
"NYADI","2021-12-26","370.1","377","362.6","375","1.08","8054"
"NYADI","2021-12-23","378.1","380","365.1","371","-1.85","8049"
"NYADI","2021-12-22","357","378","357","378","5.91","7385"
"NYADI","2021-12-21","349","356.9","344","356.9","2.85","5216"
"NYADI","2021-12-20","362","362","343","347","-4.41","4850"
"NYADI","2021-12-16","365","385.5","360","363","-2.42","5854"
"NYADI","2021-12-15","389.3","412","363","372","-2.54","17495"
"NYADI","2021-12-14","350","381.7","350","381.7","10.00","4849"
"NYADI","2021-12-13","358","386","332","347","-4.93","10591"
"NYADI","2021-12-12","387","392","364","365","-7.12","17386"
"NYADI","2021-12-09","399.9","404","385","393","-3.68","12424"
"NYADI","2021-12-08","408","410","400","408","-1.92","10795"
"NYADI","2021-12-07","441","459","414","416","-3.93","30287"
"NYADI","2021-12-06","463.4","499.8","409","433","-4.71","81212"
"NYADI","2021-12-05","421.3","454.4","421.3","454.4","10.00","1533"
"NYADI","2021-12-02","375.6","413.1","375.6","413.1","9.98","390"
"NYADI","2021-12-01","348.3","375.6","348.3","375.6","9.99","150"
"NYADI","2021-11-30","316.7","341.5","316.7","341.5","9.98","171"
"NYADI","2021-11-29","282.3","310.5","282.3","310.5","0.00","194"
