"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"ODBL","2018-08-19","198","202","189","197","0.51","127384"
"ODBL","2018-08-16","201","205","193","196","-2.97","40365"
"ODBL","2018-08-15","190","202","190","202","4.66","23067"
"ODBL","2018-08-14","185","193","185","193","4.32","40623"
"ODBL","2018-08-13","180","187","180","185","3.93","21815"
"ODBL","2018-08-12","175","182","175","178","0.00","13688"
"ODBL","2018-08-09","178","185","172","178","-1.11","16943"
"ODBL","2018-08-08","174","180","173","180","3.45","12966"
"ODBL","2018-08-07","172","175","171","174","1.16","14258"
"ODBL","2018-08-06","172","173","170","172","-0.58","5796"
"ODBL","2018-08-05","170","175","170","173","2.37","8508"
"ODBL","2018-08-02","170","171","169","170","-1.74","6567"
"ODBL","2018-08-01","172","176","169","172","0.58","6508"
"ODBL","2018-07-31","172","172","171","171","-0.58","4015"
"ODBL","2018-07-30","172","174","171","172","0.00","2489"
"ODBL","2018-07-29","172","174","172","172","0.58","5117"
"ODBL","2018-07-26","173","173","170","171","0.59","8680"
"ODBL","2018-07-25","174","175","170","170","-1.73","3118"
"ODBL","2018-07-24","171","176","166","173","-0.57","6487"
"ODBL","2018-07-23","172","174","172","174","1.16","2259"
"ODBL","2018-07-22","172","173","170","172","-1.15","3700"
"ODBL","2018-07-19","172","174","169","174","-0.57","2712"
"ODBL","2018-07-18","178","178","174","175","-1.13","4354"
"ODBL","2018-07-17","177","177","174","177","-1.67","454"
"ODBL","2018-07-16","172","180","171","180","5.88","3170"
"ODBL","2018-07-15","172","173","169","170","-0.58","7234"
"ODBL","2018-07-12","174","174","171","172","-1.16","2541"
"ODBL","2018-07-11","176","180","172","173","-1.70","4559"
"ODBL","2018-07-10","172","176","172","176","1.15","6335"
"ODBL","2018-07-09","177","177","171","174","-1.69","48202"
"ODBL","2018-07-08","175","179","175","177","0.00","4518"
"ODBL","2018-07-05","169","177","169","177","4.12","39504"
"ODBL","2018-07-04","167","175","167","170","0.00","4975"
"ODBL","2018-07-03","167","173","167","170","0.59","807"
"ODBL","2018-07-02","172","173","169","169","-1.74","4913"
"ODBL","2018-07-01","172","176","169","172","0.58","6508"
"ODBL","2018-06-28","178","178","175","177","1.14","5623"
"ODBL","2018-06-27","176","179","175","175","0.00","924"
"ODBL","2018-06-26","177","178","175","175","-1.13","1145"
"ODBL","2018-06-25","176","177","175","177","1.72","5518"
"ODBL","2018-06-24","177","180","174","174","-1.14","64938"
"ODBL","2018-06-21","176","180","176","177","-0.56","1827"
"ODBL","2018-06-20","180","180","177","177","-1.67","200980"
"ODBL","2018-06-19","180","180","177","180","0.00","2876"
"ODBL","2018-06-18","180","180","174","180","0.00","1060"
"ODBL","2018-06-17","189","189","180","180","-3.23","1130"
"ODBL","2018-06-14","180","186","180","186","2.20","720"
"ODBL","2018-06-13","176","182","176","182","2.82","1203"
"ODBL","2018-06-12","175","180","175","178","-0.56","1056"
"ODBL","2018-06-11","177","181","175","178","-1.11","1093"
"ODBL","2018-06-10","181","181","180","180","-1.64","751"
"ODBL","2018-06-07","188","188","183","184","-2.66","1746"
"ODBL","2018-06-06","186","188","186","188","1.08","116"
"ODBL","2018-06-04","187","187","185","186","1.09","2702"
"ODBL","2018-06-03","189","189","184","184","-2.64","1668"
"ODBL","2018-05-31","190","190","189","189","-0.53","331"
"ODBL","2018-05-30","187","191","187","190","0.00","2080"
"ODBL","2018-05-29","193","195","189","190","-1.04","3982"
"ODBL","2018-05-28","187","193","184","192","2.67","3632"
"ODBL","2018-05-27","186","187","184","187","1.08","1170"
"ODBL","2018-05-23","189","189","189","189","-1.56","158"
"ODBL","2018-05-22","192","192","190","192","1.05","170"
"ODBL","2018-05-21","190","192","189","190","-1.04","1008"
"ODBL","2018-05-20","195","195","192","192","0.00","3500"
"ODBL","2018-05-17","192","193","192","192","1.05","1922"
"ODBL","2018-05-16","189","190","186","190","1.06","2732"
"ODBL","2018-05-15","188","190","188","188","-1.05","1140"
"ODBL","2018-05-14","194","194","190","190","-3.55","747"
"ODBL","2018-05-10","200","199","195","197","-1.50","4956"
"ODBL","2018-05-09","198","202","197","200","1.01","1559"
"ODBL","2018-05-08","193","198","193","198","1.54","1592"
"ODBL","2018-05-07","195","197","195","195","-1.02","2351"
"ODBL","2018-05-06","200","204","197","197","-1.50","1191"
"ODBL","2018-05-03","204","204","200","200","0.00","2429"
"ODBL","2018-05-02","197","201","194","200","1.52","1228"
"ODBL","2018-04-29","198","202","194","197","-1.00","8451"
"ODBL","2018-04-26","207","208","196","199","-2.45","5101"
"ODBL","2018-04-25","201","212","201","204","-0.49","8878"
"ODBL","2018-04-24","207","212","202","205","-2.38","7475"
"ODBL","2018-04-23","218","221","199","210","-3.23","26175"
"ODBL","2018-04-22","201","220","205","217","7.96","26643"
"ODBL","2018-04-19","204","212","200","201","-1.47","24503"
"ODBL","2018-04-18","198","210","192","204","3.55","19345"
"ODBL","2018-04-17","184","197","184","197","7.07","9768"
"ODBL","2018-04-16","182","185","174","184","1.10","5417"
"ODBL","2018-04-15","183","186","179","182","-0.55","3364"
"ODBL","2018-04-12","181","184","178","183","1.67","109013"
"ODBL","2018-04-11","177","183","177","180","1.69","166308"
"ODBL","2018-04-10","182","183","177","177","-2.75","2325"
"ODBL","2018-04-09","190","190","182","182","-2.67","6417"
"ODBL","2018-04-08","183","190","174","187","1.08","40489"
"ODBL","2018-04-05","173","185","169","185","8.82","19570"
"ODBL","2018-04-04","171","175","169","170","1.19","7893"
"ODBL","2018-04-03","172","172","168","169","-2.33","9706"
"ODBL","2018-04-02","167","172","167","170","1.78","1428"
"ODBL","2018-04-01","174","174","167","169","-4.52","10766"
"ODBL","2018-03-29","178","178","175","177","0.57","2200"
"ODBL","2018-03-28","179","182","173","177","-3.30","2100"
"ODBL","2018-03-27","169","182","167","182","5.81","1162"
"ODBL","2018-03-26","177","177","172","173","-4.44","3633"
"ODBL","2018-03-22","178","181","175","180","0.56","2583"
"ODBL","2018-03-21","180","182","178","179","-1.65","1946"
"ODBL","2018-03-20","183","183","177","182","-0.55","2280"
"ODBL","2018-03-19","186","186","180","183","-1.08","9326"
"ODBL","2018-03-18","188","188","185","185","-0.54","2054"
"ODBL","2018-03-15","187","190","186","187","-0.53","2469"
"ODBL","2018-03-14","187","188","187","187","-1.06","1987"
"ODBL","2018-03-13","184","189","184","189","1.07","1891"
"ODBL","2018-03-12","187","187","187","187","0.00","432"
"ODBL","2018-03-11","188","190","183","187","-0.53","3916"
"ODBL","2018-03-07","185","191","185","188","1.62","4526"
"ODBL","2018-03-06","190","190","181","185","-1.60","3274"
"ODBL","2018-03-05","190","190","184","188","0.53","1391"
"ODBL","2018-03-04","187","187","180","187","-1.58","3809"
"ODBL","2018-02-28","190","192","190","190","-1.55","7845"
"ODBL","2018-02-27","194","195","191","193","-2.03","7678"
"ODBL","2018-02-26","197","200","190","197","0.00","5559"
"ODBL","2018-02-25","232","232","225","231","0.00","13611"
"ODBL","2018-02-22","231","232","226","231","0.87","156539"
"ODBL","2018-02-21","230","230","226","229","0.44","156824"
"ODBL","2018-02-20","231","231","227","228","-0.44","21853"
"ODBL","2018-02-15","226","232","226","229","1.33","25410"
"ODBL","2018-02-14","224","226","224","226","0.00","4526"
"ODBL","2018-02-12","227","227","224","226","0.89","8595"
"ODBL","2018-02-11","223","227","223","224","-1.32","12183"
"ODBL","2018-02-08","225","229","225","227","0.44","7651"
"ODBL","2018-02-07","228","230","226","226","-0.44","840"
"ODBL","2018-02-06","227","227","225","227","0.00","3054"
"ODBL","2018-02-05","228","229","226","227","-1.73","3342"
"ODBL","2018-02-04","231","232","229","231","0.43","4308"
"ODBL","2018-02-01","228","230","225","230","2.22","2171"
"ODBL","2018-01-31","225","227","224","225","0.45","6167"
"ODBL","2018-01-29","223","229","223","224","-1.32","6653"
"ODBL","2018-01-28","230","230","227","227","-0.87","6452"
"ODBL","2018-01-25","229","231","227","229","0.44","6034"
"ODBL","2018-01-24","230","230","227","229","-0.87","2129"
"ODBL","2018-01-23","231","232","229","230","-0.43","2891"
"ODBL","2018-01-22","235","235","231","234","-1.28","282"
"ODBL","2018-01-21","236","238","230","234","0.86","1427"
"ODBL","2018-01-17","232","233","229","232","0.00","1914"
"ODBL","2018-01-16","232","233","231","232","-1.28","3470"
"ODBL","2018-01-14","236","236","235","235","-1.26","2746"
"ODBL","2018-01-10","235","238","235","238","-0.42","4239"
"ODBL","2018-01-09","240","241","239","239","-0.42","647"
"ODBL","2018-01-08","238","240","236","240","0.84","1993"
"ODBL","2018-01-07","242","250","236","238","0.00","1399"
"ODBL","2018-01-04","235","239","235","239","0.00","3303"
"ODBL","2018-01-03","245","245","237","238","-1.65","1279"
"ODBL","2018-01-02","241","245","241","242","-1.22","7352"
"ODBL","2018-01-01","237","249","233","245","5.15","4860"
"ODBL","2017-12-31","230","233","228","233","1.75","1817"
"ODBL","2017-12-28","236","240","229","230","-3.37","4639"
"ODBL","2017-12-27","236","240","236","237","-1.25","1156"
"ODBL","2017-12-26","240","244","240","240","-1.64","2870"
"ODBL","2017-12-24","241","247","240","244","0.00","5558"
"ODBL","2017-12-21","257","257","244","244","-3.17","8876"
"ODBL","2017-12-20","250","252","247","251","0.80","1685"
"ODBL","2017-12-19","250","250","250","250","0.00","1383"
"ODBL","2017-12-18","255","255","250","250","-1.19","4736"
"ODBL","2017-12-17","255","256","252","253","-2.69","5574"
"ODBL","2017-12-14","262","262","258","260","-0.76","663"
"ODBL","2017-12-13","255","262","255","262","1.55","2458"
"ODBL","2017-12-12","263","263","258","259","-0.39","1222"
"ODBL","2017-12-11","260","263","259","259","-2.26","2242"
"ODBL","2017-12-10","268","275","262","265","0.76","5213"
"ODBL","2017-12-06","260","265","260","263","1.94","2580"
"ODBL","2017-12-05","260","265","258","258","-2.27","29390"
"ODBL","2017-12-04","267","267","263","264","-1.12","1756"
"ODBL","2017-11-30","263","267","262","267","0.75","1639"
"ODBL","2017-11-29","268","275","265","265","0.76","6423"
"ODBL","2017-11-28","266","270","263","263","-2.59","8775"
"ODBL","2017-11-27","270","270","270","270","1.89","415"
"ODBL","2017-11-26","265","270","263","265","0.00","5277"
"ODBL","2017-11-23","269","270","261","265","-1.49","3640"
"ODBL","2017-11-22","270","270","265","269","1.51","4689"
"ODBL","2017-11-21","268","268","264","265","0.00","7550"
"ODBL","2017-11-20","268","268","264","265","-2.93","12596"
"ODBL","2017-11-19","270","273","263","273","1.11","2142"
"ODBL","2017-11-16","270","275","269","270","0.00","1557"
"ODBL","2017-11-15","280","282","270","270","-4.26","2983"
"ODBL","2017-11-14","273","282","272","282","3.30","2168"
"ODBL","2017-11-13","280","280","270","273","-0.73","1278"
"ODBL","2017-11-09","273","275","268","273","-1.80","4856"
"ODBL","2017-11-08","274","278","263","278","0.00","776"
"ODBL","2017-11-07","280","284","273","278","-0.71","2919"
"ODBL","2017-11-06","285","284","275","280","-1.75","5757"
"ODBL","2017-11-05","288","288","280","284","-1.72","7755"
"ODBL","2017-11-02","290","296","285","290","-0.34","5443"
"ODBL","2017-11-01","295","298","290","291","-1.36","2054"
"ODBL","2017-10-31","296","296","290","295","1.37","2249"
"ODBL","2017-10-30","295","295","290","291","-0.68","2459"
"ODBL","2017-10-29","297","300","293","293","0.00","3916"
"ODBL","2017-10-25","289","293","289","293","-0.34","2504"
"ODBL","2017-10-24","295","295","292","294","-0.34","2267"
"ODBL","2017-10-22","294","300","290","298","1.69","6130"
"ODBL","2017-10-18","295","299","290","295","-0.34","6666"
"ODBL","2017-10-17","300","300","296","296","-1.33","620"
"ODBL","2017-10-16","292","300","290","300","3.45","5354"
"ODBL","2017-10-15","289","290","287","290","0.35","1185"
"ODBL","2017-10-12","296","296","288","289","-2.03","4970"
"ODBL","2017-10-11","292","297","292","295","1.03","957"
"ODBL","2017-10-10","291","295","290","292","-1.35","6853"
"ODBL","2017-10-09","295","296","295","296","1.02","301"
"ODBL","2017-10-08","297","297","293","293","-3.30","9714"
"ODBL","2017-10-04","300","303","300","303","1.00","132"
"ODBL","2017-10-03","300","300","300","300","0.00","139"
"ODBL","2017-09-26","300","302","299","300","0.00","2101"
"ODBL","2017-09-25","296","304","296","300","0.00","6868"
"ODBL","2017-09-24","302","302","299","300","-1.64","5060"
"ODBL","2017-09-20","313","311","303","305","-0.65","2608"
"ODBL","2017-09-18","319","319","303","307","-2.54","8135"
"ODBL","2017-09-17","320","325","299","315","0.32","5685"
"ODBL","2017-09-14","376","379","371","377","0.27","18066"
"ODBL","2017-09-13","382","382","370","377","0.53","6165"
"ODBL","2017-09-12","378","384","372","375","-2.60","5973"
"ODBL","2017-09-11","378","385","362","385","3.77","12582"
"ODBL","2017-09-10","387","394","371","371","-2.37","8791"
"ODBL","2017-09-07","398","398","380","380","-2.81","14270"
"ODBL","2017-09-06","397","400","391","391","-1.26","6471"
"ODBL","2017-09-04","400","400","391","396","-2.22","2212"
"ODBL","2017-08-30","413","413","401","401","-2.91","5910"
"ODBL","2017-08-28","412","415","410","413","-0.72","9715"
"ODBL","2017-08-27","420","420","412","416","-0.95","3017"
"ODBL","2017-08-24","419","420","415","420","0.24","4583"
"ODBL","2017-08-23","428","428","418","419","-0.24","2811"
"ODBL","2017-08-22","417","423","417","420","1.20","3385"
"ODBL","2017-08-21","415","420","414","415","0.00","7678"
"ODBL","2017-08-20","420","429","415","415","-0.95","11579"
"ODBL","2017-08-17","422","430","415","419","-0.24","14386"
"ODBL","2017-08-16","421","426","420","420","0.00","6501"
"ODBL","2017-08-15","425","433","419","420","-1.18","5913"
"ODBL","2017-08-13","428","428","425","425","-0.70","4379"
"ODBL","2017-08-10","430","433","427","428","-1.61","7064"
"ODBL","2017-08-09","430","445","428","435","0.93","11189"
"ODBL","2017-08-07","439","440","430","431","0.00","22218"
"ODBL","2017-08-06","430","445","430","431","0.23","10754"
"ODBL","2017-08-03","430","436","422","430","0.00","18491"
"ODBL","2017-08-02","428","438","415","430","2.38","20871"
"ODBL","2017-08-01","415","438","415","420","1.20","13645"
"ODBL","2017-07-31","420","422","415","415","-0.72","3970"
"ODBL","2017-07-30","415","418","410","415","0.72","4968"
"ODBL","2017-07-27","419","423","412","415","-0.95","8420"
"ODBL","2017-07-26","426","426","418","419","0.24","6750"
"ODBL","2017-07-25","418","432","417","418","0.00","8598"
"ODBL","2017-07-24","430","430","416","418","-1.18","10786"
"ODBL","2017-07-23","428","429","423","423","-1.40","7105"
"ODBL","2017-07-20","430","436","428","429","0.23","16870"
"ODBL","2017-07-19","431","441","400","428","-2.51","44462"
"ODBL","2017-07-18","487","478","439","439","-9.86","11447"
"ODBL","2016-10-06","629","635","625","629","1.94","3978"
"ODBL","2016-10-05","587","630","587","617","0.00","2390"
"ODBL","2016-10-04","620","620","616","617","-0.48","7069"
"ODBL","2016-10-03","611","640","611","620","-0.48","5381"
"ODBL","2016-10-02","617","625","616","623","0.97","6576"
"ODBL","2016-09-29","620","622","610","617","-0.48","3132"
"ODBL","2016-09-28","630","630","606","620","-1.27","10584"
"ODBL","2016-09-27","632","640","608","628","1.29","7406"
"ODBL","2016-09-26","605","640","605","620","1.64","3792"
"ODBL","2016-09-25","624","652","612","630","-0.94","4569"
"ODBL","2016-09-22","624","652","612","630","-0.94","4569"
