"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"OHL","2022-05-05","486","495","485.1","495","0.00","3107"
"OHL","2022-05-04","511.2","511.2","495","495","-1.24","3729"
"OHL","2022-05-02","517","518.1","497.9","501.2","-2.70","10020"
"OHL","2022-04-28","521","521","515","515.1","-1.13","14342"
"OHL","2022-04-27","510","523","505.1","521","2.06","21882"
"OHL","2022-04-26","521","521","505.5","510.5","-0.29","9720"
"OHL","2022-04-25","501.8","520","501.8","512","0.00","15839"
"OHL","2022-04-24","503","513","490","512","3.64","11048"
"OHL","2022-04-21","496","496","482","494","1.44","1594"
"OHL","2022-04-20","508.8","508.8","487","487","-2.40","6775"
"OHL","2022-04-19","499.8","500","485","499","1.84","3236"
"OHL","2022-04-18","502","502","490","490","-3.92","7112"
"OHL","2022-04-17","508","515","499.8","510","0.00","17755"
"OHL","2022-04-13","500","512","500","510","2.00","4812"
"OHL","2022-04-12","508.9","509","500","500","0.00","8853"
"OHL","2022-04-11","516","516","496","500","-2.53","5293"
"OHL","2022-04-07","505","523","503","513","1.99","28685"
"OHL","2022-04-06","493","509.3","490","503","2.03","47129"
"OHL","2022-04-05","483","495","480","493","0.82","8951"
"OHL","2022-04-04","494.9","500","489","489","-0.20","4669"
"OHL","2022-04-03","490.1","495","490","490","-0.49","3343"
"OHL","2022-03-31","500","500","492.4","492.4","-3.07","6085"
"OHL","2022-03-30","485","508.9","485","508","3.46","8701"
"OHL","2022-03-29","482.2","493","482.2","491","0.61","4520"
"OHL","2022-03-28","490","490","481.1","488","0.00","3899"
"OHL","2022-03-27","481.6","500","481.6","488","0.21","1411"
"OHL","2022-03-24","494.9","495","487","487","-1.62","7649"
"OHL","2022-03-23","496","505","495","495","-1.00","5920"
"OHL","2022-03-22","510","510","495","500","-1.57","2620"
"OHL","2022-03-21","501","510","496","508","1.20","8705"
"OHL","2022-03-20","515","515","500","502","-2.52","11618"
"OHL","2022-03-16","500","518","490","515","3.02","37043"
"OHL","2022-03-15","489","527.9","475","499.9","2.02","16236"
"OHL","2022-03-14","495","495","475.5","490","0.00","2591"
"OHL","2022-03-13","465","491.6","465","490","5.60","11431"
"OHL","2022-03-10","450","464","450","464","4.27","5989"
"OHL","2022-03-09","453","453","440","445","-1.55","7472"
"OHL","2022-03-07","470","470","452","452","-1.95","4174"
"OHL","2022-03-06","469","469.8","452","461","0.09","12087"
"OHL","2022-03-02","464","470","460.6","460.6","-2.00","3597"
"OHL","2022-02-28","483","483","464.6","470","-0.84","26952"
"OHL","2022-02-27","480","484","465","474","-1.25","24793"
"OHL","2022-02-24","491","491","477","480","-2.26","5929"
"OHL","2022-02-23","499","499","491","491.1","-1.58","860"
"OHL","2022-02-22","498.9","507","491","499","1.61","4053"
"OHL","2022-02-21","486","503","486","491.1","1.05","3783"
"OHL","2022-02-20","481.2","490.6","472.4","486","-1.02","3472"
"OHL","2022-02-17","499","500","490","491","-0.81","1537"
"OHL","2022-02-16","493.1","503","478.1","495","-1.59","8616"
"OHL","2022-02-15","484","503","483.7","503","2.24","3459"
"OHL","2022-02-14","500.8","500.8","480","492","0.20","7778"
"OHL","2022-02-13","501","501","491","491","-3.91","6798"
"OHL","2022-02-10","520","523","506.1","511","-0.58","4749"
"OHL","2022-02-09","510","515","506","514","0.78","8810"
"OHL","2022-02-08","518.1","519","500","510","0.00","16367"
"OHL","2022-02-07","502.8","508","499","508","0.40","2179"
"OHL","2022-02-06","499","508","490.6","506","-0.30","8915"
"OHL","2022-02-03","501","530","501","507.5","-0.49","8885"
"OHL","2022-02-01","520","520","500","510","-0.97","4479"
"OHL","2022-01-31","511.6","521","505","515","-1.34","5448"
"OHL","2022-01-30","507.9","525","504.8","522","4.82","11160"
"OHL","2022-01-27","503","505","495","498","-1.29","4376"
"OHL","2022-01-26","490","504.5","490","504.5","0.90","2435"
"OHL","2022-01-25","494.7","504","485","500","3.09","9291"
"OHL","2022-01-24","520","520","485","485","-7.09","10559"
"OHL","2022-01-23","515.1","522","510","522","0.00","8072"
"OHL","2022-01-20","517","530","517","522","1.08","6630"
"OHL","2022-01-19","540","540","516.1","516.4","-3.30","12600"
