"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"OTHERS","2022-05-05","1720.88","1725.7","1663.46","1702.75","0.00","136268916.8"
"OTHERS","2022-05-04","1744.59","1756.48","1673.53","1720.87","0.00","116836223.3"
"OTHERS","2022-05-02","1805.69","1812.29","1741.73","1744.59","0.00","131734529.8"
"OTHERS","2022-04-28","1832.52","1847.06","1794.18","1805.69","0.00","101252561"
"OTHERS","2022-04-27","1821.22","1835.53","1795.09","1832.51","0.00","98847226.3"
"OTHERS","2022-04-26","1832.59","1848.54","1799.08","1821.22","0.00","78440845.4"
"OTHERS","2022-04-25","1874.99","1882.99","1816.83","1832.58","0.00","165534988.5"
"OTHERS","2022-04-24","1786.23","1889.29","1786.22","1874.99","0.00","188457517.3"
"OTHERS","2022-04-21","1750.38","1791.13","1738.87","1786.22","0.00","116366601.1"
"OTHERS","2022-04-20","1805.44","1837.02","1746.88","1750.37","0.00","111961309.4"
"OTHERS","2022-04-19","1785.98","1833.14","1756.29","1805.43","0.00","106252121.7"
"OTHERS","2022-04-18","1838.5","1858.39","1778.41","1785.98","0.00","146803004.52"
"OTHERS","2022-04-17","1872.5","1895.26","1821.65","1838.49","0.00","165956753.9"
"OTHERS","2022-04-13","1830.68","1878.55","1813","1872.5","0.00","130040206.2"
"OTHERS","2022-04-12","1878.68","1900.29","1830.67","1830.67","0.00","150642882.9"
"OTHERS","2022-04-11","1969.72","2026.83","1876.65","1878.68","0.00","245881425.8"
"OTHERS","2022-04-07","1901.38","1969.71","1889.15","1969.71","0.00","203998756.4"
"OTHERS","2022-04-06","1895.41","1931.32","1864.71","1901.38","0.00","182289790.1"
"OTHERS","2022-04-05","1967.37","1968.7","1883.51","1895.41","0.00","226947061.36"
"OTHERS","2022-04-04","1963.76","2019.31","1955.33","1967.37","0.00","130169498"
"OTHERS","2022-04-03","2052.12","2055.35","1987.51","1987.96","0.00","120964603.5"
"OTHERS","2022-03-31","2078.37","2100.24","2030.01","2052.11","0.00","191932959.3"
"OTHERS","2022-03-30","1996.11","2080.8","1982.93","2078.37","0.00","197473415.3"
"OTHERS","2022-03-29","2016.17","2047.28","1993.62","1996.11","0.00","148833491.4"
"OTHERS","2022-03-28","2065.48","2071.57","2010.09","2016.16","0.00","221741341.9"
"OTHERS","2022-03-27","2174.8","2190.5","2041.35","2065.47","0.00","325611800.6"
"OTHERS","2022-03-24","2183.54","2203.74","2148.31","2148.31","0.00","412813764.3"
"OTHERS","2022-03-23","2205.75","2216.57","2167.33","2183.54","0.00","203133036.1"
"OTHERS","2022-03-22","2164.54","2215.76","2164.53","2205.75","0.00","261339781.3"
"OTHERS","2022-03-21","2219.27","2232.86","2160.13","2177.14","0.00","382904963.9"
"OTHERS","2022-03-20","2251.57","2259.97","2208.23","2219.27","0.00","259579843.6"
"OTHERS","2022-03-16","2319.19","2319.19","2228.55","2251.56","0.00","360040974.4"
"OTHERS","2022-03-15","2379.58","2379.58","2305.64","2308.69","0.00","621941841.9"
"OTHERS","2022-03-14","2340.59","2365.89","2307.84","2348.78","0.00","144663088"
"OTHERS","2022-03-13","2253.97","2341.21","2253.96","2340.58","0.00","509772529.4"
"OTHERS","2022-03-10","2253.11","2267.17","2221.19","2253.96","0.00","327567712.1"
"OTHERS","2022-03-09","2251.71","2315.73","2218.32","2244.6","0.00","7957388"
"OTHERS","2022-03-07","2246.56","2301.59","2242.05","2282.06","0.00","264377308"
"OTHERS","2022-03-06","2238.35","2274.65","2213.14","2246.56","0.00","242229430"
"OTHERS","2022-03-02","2288.48","2288.47","2231.34","2238.35","0.00","424835000.3"
"OTHERS","2022-02-28","2324.08","2346.57","2270.36","2288.47","0.00","346748215.6"
"OTHERS","2022-02-27","2324.37","2357.28","2274.76","2324.08","0.00","404365610.2"
"OTHERS","2022-02-24","2337.61","2381.28","2282.19","2308.98","0.00","648699062.5"
"OTHERS","2022-02-23","2385.14","2436.12","2361.48","2368.68","0.00","462086455.2"
"OTHERS","2022-02-22","2370.19","2435.93","2363.88","2417.11","0.00","399706194.3"
"OTHERS","2022-02-21","2340.98","2380.49","2322.17","2370.19","0.00","439167335.1"
"OTHERS","2022-02-20","2330.55","2345.87","2254.83","2340.98","0.00","446346187.7"
"OTHERS","2022-02-17","2326.13","2339.14","2302.92","2331.24","0.00","237994294"
"OTHERS","2022-02-16","2315.93","2351.03","2298.81","2326.13","0.00","355371793.9"
"OTHERS","2022-02-15","2240.3","2315.93","2240.29","2315.93","0.00","417116595.1"
"OTHERS","2022-02-14","2239.97","2279.39","2228.87","2240.29","0.00","495343729.5"
"OTHERS","2022-02-13","2309.72","2309.71","2230.68","2239.96","0.00","789628753.8"
"OTHERS","2022-02-10","2296.38","2319.18","2281.56","2313.21","0.00","607574118.1"
"OTHERS","2022-02-09","2300.06","2300.05","2267.41","2296.38","0.00","492158953.6"
"OTHERS","2022-02-08","2324.01","2355.21","2286.34","2300.05","0.00","891026752"
"OTHERS","2022-02-07","2248.03","2307.47","2217.72","2302.15","0.00","1081327289.2"
"OTHERS","2022-02-06","2280.04","2280.03","2219.16","2248.03","0.00","606275430.9"
"OTHERS","2022-02-03","2289.34","2339.84","2239.71","2280.03","0.00","799487204.9"
"OTHERS","2022-02-01","2288.34","2295.33","2256.1","2289.33","0.00","625853393.8"
"OTHERS","2022-01-31","2251.01","2288.34","2221.7","2288.34","0.00","1206089919.6"
"OTHERS","2022-01-30","2178.84","2263.42","2178.83","2251","0.00","771625740.2"
"OTHERS","2022-01-27","2143.99","2182.5","2143.98","2161.9","0.00","358724658.7"
"OTHERS","2022-01-26","2168.79","2180.68","2124.9","2143.98","0.00","321383599.6"
"OTHERS","2022-01-25","2171.69","2218.08","2145.47","2168.78","0.00","380856416.7"
"OTHERS","2022-01-24","2260.09","2260.09","2151.07","2178.68","0.00","697487548.5"
