"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"PBD85","2022-05-05","856.1","856.5","855.9","855.9","-0.08","125"
"PBD85","2022-05-04","856.6","856.6","856.6","856.6","0.06","15"
"PBD85","2022-05-02","857.1","857.1","856.1","856.1","-0.01","25"
"PBD85","2022-04-17","856.2","856.2","856.2","856.2","-1.82","25"
"PBD85","2022-04-12","872.1","872.1","872.1","872.1","2.00","50"
"PBD85","2022-03-28","855.4","855.4","855","855","-0.13","60"
"PBD85","2022-03-27","856.1","856.1","856.1","856.1","-0.59","15"
"PBD85","2022-03-22","866","866","861.2","861.2","-0.32","115"
"PBD85","2022-03-20","864","864","864","864","0.12","15"
"PBD85","2022-03-16","866.1","870","863","863","-1.59","160"
"PBD85","2022-03-13","876.9","876.9","876.9","876.9","-1.99","25"
"PBD85","2022-03-07","894.7","894.7","894.7","894.7","1.99","10"
"PBD85","2022-03-06","874.8","877.2","860","877.2","0.37","125"
"PBD85","2022-03-02","877.2","877.2","874","874","-0.34","50"
"PBD85","2022-02-27","877.6","877.9","877","877","-0.17","65"
"PBD85","2022-02-24","878.5","878.5","878.5","878.5","0.05","15"
"PBD85","2022-02-20","879","879","878.1","878.1","-0.53","25"
"PBD85","2022-02-17","882.9","882.9","882.8","882.8","-1.91","25"
"PBD85","2022-02-14","899.7","900","899.7","900","2.03","35"
"PBD85","2022-02-13","891.8","891.8","882.1","882.1","-3.07","40"
"PBD85","2022-02-10","910","910","910","910","1.11","25"
"PBD85","2022-02-07","901","901","892","900","-1.96","125"
"PBD85","2022-02-06","918","918","918","918","2.00","50"
"PBD85","2022-02-01","900","900","900","900","0.00","25"
"PBD85","2022-01-31","890.6","900","890","900","-0.33","180"
"PBD85","2022-01-26","903.1","903.1","903","903","-0.01","50"
"PBD85","2022-01-23","910.1","910.1","903.1","903.1","-2.37","150"
"PBD85","2022-01-17","923","925","923","925","-1.68","55"
"PBD85","2022-01-16","960","940.8","940.8","940.8","-2.00","25"
"PBD85","2022-01-10","960","960","960","960","0.00","100"
"PBD85","2021-12-29","960","960","960","960","1.23","25"
"PBD85","2021-12-28","948.3","948.3","948.3","948.3","0.00","101"
"PBD85","2021-12-21","948.3","948.3","948.3","948.3","0.08","25"
"PBD85","2021-12-20","946.3","947.5","946.3","947.5","-0.06","50"
"PBD85","2021-12-12","948.1","948.1","948.1","948.1","-0.21","50"
"PBD85","2021-12-09","950","950.2","950","950.1","0.19","175"
"PBD85","2021-12-08","948.3","948.3","948.3","948.3","0.24","25"
"PBD85","2021-12-06","949.2","949.2","946","946","-0.55","150"
"PBD85","2021-12-01","951.2","951.2","951.2","951.2","0.00","25"
"PBD85","2021-11-29","951.2","951.2","951.2","951.2","-0.02","25"
"PBD85","2021-11-28","952.8","952.8","951.4","951.4","-0.69","75"
"PBD85","2021-11-23","952","958","952","958","-0.21","125"
"PBD85","2021-11-21","955","960","955","960","0.52","50"
"PBD85","2021-11-18","955","955","955","955","-0.52","200"
"PBD85","2021-11-16","960","960","960","960","-0.93","75"
"PBD85","2021-11-15","960","969","955","969","1.89","250"
"PBD85","2021-11-14","951","951","951","951","-0.52","25"
"PBD85","2021-11-11","956","956","956","956","0.20","100"
"PBD85","2021-11-09","954.1","954.1","954.1","954.1","0.33","25"
"PBD85","2021-11-08","951","951","951","951","-1.76","25"
"PBD85","2021-11-03","960","968","960","968","0.00","50"
"PBD85","2021-11-01","968","968","968","968","1.89","10"
"PBD85","2021-10-27","950","950","950","950","-0.52","25"
"PBD85","2021-10-26","953.1","955","952","955","-0.52","150"
"PBD85","2021-10-25","960","960","960","960","0.31","25"
"PBD85","2021-10-24","957","957","957","957","0.53","25"
"PBD85","2021-10-20","951","952","950","952","-0.22","75"
"PBD85","2021-10-18","954.1","954.1","954.1","954.1","-0.62","25"
"PBD85","2021-10-10","960","960.1","960","960.1","-0.51","55"
"PBD85","2021-10-06","955","965","955","965","0.73","100"
"PBD85","2021-10-05","953","958","953","958","0.00","50"
"PBD85","2021-10-04","958","959","958","958","-0.43","75"
"PBD85","2021-10-03","964","964","962","962.1","-0.41","175"
"PBD85","2021-09-30","961","973","961","966.1","0.52","180"
"PBD85","2021-09-29","980","980","961.1","961.1","-3.89","25"
"PBD85","2021-09-23","1000","1000","1000","1000","0.00","10"
