"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"PBLD86","2022-04-21","943.5","943.5","940","940","-1.05","100"
"PBLD86","2022-03-29","950","950","950","950","-0.06","300"
"PBLD86","2022-03-27","970","970","950.6","950.6","-3.00","125"
"PBLD86","2022-03-21","980","980","980","980","0.00","200"
"PBLD86","2022-01-16","1000","980.1","980","980","-2.00","100"
"PBLD86","2021-12-05","1004.5","1004.5","1000","1000","-2.44","500"
"PBLD86","2021-12-01","1025","1025","1025","1025","-1.91","50"
"PBLD86","2021-11-24","1045","1045","1045","1045","0.97","25"
"PBLD86","2021-11-22","1035","1035","1035","1035","0.00","100"
"PBLD86","2021-11-11","1035","1035","1035","1035","0.00","200"
"PBLD86","2021-11-09","1035","1035","1035","1035","0.49","100"
"PBLD86","2021-11-08","1017","1035","1017","1030","1.38","275"
"PBLD86","2021-10-28","1000","1016","1000","1016","0.00","75"
"PBLD86","2021-10-27","1016","1016","1016","1016","-1.84","150"
"PBLD86","2021-09-16","1035","1035","1035","1035","0.29","150"
"PBLD86","2021-09-12","1045","1045","1032","1032","-1.71","50"
"PBLD86","2021-09-09","1050","1050","1050","1050","0.48","80"
"PBLD86","2021-08-26","1045","1045","1045","1045","0.00","25"
"PBLD86","2021-08-25","1045","1045","1045","1045","-0.48","50"
"PBLD86","2021-08-11","1050","1050","1050","1050","-1.53","200"
"PBLD86","2021-08-08","1066.3","1066.3","1066.3","1066.3","-1.99","25"
"PBLD86","2021-07-13","1088","1088","1088","1088","1.68","100"
"PBLD86","2021-06-30","1070","1070","1070","1070","-1.02","25"
"PBLD86","2021-06-17","1081","1081","1081","1081","1.98","150"
"PBLD86","2021-06-07","1060","1060","1060","1060","0.95","25"
"PBLD86","2021-06-06","1050","1050","1050","1050","-0.57","100"
"PBLD86","2021-06-02","1072","1056","1056","1056","-1.49","100"
"PBLD86","2021-05-27","1072","1072","1072","1072","2.00","25"
"PBLD86","2021-05-23","1051","1051","1051","1051","0.00","50"
"PBLD86","2021-05-19","1051","1051","1051","1051","-1.04","50"
"PBLD86","2021-05-12","1062","1062","1062","1062","0.19","25"
"PBLD86","2021-05-11","1050","1060","1050","1060","0.00","175"
"PBLD86","2021-05-10","1051","1060","1051","1060","0.00","85"
"PBLD86","2021-05-06","1060","1060","1060","1060","0.00","50"
"PBLD86","2021-05-04","1058","1060","1058","1060","0.47","200"
"PBLD86","2021-05-03","1050","1055","1050","1055","-0.47","85"
"PBLD86","2021-05-02","1055","1060","1050","1060","0.47","275"
"PBLD86","2021-04-29","1055","1055","1055","1055","0.48","400"
"PBLD86","2021-04-28","1050","1050","1050","1050","Infinity","50"
