"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"PCBLP","2022-05-04","205","205","205","205","0.00","42055"
"PCBLP","2022-04-24","205","205","205","205","0.00","135000"
"PCBLP","2022-04-05","205","205","205","205","0.00","60675"
"PCBLP","2022-03-21","205","205","205","205","0.00","14629"
"PCBLP","2022-03-06","205","205","205","205","0.00","6000"
"PCBLP","2022-02-27","205","205","205","205","0.00","50000"
"PCBLP","2022-01-16","205","205","205","205","0.00","3816"
"PCBLP","2022-01-12","205","205","205","205","0.00","50000"
"PCBLP","2022-01-05","205","205","205","205","-1.91","350000"
"PCBLP","2021-12-28","195","195","195","209","7.18","2000"
"PCBLP","2021-12-07","195","195","195","195","0.00","5000"
"PCBLP","2021-12-06","188","195","188","195","3.72","98325"
"PCBLP","2021-11-30","188","188","188","188","0.00","101325"
"PCBLP","2021-11-28","188","188","188","188","0.00","75606"
"PCBLP","2021-11-24","188","188","188","188","0.00","38540"
"PCBLP","2021-11-23","188","188","188","188","0.00","90000"
"PCBLP","2021-11-22","188","188","188","188","0.00","7840"
"PCBLP","2021-11-03","188","188","188","188","0.00","83322"
"PCBLP","2021-10-26","188","188","188","188","0.00","5000"
"PCBLP","2021-10-20","188","188","188","188","0.00","1435"
"PCBLP","2021-10-19","188","188","188","188","0.00","7220"
"PCBLP","2021-10-05","188","188","188","188","0.00","242016"
"PCBLP","2021-10-04","188","188","188","188","0.48","410000"
"PCBLP","2021-09-30","187","187.1","187","187.1","0.05","64477"
"PCBLP","2021-09-26","187","187","187","187","0.00","88500"
"PCBLP","2021-09-08","187","187","187","187","0.00","35915"
"PCBLP","2021-09-07","187","187","187","187","1.63","5000"
"PCBLP","2021-08-16","181","184","181","184","3.37","10750"
"PCBLP","2021-07-12","178","178","178","178","0.00","12000"
"PCBLP","2021-07-08","175","178","175","178","1.71","150000"
"PCBLP","2021-07-07","169","175","169","175","3.55","250000"
"PCBLP","2021-07-04","169","169","169","169","0.00","100000"
"PCBLP","2021-07-01","172","172","169","169","0.00","363662"
"PCBLP","2021-06-30","169","169","169","169","0.00","49989"
