"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"PCBL","2022-05-05","288","288","278","281.9","-1.61","106672"
"PCBL","2022-05-04","290","290","285","286.5","-0.52","21222"
"PCBL","2022-05-02","291.1","293.5","288","288","-2.70","36913"
"PCBL","2022-04-28","303.4","303.4","289.5","296","-0.50","65103"
"PCBL","2022-04-27","298","298","293","297.5","0.00","15346"
"PCBL","2022-04-26","299","302","292","297.5","-0.50","19541"
"PCBL","2022-04-25","307","307","295","299","-0.66","51909"
"PCBL","2022-04-24","296.8","302","289.1","301","3.44","71487"
"PCBL","2022-04-21","296.8","296.8","286","291","0.00","58400"
"PCBL","2022-04-20","298.8","298.8","289","291","-0.68","49468"
"PCBL","2022-04-19","300","300","290","293","-0.41","38009"
"PCBL","2022-04-18","299.9","299.9","294.2","294.2","-1.93","40626"
"PCBL","2022-04-17","308","308","297","300","-0.66","30927"
"PCBL","2022-04-13","295","302","295","302","2.41","38142"
"PCBL","2022-04-12","302","302","294.7","294.9","-1.04","35107"
"PCBL","2022-04-11","302.1","313","296","298","-1.32","67637"
"PCBL","2022-04-07","303","306","298.2","302","1.34","221014"
"PCBL","2022-04-06","301","302","296","298","-1.65","58037"
"PCBL","2022-04-05","315.1","315.1","301","303","-1.94","177379"
"PCBL","2022-04-04","314.1","314.1","305","309","0.32","47026"
"PCBL","2022-04-03","313","313","307","308","-1.06","27572"
"PCBL","2022-03-31","318","318","310","311.3","-0.54","29349"
"PCBL","2022-03-30","311.2","314.9","309","313","0.58","38829"
"PCBL","2022-03-29","318","318","311","311.2","-0.26","22809"
"PCBL","2022-03-28","312","315","311","312","-0.64","29965"
"PCBL","2022-03-27","320","320","313.7","314","-1.72","41139"
"PCBL","2022-03-24","320","324","319.2","319.5","-1.39","41640"
"PCBL","2022-03-23","325","326","321.9","324","-0.61","20486"
"PCBL","2022-03-22","325.5","327","322","326","0.87","26716"
"PCBL","2022-03-21","325","325","320.1","323.2","-0.55","33985"
"PCBL","2022-03-20","328","333","321.5","325","-0.91","25023"
"PCBL","2022-03-16","325.5","332","325.5","328","-0.61","25509"
"PCBL","2022-03-15","330","333","326","330","0.00","30423"
"PCBL","2022-03-14","339","339.4","330","330","-0.84","21165"
"PCBL","2022-03-13","320","333","320","332.8","5.28","39733"
"PCBL","2022-03-10","315","318","310","316.1","0.35","28979"
"PCBL","2022-03-09","320","320","313","315","-1.53","35349"
