"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"PFLPO","2021-08-26","476","476","476","476","0.00","48729"
"PFLPO","2019-10-14","126","126","126","126","0.00","60725"
"PFLPO","2018-07-10","126","126","126","126","0.00","43335"
"PFLPO","2018-06-06","126","126","126","126","0.00","5000"
"PFLPO","2018-05-28","138","136","126","126","-8.70","5000"
"PFLPO","2018-05-23","150","150","138","138","-9.80","10000"
"PFLPO","2016-09-06","138","138","138","138","0.00","124038"
"PFLPO","2016-07-18","138","138","138","138","0.00","210151"
"PFLPO","2016-07-14","150","150","138","138","-9.80","234403"
"PFLPO","2016-07-13","169","166","153","153","-9.47","600"
"PFLPO","2016-07-11","187","184","169","169","-9.63","600"
"PFLPO","2014-10-30","189","192","192","192","1.59","2500"
"PFLPO","2014-03-03","189","189","189","189","0.00","174248"
"PFLPO","2014-02-25","200","189","189","189","-5.50","198256"
