"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"PFL","2022-05-05","376.5","383","355","370","-1.73","7919"
"PFL","2022-05-04","381","395","376.5","376.5","-2.96","3195"
"PFL","2022-05-02","392.2","393","382","388","-3.00","6372"
"PFL","2022-04-28","410","416.9","397","400","-0.74","6560"
"PFL","2022-04-27","396.2","407","396.2","403","0.00","3737"
"PFL","2022-04-26","401","417","396","403","-0.49","7083"
"PFL","2022-04-25","424.8","428","400","405","-3.09","12172"
"PFL","2022-04-24","387.6","418","375","417.9","9.97","12066"
"PFL","2022-04-21","380","383","360","380","0.00","10101"
"PFL","2022-04-20","400","400","372.7","380","-4.52","8251"
"PFL","2022-04-19","400","405","379","398","0.76","6099"
"PFL","2022-04-18","405","410","395","395","-4.10","9762"
"PFL","2022-04-17","428","435","411.7","411.9","-1.93","4118"
"PFL","2022-04-13","412.4","427.8","404","420","0.12","7317"
"PFL","2022-04-12","427.4","430","417.5","419.5","-2.92","5578"
"PFL","2022-04-11","453","462.9","432.1","432.1","-2.90","11040"
"PFL","2022-04-07","442.6","451","434","445","2.53","8330"
"PFL","2022-04-06","441","453","434","434","-2.49","7420"
"PFL","2022-04-05","455","456","440","445.1","-3.24","11755"
"PFL","2022-04-04","458","467","454","460","0.00","6715"
"PFL","2022-04-03","474","476","460","460","-2.95","4634"
"PFL","2022-03-31","492","492","473.6","474","-3.27","7623"
"PFL","2022-03-30","475","500","461.1","490","4.26","9463"
"PFL","2022-03-29","478.8","488.2","458","470","0.00","6651"
"PFL","2022-03-28","475","490","470","470","-2.89","5555"
"PFL","2022-03-27","496","496","475","484","-2.40","7909"
"PFL","2022-03-24","506","506","495.9","495.9","-2.00","10530"
"PFL","2022-03-23","510","515","505","506","-2.03","5364"
"PFL","2022-03-22","525","534","515","516.5","-0.29","7157"
"PFL","2022-03-21","497","518","496","518","3.39","7995"
"PFL","2022-03-20","510","510","498","501","-1.38","4632"
"PFL","2022-03-16","526","526","502","508","-1.74","4875"
"PFL","2022-03-15","520","522","510","517","-0.58","7971"
"PFL","2022-03-14","522","526","510","520","0.00","3311"
"PFL","2022-03-13","498.7","521","498.7","520","6.34","15701"
"PFL","2022-03-10","455","492","450","489","7.21","11092"
"PFL","2022-03-09","475","475","454","456.1","-4.58","8647"
"PFL","2022-03-07","488.5","493.9","476.1","478","-0.21","4346"
"PFL","2022-03-06","499.8","500","470","479","-2.24","16187"
"PFL","2022-03-02","510","510","485","490","-3.92","12838"
"PFL","2022-02-28","524","524.2","508","510","-0.78","9903"
"PFL","2022-02-27","522","524","509","514","-1.53","11251"
"PFL","2022-02-24","532.2","540","519","522","-2.79","17229"
"PFL","2022-02-23","553.8","553.8","536","537","-1.10","3733"
"PFL","2022-02-22","540","549.9","534","543","2.45","9401"
"PFL","2022-02-21","530","536","520","530","0.76","7303"
"PFL","2022-02-20","534.1","535","518","526","-3.49","14335"
"PFL","2022-02-17","551","551","531","545","0.89","8795"
"PFL","2022-02-16","555","561","540.2","540.2","-2.67","11138"
"PFL","2022-02-15","539","555","539","555","2.80","9074"
"PFL","2022-02-14","533","553","522.5","539.9","0.73","15007"
"PFL","2022-02-13","561","561","530.3","536","-6.29","29318"
"PFL","2022-02-10","575","580","560","572","-0.44","10548"
"PFL","2022-02-09","569.1","574.5","565.2","574.5","-0.26","11934"
"PFL","2022-02-08","591.6","603","575","576","0.00","27051"
"PFL","2022-02-07","571","588","570","580","0.50","12291"
"PFL","2022-02-06","588","595","577.1","577.1","-3.17","27683"
"PFL","2022-02-03","620","620","596","596","-3.07","76668"
"PFL","2022-02-01","603","625","603","614.9","0.00","42809"
"PFL","2022-01-31","630","630","600","614.9","-0.82","62940"
"PFL","2022-01-30","595","620","590","620","6.00","104480"
"PFL","2022-01-27","567","586.9","565","584.9","5.20","73770"
"PFL","2022-01-26","577.2","611","549","556","-5.59","89775"
"PFL","2022-01-25","545","588.9","530","588.9","8.25","51633"
"PFL","2022-01-24","565","565","531","544","-5.56","46360"
"PFL","2022-01-23","573.3","586","566.1","576","-1.54","26926"
"PFL","2022-01-20","553","585","551","585","4.46","29281"
"PFL","2022-01-19","567.1","587.5","560","560","-2.78","25349"
"PFL","2022-01-18","591","604","573.2","576","-3.90","22989"
"PFL","2022-01-17","598","609","584","599.4","0.23","36181"
"PFL","2022-01-16","592.6","624","585.1","598","0.91","41979"
"PFL","2022-01-13","569","592.6","559","592.6","5.82","37918"
"PFL","2022-01-12","584.5","601.8","555","560","-2.29","75024"
"PFL","2022-01-11","530","573.1","520","573.1","10.00","37149"
"PFL","2022-01-10","512","529","510","521","3.78","31082"
"PFL","2022-01-09","477","503","472","502","7.26","32094"
"PFL","2022-01-06","445","477","443","468","3.54","15341"
"PFL","2022-01-05","449.2","467.2","444.1","452","2.63","25358"
"PFL","2022-01-04","452","478","445.2","476","7.21","36603"
"PFL","2022-01-03","446","453","441","444","-0.22","11990"
"PFL","2022-01-02","436.1","445","435.1","445","1.14","7887"
"PFL","2021-12-29","439","453.8","427.5","440","-1.12","7080"
"PFL","2021-12-28","429","461","420","445","3.49","11635"
"PFL","2021-12-27","453","462","430","430","-3.37","16821"
"PFL","2021-12-26","456","464","445","445","-2.20","15427"
"PFL","2021-12-23","471","471","455","455","-1.52","17836"
"PFL","2021-12-22","456","469.2","456","462","3.13","15089"
"PFL","2021-12-21","440","448","440","448","3.23","7556"
"PFL","2021-12-20","451","451","427.1","434","-3.56","9040"
"PFL","2021-12-16","480","480","446","450","-4.86","12046"
"PFL","2021-12-15","461","497","434.2","473","4.65","31201"
"PFL","2021-12-14","413","452","413","452","9.44","11519"
"PFL","2021-12-13","440.1","440.1","404.1","413","-8.02","23472"
"PFL","2021-12-12","490","494","449","449","-7.42","24371"
"PFL","2021-12-09","498","499.8","480","485","-1.02","13703"
"PFL","2021-12-08","505","510","477","490","-2.00","15114"
"PFL","2021-12-07","535.5","544.9","500","500","-4.76","9615"
"PFL","2021-12-06","499.8","528","483","525","2.94","25851"
"PFL","2021-12-05","534","535","500","510","-6.08","27076"
"PFL","2021-12-02","564","570","531","543","-3.72","10238"
"PFL","2021-12-01","575","575","560","564","-0.18","9995"
"PFL","2021-11-30","560","565","555.1","565","1.25","10574"
"PFL","2021-11-29","574","575","550","558","-1.06","12950"
"PFL","2021-11-28","585","590","560","564","-4.73","17143"
"PFL","2021-11-25","607","607","592","592","-0.75","8471"
"PFL","2021-11-24","578","628","568","596.5","1.27","22090"
"PFL","2021-11-23","616","625","576","589","-4.38","29055"
"PFL","2021-11-22","620","630","615","616","-0.96","10685"
"PFL","2021-11-21","634","634","613","622","-1.11","13972"
"PFL","2021-11-18","631","650","626","629","-1.41","15284"
"PFL","2021-11-17","650","660","638","638","-1.39","17805"
"PFL","2021-11-16","648","654","626","647","1.73","18933"
"PFL","2021-11-15","627.3","640","625","636","3.41","15703"
"PFL","2021-11-14","605","627.3","603","615","0.08","16176"
"PFL","2021-11-11","633.1","638","608","614.5","-4.88","35311"
"PFL","2021-11-09","677","677","637","646","-3.58","33293"
"PFL","2021-11-08","682.3","682.3","666","670","0.15","16197"
"PFL","2021-11-03","650","688.5","650","669","2.92","41211"
"PFL","2021-11-02","642","653","625","650","1.25","14302"
"PFL","2021-11-01","668","675","642","642","-1.98","20377"
"PFL","2021-10-31","635","660","620","655","3.15","37532"
"PFL","2021-10-28","625","644","613","635","-0.31","23327"
"PFL","2021-10-27","640","672","620","637","-0.47","39160"
"PFL","2021-10-26","600","640.8","600","640","7.38","23992"
"PFL","2021-10-25","565","603","564","596","7.58","20872"
"PFL","2021-10-24","535","558","535","554","3.55","9750"
"PFL","2021-10-21","561","565","532","535","-2.90","13207"
"PFL","2021-10-20","530.4","555","530.4","551","5.96","12976"
"PFL","2021-10-19","553.7","564","513","520","-7.96","20763"
"PFL","2021-10-18","580","599","553.7","565","-4.24","6963"
"PFL","2021-10-17","600.5","600.5","576.6","590","0.17","6194"
"PFL","2021-10-11","590","590","552","589","-0.17","15304"
"PFL","2021-10-10","573.2","610","573.2","590","4.98","34633"
"PFL","2021-10-06","525","567","525","562","8.91","18377"
"PFL","2021-10-05","510.1","525.3","510","516","3.18","14286"
"PFL","2021-10-04","510","529","500","500.1","-3.83","27115"
"PFL","2021-10-03","552","552","520","520","-5.80","17728"
"PFL","2021-09-30","571","584.9","545","552","-1.43","18292"
"PFL","2021-09-29","540","575","498","560","5.66","35410"
"PFL","2021-09-28","568.4","601","527","530","-8.62","33814"
"PFL","2021-09-27","614","614","580","580","-7.20","37856"
"PFL","2021-09-26","668","668","616","625","-6.44","24057"
"PFL","2021-09-23","669.1","693","664","668","1.83","28619"
"PFL","2021-09-22","614","661","614","656","8.84","31104"
"PFL","2021-09-21","602","650","553","602.7","-1.81","46027"
"PFL","2021-09-20","695.6","695.6","613.8","613.8","-10.00","56691"
"PFL","2021-09-16","711","724","674.3","682","-5.41","58362"
"PFL","2021-09-15","730","740","709","721","-2.17","22010"
"PFL","2021-09-14","731","775","730.1","737","-1.07","12795"
"PFL","2021-09-13","757","773","740","745","0.27","41413"
"PFL","2021-09-12","720","751","720","743","5.09","49528"
"PFL","2021-09-09","715","730","695.8","707","-1.12","37914"
"PFL","2021-09-08","748","749","711.5","715","-4.76","37372"
"PFL","2021-09-07","785.4","787","735","750.7","-2.51","32514"
"PFL","2021-09-06","687","771.1","661","770","9.84","69271"
"PFL","2021-09-05","753.7","753.7","692.1","701","-8.84","79045"
"PFL","2021-09-02","800","805","750","769","-2.68","48856"
"PFL","2021-09-01","820","826","785","790.2","-2.44","56544"
"PFL","2021-08-31","845","845","809","810","-4.14","83215"
"PFL","2021-08-29","852","880","822","845","0.96","157293"
"PFL","2021-08-26","780","859.9","780","837","5.28","80743"
"PFL","2021-08-25","844.9","844.9","790.1","795","-4.33","61900"
"PFL","2021-08-24","866","867","826","831","-4.04","72659"
"PFL","2021-08-19","870","920","840.1","866","1.52","188649"
"PFL","2021-08-18","806.8","867","805","854","7.96","240132"
"PFL","2021-08-17","795","805","776","791","1.28","92012"
"PFL","2021-08-16","793","808","778","781","-1.51","94563"
"PFL","2021-08-15","818","825","761","793","-3.06","159816"
"PFL","2021-08-12","822","838","805","818","0.23","137347"
"PFL","2021-08-11","848.6","865.5","815","816.1","-1.91","137462"
"PFL","2021-08-10","777","838","770","832","9.11","329730"
"PFL","2021-08-09","756","767","740","762.5","1.67","140049"
"PFL","2021-08-08","750","774.9","739.9","750","0.54","154530"
"PFL","2021-08-05","775","775","744","746","-2.48","227156"
"PFL","2021-08-04","785.1","786","754.1","765","-4.51","262588"
"PFL","2021-08-03","770","801.1","738","801.1","4.04","132661"
"PFL","2021-08-02","730","774.5","726","770","4.48","144904"
"PFL","2021-08-01","732","776","719.5","737","1.38","81712"
"PFL","2021-07-29","745","750","725.2","727","-1.76","95864"
"PFL","2021-07-28","759.7","770","710","740","-1.33","194982"
"PFL","2021-07-27","725","761.9","714","750","3.01","70758"
"PFL","2021-07-26","768","783.3","716","728.1","-5.20","296768"
