"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"PICLPO","2022-01-23","359.7","359.7","359.7","359.7","0.00","282679"
"PICLPO","2021-11-28","359.7","359.7","359.7","359.7","-1.99","80000"
"PICLPO","2021-11-25","367","367","367","367","0.00","80000"
"PICLPO","2021-09-23","367","367","367","367","0.00","25000"
"PICLPO","2021-03-08","260","260","260","260","-1.89","22800"
"PICLPO","2021-02-15","265","265","265","265","0.01","3000"
"PICLPO","2021-02-01","263","263","263","263","0.00","136412"
"PICLPO","2021-01-05","263","263","263","263","-0.02","40000"
"PICLPO","2021-01-04","268","268","268","268","-0.02","92378"
"PICLPO","2021-01-03","273","273","273","273","-0.02","96228"
"PICLPO","2020-12-30","278","278","278","278","-0.02","21587"
"PICLPO","2020-11-26","283","283","283","283","0.00","10000"
"PICLPO","2020-11-08","283","283","283","283","0.00","7500"
"PICLPO","2020-11-04","283","283","283","283","-1.74","45000"
"PICLPO","2020-08-02","255","255","255","255","0.00","40000"
"PICLPO","2019-06-26","373","373","373","373","-1.84","2000"
"PICLPO","2019-06-02","380","380","380","380","0.00","19000"
"PICLPO","2018-07-12","440","440","440","440","0.00","21383"
"PICLPO","2018-02-14","410","410","410","410","0.00","42768"
"PICLPO","2017-08-16","855","855","855","855","0.00","40536"
"PICLPO","2017-08-15","855","855","855","855","0.00","45000"
"PICLPO","2017-07-25","855","855","855","855","-1.50","17107"
"PICLPO","2016-09-27","800","800","800","800","0.00","25000"
"PICLPO","2016-04-05","425","425","425","425","0.00","25920"
"PICLPO","2015-12-17","222","222","222","222","0.91","20250"
