"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"PICL","2022-05-05","517.5","534","502","515","-2.46","3306"
"PICL","2022-05-04","529","529","511.6","528","-2.04","3494"
"PICL","2022-05-02","529.1","539","528.3","539","0.00","875"
"PICL","2022-04-28","540","550","533","539","-0.39","7152"
"PICL","2022-04-27","540","550.9","537.1","541.1","-1.26","4776"
"PICL","2022-04-26","567","567","540.9","548","-2.66","2574"
"PICL","2022-04-25","560","578.9","549","563","-1.31","3583"
"PICL","2022-04-24","539","575","526","570.5","7.89","11771"
"PICL","2022-04-21","538","538","509","528.8","0.15","8641"
"PICL","2022-04-20","545.8","555","528","528","-3.67","6908"
"PICL","2022-04-19","555","574.5","545","548.1","-2.99","13701"
"PICL","2022-04-18","587","593","560","565","-5.04","5631"
"PICL","2022-04-17","589","598","566.1","595","0.93","8274"
"PICL","2022-04-13","575.2","590","575","589.5","0.60","3606"
"PICL","2022-04-12","588.1","590","577.2","586","-2.17","3012"
"PICL","2022-04-11","617","617","585","599","-0.99","15133"
"PICL","2022-04-07","597.5","618","595","605","0.36","5250"
"PICL","2022-04-06","645","650.5","625","645","1.10","18151"
"PICL","2022-04-05","638","642","626","638","-1.69","10620"
"PICL","2022-04-04","665","665","649","649","-1.67","4005"
"PICL","2022-04-03","679","679","657","660","-2.78","3580"
"PICL","2022-03-31","689.9","690","665","678.9","-0.16","5203"
"PICL","2022-03-30","677","684.9","664","680","2.41","9757"
"PICL","2022-03-29","678","682","660","664","-0.15","8908"
"PICL","2022-03-28","700","700","663","665","-4.32","19195"
"PICL","2022-03-27","710.9","732","681","695","-0.29","77512"
"PICL","2022-03-24","681","706.4","668","697","1.60","36254"
"PICL","2022-03-23","686","690","675","686","0.00","6842"
"PICL","2022-03-22","700","700","680","686","-0.58","13106"
"PICL","2022-03-21","700","702.9","670","690","-0.93","14017"
"PICL","2022-03-20","701","707","680","696.5","-2.45","18110"
"PICL","2022-03-16","684","719.1","671.1","714","2.31","32935"
"PICL","2022-03-15","679","700","660","697.9","2.48","20078"
"PICL","2022-03-14","680","681","661.5","681","0.89","8478"
"PICL","2022-03-13","634","675","620","675","8.17","52492"
"PICL","2022-03-10","593.2","636","593","624","4.00","6954"
"PICL","2022-03-09","608","611","592","600","-3.19","18925"
"PICL","2022-03-07","628.5","628.5","600.9","619.8","-0.59","56195"
"PICL","2022-03-06","649","650","621","623.5","-4.05","14872"
"PICL","2022-03-02","657","665","640","649.8","-3.00","17421"
"PICL","2022-02-28","679","679","653.3","669.9","-2.19","20942"
"PICL","2022-02-27","680","688","675","684.9","-0.74","13654"
"PICL","2022-02-24","700.7","704","688","690","-3.48","8834"
"PICL","2022-02-23","713","715","702","714.9","-1.39","5416"
"PICL","2022-02-22","707","740","707","725","2.62","6296"
"PICL","2022-02-21","710","715","706.5","706.5","-0.91","3146"
"PICL","2022-02-20","705.6","720","699","713","-0.97","15285"
"PICL","2022-02-17","716.1","732","716.1","720","-1.10","7285"
"PICL","2022-02-16","740","743","728","728","-2.02","3602"
"PICL","2022-02-15","701.2","744","701.2","743","4.32","8947"
"PICL","2022-02-14","696","731","695.8","712.2","0.31","12902"
"PICL","2022-02-13","736.1","736.1","710","710","-5.46","22165"
"PICL","2022-02-10","765","768","751","751","-1.44","20318"
"PICL","2022-02-09","789","789","750","762","-2.16","10645"
"PICL","2022-02-08","759","785","755","778.8","0.61","94627"
"PICL","2022-02-07","760","780.7","755","774.1","2.80","58369"
"PICL","2022-02-06","758","764.7","733.1","753","-0.13","13195"
"PICL","2022-02-03","766","774.9","754","754","-1.95","20917"
"PICL","2022-02-01","771","771","741","769","1.36","24188"
"PICL","2022-01-31","777","777","750","758.7","-1.34","8807"
"PICL","2022-01-30","751.7","774","751.7","769","4.34","25356"
"PICL","2022-01-27","753","755","730","737","-1.07","16871"
"PICL","2022-01-26","759","759","730","745","-0.40","17400"
"PICL","2022-01-25","750","765","735","748","0.54","32976"
"PICL","2022-01-24","770","770","735","744","-4.62","37524"
"PICL","2022-01-23","781","797","765","780","-0.26","20558"
"PICL","2022-01-20","779","788","767.1","782","2.22","21674"
"PICL","2022-01-19","783","791","765","765","-1.30","25277"
"PICL","2022-01-18","804","804","775","775.1","-1.89","62157"
"PICL","2022-01-17","799.7","812","777","790","0.25","65436"
"PICL","2022-01-16","759.9","801","752","788","5.77","122730"
"PICL","2022-01-13","695","745","695","745","5.08","31522"
"PICL","2022-01-12","749","753","706","709","-4.70","35817"
"PICL","2022-01-11","719.9","761.9","706","744","5.38","54736"
"PICL","2022-01-10","703","706","689","706","2.33","32490"
"PICL","2022-01-09","682","702","675","689.9","3.12","42266"
"PICL","2022-01-06","650","669","650","669","1.83","3607"
"PICL","2022-01-05","677","678","650","657","-2.95","13439"
"PICL","2022-01-04","668","680","667","677","-0.44","18171"
"PICL","2022-01-03","682.9","690","663","680","1.48","41712"
"PICL","2022-01-02","660","679","644","670.1","2.46","16238"
"PICL","2021-12-29","647","662","645","654","2.19","19429"
"PICL","2021-12-28","628","643.6","616","640","0.00","8006"
"PICL","2021-12-27","690","703","629","640","-5.40","31072"
"PICL","2021-12-26","626","676.5","623.2","676.5","10.00","41294"
"PICL","2021-12-23","600","621","588","615","3.54","19170"
"PICL","2021-12-22","580","596","576","594","4.39","15514"
"PICL","2021-12-21","565","572","553","569","2.71","10116"
"PICL","2021-12-20","560","560","548.9","554","-0.18","9027"
"PICL","2021-12-16","565","572","553","555","-3.48","10020"
"PICL","2021-12-15","594.6","608","562","575","-1.37","8318"
"PICL","2021-12-14","553","583","553","583","7.37","7582"
"PICL","2021-12-13","571.4","572","543","543","-6.86","11685"
"PICL","2021-12-12","594","595","583","583","-3.48","7107"
"PICL","2021-12-09","593","612","590","604","0.00","9935"
"PICL","2021-12-08","605","625","601","604","-1.47","6980"
"PICL","2021-12-07","645.6","657","613","613","-3.16","8521"
"PICL","2021-12-06","624","635","611","633","0.32","8867"
"PICL","2021-12-05","645","646","621.5","631","-3.66","6883"
"PICL","2021-12-02","679","679","645","655","-1.96","6518"
"PICL","2021-12-01","678","690","664.5","668.1","-2.75","4079"
"PICL","2021-11-30","666","690","653","687","1.10","7617"
"PICL","2021-11-29","690","690","669","679.5","-0.51","5597"
