"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"PIC","2022-05-05","790","790","759","759","-5.83","10134"
"PIC","2022-05-04","778","806","765.5","806","1.78","5206"
"PIC","2022-05-02","808","810","761","791.9","-2.10","10671"
"PIC","2022-04-28","810","820","795","808.9","-0.14","2878"
"PIC","2022-04-27","821","821","798.8","810","-0.61","2512"
"PIC","2022-04-26","810","827","800","815","-0.12","3012"
"PIC","2022-04-25","824","835","809.4","816","-1.20","5886"
"PIC","2022-04-24","795","827","795","825.9","3.24","4891"
"PIC","2022-04-21","800","802","768","800","0.00","10077"
"PIC","2022-04-20","800.1","816","790","800","-1.96","8003"
"PIC","2022-04-19","820","834.9","800","816","-1.57","11472"
"PIC","2022-04-18","835","840","829","829","-1.89","10501"
"PIC","2022-04-17","830","855","830","845","0.60","4034"
"PIC","2022-04-13","845","869.8","835","840","-0.01","4092"
"PIC","2022-04-12","846.7","850","840","840.1","-2.75","3628"
"PIC","2022-04-11","885.3","900","851","863.9","-0.47","13660"
"PIC","2022-04-07","875.1","892","866","868","-0.81","6495"
"PIC","2022-04-06","853","875.1","837","875.1","0.59","3538"
"PIC","2022-04-05","865","877","848","870","-1.14","13782"
"PIC","2022-04-04","908","918","880","880","-3.08","18786"
"PIC","2022-04-03","902","916.9","900","908","-1.20","5948"
"PIC","2022-03-31","918","936","900","919","-1.07","6039"
"PIC","2022-03-30","910","929","895.2","928.9","1.85","12832"
"PIC","2022-03-29","920","930","905","912","-1.94","5059"
"PIC","2022-03-28","945","945","909","930","-1.59","10234"
"PIC","2022-03-27","923","978","923","945","4.42","51007"
"PIC","2022-03-24","900","922","895","905","0.56","15713"
"PIC","2022-03-23","900.4","918","890","900","-1.30","9809"
"PIC","2022-03-22","905","919","905","911.9","0.76","7178"
"PIC","2022-03-21","881.4","905","881","905","1.26","5732"
"PIC","2022-03-20","915","915","882","893.7","-0.59","7405"
"PIC","2022-03-16","889","904","881.2","899","1.12","9866"
"PIC","2022-03-15","870","890","855.2","889","2.18","12520"
"PIC","2022-03-14","877","877.2","860","870","1.16","5603"
"PIC","2022-03-13","820","862","820","860","4.88","6808"
"PIC","2022-03-10","802.5","824","800","820","0.61","11548"
"PIC","2022-03-09","850","850","810","815","-2.40","7461"
"PIC","2022-03-07","867","867","834","835","-1.76","4525"
"PIC","2022-03-06","866","866","825","850","0.00","5457"
"PIC","2022-03-02","882.3","882.3","847","850","-1.73","7216"
"PIC","2022-02-28","911","911","858","865","-3.34","3943"
"PIC","2022-02-27","892.8","898","860.1","894.9","0.22","9798"
"PIC","2022-02-24","890","893","866","892.9","0.44","12805"
