"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"PLICPO","2022-04-26","375","375","375","375","-1.32","1000"
"PLICPO","2022-04-24","380","380","380","380","0.00","84932"
"PLICPO","2022-01-02","340","340","340","340","0.00","41317"
"PLICPO","2021-12-26","340","340","340","340","0.00","45449"
"PLICPO","2021-07-25","520","520","520","520","0.00","21634"
"PLICPO","2021-07-18","520","520","520","520","0.00","30000"
"PLICPO","2021-07-11","520","520","520","520","0.00","31000"
"PLICPO","2020-10-14","353","353","353","353","-1.94","95724"
"PLICPO","2019-02-27","232","232","232","232","0.00","24788"
"PLICPO","2018-10-15","285","285","285","285","0.00","49578"
"PLICPO","2018-10-07","285","285","285","285","0.00","50422"
"PLICPO","2018-07-19","285","285","285","285","-1.72","1073440"
"PLICPO","2018-07-16","294","294","290","290","-3.33","178355"
"PLICPO","2018-07-11","300","300","300","300","0.00","357476"
"PLICPO","2018-03-21","314","314","314","314","-1.87","1221"
"PLICPO","2018-03-20","320","320","320","320","-1.84","4000"
"PLICPO","2018-02-27","931","931","895","895","-5.79","57008"
"PLICPO","2017-12-12","950","950","950","950","0.00","40000"
"PLICPO","2017-12-11","950","950","950","950","0.00","50000"
"PLICPO","2017-12-06","950","950","950","950","0.00","35000"
"PLICPO","2017-12-05","950","950","950","950","0.00","65000"
