"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"PLI","2022-05-05","501","510","480","485","-3.19","6040"
"PLI","2022-05-04","501","507","491","501","-1.76","6717"
"PLI","2022-05-02","530","532.5","510","510","-4.32","4557"
"PLI","2022-04-28","535.1","550","527.3","533","-2.31","4423"
"PLI","2022-04-27","535","545.6","521.1","545.6","1.98","3449"
"PLI","2022-04-26","532.2","541","525","535","-1.47","5108"
"PLI","2022-04-25","561","561","529","543","-1.27","4610"
"PLI","2022-04-24","530.4","550.8","518","550","5.77","6220"
"PLI","2022-04-21","515.5","520","506","520","0.10","4124"
"PLI","2022-04-20","525.7","537","510","519.5","-2.17","6106"
"PLI","2022-04-19","545.7","545.7","520","531","-0.75","4366"
"PLI","2022-04-18","545","545","532","535","-2.90","3624"
"PLI","2022-04-17","560","571.2","546","551","-0.90","3327"
"PLI","2022-04-13","542","563.9","540.1","556","1.28","4465"
"PLI","2022-04-12","551","579","543.2","549","-2.14","6675"
"PLI","2022-04-11","591","592","553","561","-3.44","9968"
"PLI","2022-04-07","554","586","554","581","3.01","9642"
"PLI","2022-04-06","562","593","551.8","564","-1.57","10168"
"PLI","2022-04-05","608.9","608.9","563","573","-4.02","13438"
"PLI","2022-04-04","601","616","596","597","-1.95","7150"
"PLI","2022-04-03","618","618","601.1","608.9","-1.62","7650"
"PLI","2022-03-31","615.5","625","610","618.9","-0.98","8689"
"PLI","2022-03-30","600","626","595","625","3.31","17420"
"PLI","2022-03-29","605","626.2","602.1","605","-1.47","8083"
"PLI","2022-03-28","640","640","610","614","-4.06","21966"
"PLI","2022-03-27","603","651.2","603","640","8.11","101493"
"PLI","2022-03-24","566","598","561","592","4.59","29703"
"PLI","2022-03-23","558.1","569","555.1","566","-0.35","9795"
"PLI","2022-03-22","569.1","579","561","568","1.79","7356"
"PLI","2022-03-21","556","570","553.1","558","0.36","16571"
"PLI","2022-03-20","586","586","556","556","-3.29","5383"
"PLI","2022-03-16","567.5","590.5","565","574.9","-0.71","14344"
"PLI","2022-03-15","580","599","570","579","0.52","11115"
