"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"PMHPL","2022-05-05","255","255","242","243","-6.21","5545"
"PMHPL","2022-05-04","256","259.1","249","259.1","-0.73","6542"
"PMHPL","2022-05-02","268.6","268.6","254.3","261","-4.74","5616"
"PMHPL","2022-04-28","281","281","273","274","-2.80","4425"
"PMHPL","2022-04-27","271.5","282","266.1","281.9","1.77","2553"
"PMHPL","2022-04-26","284","284","273","277","-1.07","2353"
"PMHPL","2022-04-25","294","295.7","276","280","-3.11","12878"
"PMHPL","2022-04-24","267","289","260","289","9.89","14929"
"PMHPL","2022-04-21","248","263","240","263","3.95","10616"
"PMHPL","2022-04-20","262.7","263","251","253","-5.60","23824"
"PMHPL","2022-04-19","260","270.5","246","268","1.13","22459"
"PMHPL","2022-04-18","270","270","260","265","-3.64","11222"
"PMHPL","2022-04-17","285","285","270.5","275","-2.48","5929"
"PMHPL","2022-04-13","285","285","269.5","282","0.71","4701"
"PMHPL","2022-04-12","282","287.5","264.2","280","-2.54","7890"
"PMHPL","2022-04-11","300","307","287.3","287.3","-3.59","5015"
"PMHPL","2022-04-07","287.9","303.6","287.9","298","3.11","6659"
"PMHPL","2022-04-06","293","299","288","289","-2.36","9027"
"PMHPL","2022-04-05","297.2","298","287.3","296","-2.31","12809"
"PMHPL","2022-04-04","293.1","309","293.1","303","1.68","10092"
"PMHPL","2022-04-03","305","305","297.7","298","-2.30","6189"
"PMHPL","2022-03-31","315","315","305","305","-2.56","1745"
"PMHPL","2022-03-30","303","314.1","300","313","1.66","15394"
"PMHPL","2022-03-29","310","311","303","307.9","-0.03","8215"
"PMHPL","2022-03-28","307","318","306","308","-1.28","9065"
"PMHPL","2022-03-27","325","325","312","312","-3.85","9175"
"PMHPL","2022-03-24","331","336","324.4","324.5","-2.87","11915"
"PMHPL","2022-03-23","337.9","338","331.5","334.1","-2.85","3474"
"PMHPL","2022-03-22","345","345","337.2","343.9","-0.03","3778"
"PMHPL","2022-03-21","331","349.8","331","344","2.11","6658"
"PMHPL","2022-03-20","338","338","332.1","336.9","-0.33","4195"
"PMHPL","2022-03-16","335","340","331","338","-0.53","5432"
"PMHPL","2022-03-15","347","347","332.1","339.8","-0.12","8155"
"PMHPL","2022-03-14","350","350","337.1","340.2","-2.24","1355"
"PMHPL","2022-03-13","340","350","336","348","3.57","15008"
"PMHPL","2022-03-10","309","336","309","336","6.67","18999"
"PMHPL","2022-03-09","329","335.5","313.1","315","-4.26","8845"
"PMHPL","2022-03-07","349","349.9","325.5","329","-4.47","10473"
"PMHPL","2022-03-06","353","353","340","344.4","-0.75","13850"
"PMHPL","2022-03-02","358","360","341","347","-4.14","15831"
"PMHPL","2022-02-28","377","384.4","350.2","362","-2.16","19802"
"PMHPL","2022-02-27","371","375","358","370","1.09","21499"
"PMHPL","2022-02-24","380.4","380.4","360","366","-1.88","38976"
"PMHPL","2022-02-23","366","381","361.2","373","3.90","49629"
"PMHPL","2022-02-22","364","370","357","359","0.56","6419"
"PMHPL","2022-02-21","350","361","350","357","2.00","9995"
"PMHPL","2022-02-20","348.4","365","341.5","350","-1.55","17444"
"PMHPL","2022-02-17","354","365","353","355.5","-1.25","7304"
"PMHPL","2022-02-16","372","372","355","360","-2.44","13047"
"PMHPL","2022-02-15","341.1","369","341.1","369","6.03","15978"
"PMHPL","2022-02-14","349","355","337","348","1.46","20227"
"PMHPL","2022-02-13","361.7","361.7","342","343","-7.05","26237"
"PMHPL","2022-02-10","372.1","373","363","369","-2.48","31820"
"PMHPL","2022-02-09","369","383","366.6","378.4","0.64","14957"
"PMHPL","2022-02-08","389","404","366.1","376","0.00","29066"
"PMHPL","2022-02-07","375","386.9","375","382","0.53","38710"
"PMHPL","2022-02-06","383","390","377.4","380","-2.56","34103"
"PMHPL","2022-02-03","393.7","396.9","385","390","1.04","76830"
"PMHPL","2022-02-01","385.5","391","374.4","386","2.12","58901"
"PMHPL","2022-01-31","396","396","377","378","-3.08","39141"
"PMHPL","2022-01-30","372","390","372","390","5.72","41060"
"PMHPL","2022-01-27","366.6","373.9","357","368.9","2.61","33253"
"PMHPL","2022-01-26","364","367","350","359.5","-1.51","33728"
"PMHPL","2022-01-25","373","375","355","365","-0.82","28326"
"PMHPL","2022-01-24","387","387","361","368","-4.91","58439"
"PMHPL","2022-01-23","397.8","405.7","382","387","-0.77","52527"
"PMHPL","2022-01-20","363","391","363","390","5.41","50080"
"PMHPL","2022-01-19","386","386","369","370","-2.63","55624"
"PMHPL","2022-01-18","401","401.9","373","380","-4.47","62486"
"PMHPL","2022-01-17","396.9","397.8","383","397.8","1.87","84982"
"PMHPL","2022-01-16","393","405","390","390.5","-0.64","107070"
"PMHPL","2022-01-13","372","397","371","393","6.22","146776"
"PMHPL","2022-01-12","357","379","345.1","370","5.71","163953"
"PMHPL","2022-01-11","352","358","338","350","1.16","71614"
"PMHPL","2022-01-10","345","360","340","346","1.17","89444"
"PMHPL","2022-01-09","334","347","333","342","4.27","64887"
"PMHPL","2022-01-06","311.1","328.3","311","328","3.80","67217"
"PMHPL","2022-01-05","318","332.9","313","316","0.32","23834"
"PMHPL","2022-01-04","309","317","305","315","1.29","14929"
"PMHPL","2022-01-03","312","318","307","311","-0.32","10503"
"PMHPL","2022-01-02","304","315","303.2","312","0.87","8846"
"PMHPL","2021-12-29","319","319","309.3","309.3","-1.18","8262"
"PMHPL","2021-12-28","300.9","313","300","313","1.95","10740"
"PMHPL","2021-12-27","321","328","303","307","-4.95","22950"
"PMHPL","2021-12-26","320","332.1","320","323","-0.92","16315"
"PMHPL","2021-12-23","335","338","317.6","326","-0.91","26644"
"PMHPL","2021-12-22","320","336.6","314","329","4.44","36150"
"PMHPL","2021-12-21","297","315","297","315","3.96","12922"
"PMHPL","2021-12-20","303.9","307","299","303","-2.26","14185"
"PMHPL","2021-12-16","318","320.2","310","310","-3.13","13364"
"PMHPL","2021-12-15","328.8","348","307.1","320","-0.74","43376"
"PMHPL","2021-12-14","298","322.4","298","322.4","10.00","17620"
"PMHPL","2021-12-13","299.9","312","288.2","293.1","-4.22","25993"
"PMHPL","2021-12-12","324","329.9","304","306","-5.56","13008"
"PMHPL","2021-12-09","327","334","318.7","324","0.62","16140"
"PMHPL","2021-12-08","331","347.7","318.5","322","-3.88","19355"
"PMHPL","2021-12-07","355.9","362.9","330","335","-4.01","26876"
"PMHPL","2021-12-06","339.5","354.9","316.5","349","4.80","31697"
"PMHPL","2021-12-05","348","360","328.2","333","-6.22","58183"
"PMHPL","2021-12-02","370","370","353","355.1","-3.77","19978"
"PMHPL","2021-12-01","374","377","367.1","369","-0.38","26835"
"PMHPL","2021-11-30","368","372","355","370.4","2.60","35651"
"PMHPL","2021-11-29","360.1","374.9","357","361","1.12","24108"
"PMHPL","2021-11-28","378","382","357","357","-5.56","53284"
"PMHPL","2021-11-25","380","387","374","378","-0.53","32377"
"PMHPL","2021-11-24","351.4","387","346","380","6.00","71445"
"PMHPL","2021-11-23","370","374","354","358.5","-3.11","31009"
"PMHPL","2021-11-22","374.5","380","367.2","370","-0.80","28759"
"PMHPL","2021-11-21","383","383","364","373","-0.80","52474"
"PMHPL","2021-11-18","396.1","411","373","376","-3.19","118272"
"PMHPL","2021-11-17","360","388.4","360","388.4","10.00","53645"
"PMHPL","2021-11-16","321","353.1","321","353.1","10.00","84821"
"PMHPL","2021-11-15","315","324.3","315","321","2.88","20409"
"PMHPL","2021-11-14","304.3","326.4","300","312","0.48","19124"
"PMHPL","2021-11-11","329","331.5","310","310.5","-4.46","9888"
"PMHPL","2021-11-09","335.2","341","315","325","-4.69","22452"
"PMHPL","2021-11-08","350","355","341","341","-1.16","15545"
"PMHPL","2021-11-03","358","360","345","345","-2.82","19171"
"PMHPL","2021-11-02","343","357","336.3","355","1.43","24339"
"PMHPL","2021-11-01","368","375","345","350","-3.58","45401"
"PMHPL","2021-10-31","350","370","337","363","5.22","49416"
"PMHPL","2021-10-28","334.2","345","322","345","1.47","31142"
"PMHPL","2021-10-27","335","345","323.4","340","3.03","31066"
"PMHPL","2021-10-26","316","336","316","330","6.49","31293"
"PMHPL","2021-10-25","290","309.9","285","309.9","8.74","28927"
"PMHPL","2021-10-24","284","287","272","285","1.42","13326"
"PMHPL","2021-10-21","290.7","298","275","281","-1.40","7070"
"PMHPL","2021-10-20","274.3","292.9","272","285","5.95","5737"
"PMHPL","2021-10-19","285","285","261","269","-7.21","7288"
"PMHPL","2021-10-18","299","299","281","289.9","-2.65","7031"
"PMHPL","2021-10-17","292","297.8","286","297.8","1.99","1509"
"PMHPL","2021-10-11","288","300","281.3","292","-0.17","4826"
"PMHPL","2021-10-10","302","311","291.1","292.5","-1.52","8848"
"PMHPL","2021-10-06","285.7","308","284.1","297","6.03","15410"
"PMHPL","2021-10-05","278","290.7","266","280.1","2.60","9014"
"PMHPL","2021-10-04","287","287","268.6","273","-5.21","11557"
"PMHPL","2021-10-03","298.1","308","286.5","288","-4.64","8593"
"PMHPL","2021-09-30","315.9","317","302","302","-2.61","18468"
"PMHPL","2021-09-29","302","323.9","286","310.1","3.71","20205"
"PMHPL","2021-09-28","314","319","297","299","-5.97","20295"
"PMHPL","2021-09-27","341","349","318","318","-5.10","18983"
"PMHPL","2021-09-26","360","360","335","335.1","-6.66","10193"
"PMHPL","2021-09-23","370","382.5","350","359","-2.82","20779"
"PMHPL","2021-09-22","342.6","369.4","342.6","369.4","9.97","22526"
"PMHPL","2021-09-21","330","350","308","335.9","0.87","23096"
"PMHPL","2021-09-20","365","368","331.4","333","-9.54","30899"
"PMHPL","2021-09-16","381.3","381.3","360","368.1","-5.37","35916"
"PMHPL","2021-09-15","395","397","380","389","-0.26","10689"
"PMHPL","2021-09-14","400","402","382","390","-1.76","19574"
"PMHPL","2021-09-13","416","418","386.5","397","-2.70","34030"
"PMHPL","2021-09-12","384","408","384","408","8.22","61251"
"PMHPL","2021-09-09","377","385","369","377","1.62","19606"
"PMHPL","2021-09-08","390.6","390.6","370","371","-3.13","12194"
"PMHPL","2021-09-07","387","392","372","383","0.92","27860"
"PMHPL","2021-09-06","338.1","379.5","327","379.5","10.00","44883"
"PMHPL","2021-09-05","375","376","343.8","345","-9.69","36995"
"PMHPL","2021-09-02","399","405","375","382","-2.55","22547"
"PMHPL","2021-09-01","395","405","380","392","0.00","25715"
"PMHPL","2021-08-31","392","402","372","392","-1.75","34183"
"PMHPL","2021-08-29","416","430","398","399","-3.86","57625"
"PMHPL","2021-08-26","389","423.5","389","415","7.79","63093"
"PMHPL","2021-08-25","369.2","406.9","349.1","385","2.20","48784"
