"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"PRIN","2022-05-05","628","640","620","621","-2.97","3250"
"PRIN","2022-05-04","637","643","631","640","-1.39","2520"
"PRIN","2022-05-02","659","659","646","649","-3.28","3826"
"PRIN","2022-04-28","675","677","655.4","671","1.05","676"
"PRIN","2022-04-27","663","664","661","664","-1.45","614"
"PRIN","2022-04-26","675","675","662","673.8","0.57","1325"
"PRIN","2022-04-25","672","685","660","670","-2.19","5460"
"PRIN","2022-04-24","640","689","640","685","6.48","7143"
"PRIN","2022-04-21","624","643.3","623.1","643.3","1.29","3272"
"PRIN","2022-04-20","646","657.9","635.1","635.1","-1.53","5191"
"PRIN","2022-04-19","641","674","638","645","-0.62","3953"
"PRIN","2022-04-18","660","660","640","649","-1.52","4193"
"PRIN","2022-04-17","671.1","683","659","659","0.15","5739"
"PRIN","2022-04-13","660","673","658","658","0.61","3026"
"PRIN","2022-04-12","666.4","669.9","654","654","-1.86","3614"
"PRIN","2022-04-11","691","692","666.4","666.4","-3.14","4064"
"PRIN","2022-04-07","693.6","700","680","688","1.18","7205"
"PRIN","2022-04-06","665","680.3","665","680","1.95","5150"
"PRIN","2022-04-05","690","692","667","667","-3.89","16155"
"PRIN","2022-04-04","720","723","694","694","-4.01","13908"
"PRIN","2022-04-03","732","732","718","723","-1.09","5120"
"PRIN","2022-03-31","758.1","768","731","731","-1.65","6173"
"PRIN","2022-03-30","829.8","829.9","802.1","825","1.35","16392"
"PRIN","2022-03-29","830","830","810","814","-1.93","8459"
"PRIN","2022-03-28","830","834","815","830","0.46","16851"
"PRIN","2022-03-27","854.7","893","826.2","826.2","-1.41","77438"
"PRIN","2022-03-24","821.1","855","815","838","0.96","17730"
"PRIN","2022-03-23","820","835","820","830","0.46","4182"
"PRIN","2022-03-22","834","834","816","826.2","-0.10","1932"
"PRIN","2022-03-21","815.1","827","811.1","827","0.24","1822"
"PRIN","2022-03-20","827.8","835","815","825","0.61","4575"
"PRIN","2022-03-16","820","824.9","816","820","0.00","10727"
"PRIN","2022-03-15","810","823","810","820","-0.49","8395"
"PRIN","2022-03-14","808","830","801","824","3.00","3243"
"PRIN","2022-03-13","784.3","803","775","800","4.03","12128"
"PRIN","2022-03-10","760","775.2","750","769","-0.75","4649"
"PRIN","2022-03-09","748","774.9","715.5","774.8","1.95","14488"
"PRIN","2022-03-07","775","775","755","760","-0.52","3287"
"PRIN","2022-03-06","738","765","738","764","2.14","2711"
"PRIN","2022-03-02","757","757","747","748","-2.60","8152"
"PRIN","2022-02-28","794.5","794.5","754.6","768","-1.41","7722"
"PRIN","2022-02-27","800","805.8","777","779","-1.39","7869"
"PRIN","2022-02-24","800.6","804","790","790","-2.71","9442"
"PRIN","2022-02-23","810.1","815","810.1","812","-1.10","4391"
"PRIN","2022-02-22","812","828","812","821","1.11","6901"
"PRIN","2022-02-21","833","833","801.1","812","-0.61","4057"
"PRIN","2022-02-20","817","830","816","817","-1.92","11810"
"PRIN","2022-02-17","828","839","828","833","0.59","5581"
"PRIN","2022-02-16","855","860","828.1","828.1","-1.88","6917"
"PRIN","2022-02-15","818.1","847","818.1","844","1.44","4932"
"PRIN","2022-02-14","845.9","848.9","825","832","-1.42","4963"
"PRIN","2022-02-13","851","851","830","844","-2.80","10477"
"PRIN","2022-02-10","885","885","868.3","868.3","-1.22","4497"
"PRIN","2022-02-09","877.1","880","861","879","-1.24","9877"
"PRIN","2022-02-08","880","906.5","880","890","0.00","53361"
"PRIN","2022-02-07","851","890","851","880","1.79","8837"
"PRIN","2022-02-06","866","877","855.7","864.5","-0.97","12620"
"PRIN","2022-02-03","891","898","873","873","-1.90","28383"
"PRIN","2022-02-01","870","894","870","889.9","1.36","15124"
"PRIN","2022-01-31","875","885","870.1","878","0.34","8402"
"PRIN","2022-01-30","872","905","866.5","875","2.34","28484"
"PRIN","2022-01-27","856","869","846","855","1.41","8248"
"PRIN","2022-01-26","851.2","860","834","843.1","-2.19","12504"
"PRIN","2022-01-25","855.1","880","852","862","0.23","21865"
"PRIN","2022-01-24","908","908","850","860","-4.12","24524"
"PRIN","2022-01-23","900","918","892","897","0.68","22126"
"PRIN","2022-01-20","868","893","864.9","890.9","1.70","13861"
"PRIN","2022-01-19","880","902","868","876","-0.23","18797"
"PRIN","2022-01-18","919","919","877","878","-2.98","18756"
"PRIN","2022-01-17","924","942","888","905","-0.11","22035"
"PRIN","2022-01-16","878.3","927","890","906","3.15","33120"
"PRIN","2022-01-13","830.1","884","820","878.3","3.70","31392"
"PRIN","2022-01-12","878","880","835","847","-2.63","35054"
"PRIN","2022-01-11","850","879","837.3","869.9","3.93","29129"
"PRIN","2022-01-10","822","837","820","837","1.95","31995"
"PRIN","2022-01-09","801","830","801","821","2.87","20642"
"PRIN","2022-01-06","807","807","790","798.1","-0.73","4858"
"PRIN","2022-01-05","819.9","819.9","784","804","-0.86","13931"
"PRIN","2022-01-04","806","821.9","806","811","0.62","6340"
"PRIN","2022-01-03","835","835","805","806","-1.59","18694"
"PRIN","2022-01-02","785.4","820","780","819","5.00","22315"
"PRIN","2021-12-29","755","793.5","751","780","1.27","11770"
"PRIN","2021-12-28","757","787","750","770.2","-0.23","5792"
"PRIN","2021-12-27","827","828","760","772","-4.90","28777"
"PRIN","2021-12-26","743","811.8","740","811.8","10.00","36238"
"PRIN","2021-12-23","730","748.8","701.7","738","3.07","13880"
"PRIN","2021-12-22","698.7","734","696","716","4.53","4168"
"PRIN","2021-12-21","683.3","692","676","685","2.24","3776"
"PRIN","2021-12-20","655.6","693","655.6","670","0.16","1651"
"PRIN","2021-12-16","680","680","656.6","668.9","-2.49","7113"
"PRIN","2021-12-15","703","731.3","683","686","-0.58","7517"
"PRIN","2021-12-14","669","698","669","690","5.18","2379"
"PRIN","2021-12-13","676.3","683","653.9","656","-4.93","17033"
"PRIN","2021-12-12","720","720","690","690","-5.35","5360"
"PRIN","2021-12-09","720","730","711.5","729","1.25","2746"
"PRIN","2021-12-08","728.5","743.8","715","720","-2.70","3243"
"PRIN","2021-12-07","734","777.9","734","740","-1.07","2853"
"PRIN","2021-12-06","728","750","711","748","1.22","6917"
"PRIN","2021-12-05","755.1","775","720","739","-3.80","10545"
"PRIN","2021-12-02","771","790","765","768.2","-2.26","8363"
"PRIN","2021-12-01","798","798","785","786","-1.01","2037"
"PRIN","2021-11-30","798","798","770","794","1.28","5454"
"PRIN","2021-11-29","780","800","779.5","784","-1.13","7389"
"PRIN","2021-11-28","810.1","810.1","790","793","-3.41","11825"
"PRIN","2021-11-25","822.1","837","820","821","-1.68","4702"
"PRIN","2021-11-24","811","840","811","835","1.33","3946"
"PRIN","2021-11-23","855","855","810","824","-2.83","5090"
"PRIN","2021-11-22","826.3","892.5","826.3","848","0.71","7184"
"PRIN","2021-11-21","824.1","854","824.1","842","0.24","4188"
"PRIN","2021-11-18","849.7","862","836","840","-3.11","8521"
"PRIN","2021-11-17","894","894","860","867","-2.03","12010"
"PRIN","2021-11-16","816","885","811","885","9.53","13261"
"PRIN","2021-11-15","800","814","795","808","2.02","6562"
"PRIN","2021-11-14","785","813","785","792","-0.81","4457"
"PRIN","2021-11-11","806","815","790","798.5","-2.86","7251"
"PRIN","2021-11-09","845","845","810","822","-2.49","8363"
"PRIN","2021-11-08","886.8","887","840.1","843","-3.10","5228"
"PRIN","2021-11-03","896.5","896.5","866","870","-1.14","5016"
"PRIN","2021-11-02","869","925","843.8","880","0.57","13308"
"PRIN","2021-11-01","907","907","867.1","875","-1.69","14213"
"PRIN","2021-10-31","844","897","844","890","5.08","12850"
"PRIN","2021-10-28","835","855","821","847","-0.22","2582"
"PRIN","2021-10-27","820","882.3","805","848.9","1.79","17246"
"PRIN","2021-10-26","803","852","801","834","3.86","13524"
"PRIN","2021-10-25","742","803","742","803","6.92","8845"
"PRIN","2021-10-24","746","760","746","751","0.67","8005"
"PRIN","2021-10-21","756","760","746","746","-1.97","5819"
"PRIN","2021-10-20","760","770","752.8","761","2.01","4943"
"PRIN","2021-10-19","732.2","776.2","725","746","-0.13","11807"
"PRIN","2021-10-18","766.1","766.1","739","747","-4.23","6201"
"PRIN","2021-10-17","768","794","753","780","1.56","6929"
"PRIN","2021-10-11","763","768","750","768","-1.29","6876"
"PRIN","2021-10-10","800","815","770","778","-1.51","8516"
"PRIN","2021-10-06","746","809.9","746","789.9","4.76","15919"
"PRIN","2021-10-05","759","759","740","754","1.22","5655"
"PRIN","2021-10-04","740","750","734.1","744.9","0.54","6884"
"PRIN","2021-10-03","758","758","731","740.9","-2.13","10087"
"PRIN","2021-09-30","797","798.5","757","757","-3.31","7739"
"PRIN","2021-09-29","768","783","738.3","782.9","3.97","14810"
"PRIN","2021-09-28","754.8","800","744","753","-2.21","19662"
"PRIN","2021-09-27","778","791","765","770","-2.78","7320"
"PRIN","2021-09-26","837","837","792","792","-3.53","13140"
"PRIN","2021-09-23","841","849.1","803.6","821","-1.54","10928"
"PRIN","2021-09-22","816","839","801","833.8","4.22","10605"
"PRIN","2021-09-21","785","827","753.7","800","0.00","19399"
"PRIN","2021-09-20","830","830","789","800","-3.61","24648"
"PRIN","2021-09-16","859","865","819","830","-4.71","37324"
"PRIN","2021-09-15","903","904","870.4","871","-1.91","7655"
"PRIN","2021-09-14","910","910","885","888","-1.33","7291"
"PRIN","2021-09-13","918","923","890.2","900","-0.11","19021"
"PRIN","2021-09-12","909","909","885","901","0.45","11409"
"PRIN","2021-09-09","895","900","878","897","0.79","13358"
"PRIN","2021-09-08","902","908","885","890","-3.26","20449"
"PRIN","2021-09-07","930","955","910","920","-2.65","20544"
"PRIN","2021-09-06","905","949","873","945","6.42","20470"
"PRIN","2021-09-05","907","920","876","888","-4.00","32301"
"PRIN","2021-09-02","971.9","972","918","925","-2.94","24503"
"PRIN","2021-09-01","938","980","920","953","1.55","42700"
"PRIN","2021-08-31","949","965","930","938.5","-2.85","43635"
"PRIN","2021-08-29","1000","1004","957","966","-1.93","29019"
"PRIN","2021-08-26","1008","1008","981","985","-0.40","30956"
"PRIN","2021-08-25","1020","1020","981","989","-3.23","35968"
"PRIN","2021-08-24","1040","1079","1018.4","1022","-1.64","45017"
"PRIN","2021-08-19","1014","1080","1000","1039","3.90","113504"
"PRIN","2021-08-18","981","1030","970","1000","1.32","42947"
"PRIN","2021-08-17","1000","1000","985","987","-1.29","21429"
"PRIN","2021-08-16","1005","1013","995","999.9","-0.01","29300"
"PRIN","2021-08-15","1018.3","1047.5","990","1000","-3.75","51048"
"PRIN","2021-08-12","1040","1065","1020","1039","-0.10","32857"
"PRIN","2021-08-11","1063.8","1064","1037","1040","-0.29","33338"
"PRIN","2021-08-10","1020","1055","1018","1043","2.46","38923"
"PRIN","2021-08-09","1021","1037","1016","1018","0.20","25413"
"PRIN","2021-08-08","1025.5","1044","1010","1016","-2.68","59060"
"PRIN","2021-08-05","1067","1074","1042","1044","-1.79","57301"
"PRIN","2021-08-04","1079","1088","1057","1063","-0.65","55696"
"PRIN","2021-08-03","1065","1082.2","1055","1070","1.04","87333"
"PRIN","2021-08-02","1070.1","1080","1046","1059","-1.94","76162"
"PRIN","2021-08-01","1137.3","1144","1071.1","1080","-3.14","57402"
"PRIN","2021-07-29","1142","1148","1104","1115","-2.19","69638"
"PRIN","2021-07-28","1101","1140","1088","1140","1.97","111698"
"PRIN","2021-07-27","1025.4","1122","1025.4","1118","7.60","78535"
