"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"PROFLP","2021-03-01","101","101","101","101","0.00","181572"
"PROFLP","2021-01-26","101","101","101","101","0.00","27633"
"PROFLP","2021-01-13","101","101","101","101","0.00","87808"
"PROFLP","2020-12-23","101","101","101","101","0.00","50062"
"PROFLP","2020-12-15","101","101","101","101","0.00","74085"
"PROFLP","2020-09-16","101","101","101","101","0.00","79989"
"PROFLP","2020-09-14","101","101","101","101","0.00","253453"
"PROFLP","2020-09-13","101","101","101","101","0.00","137680"
"PROFLP","2020-08-10","101","101","101","101","0.00","850"
"PROFLP","2020-07-14","101","101","101","101","0.00","1487"
"PROFLP","2020-01-05","101","101","101","101","0.00","9714"
"PROFLP","2020-01-02","101","101","101","101","0.00","156328"
"PROFLP","2018-10-11","101","101","101","101","0.00","22440"
"PROFLP","2018-08-07","101","101","101","101","0.00","343537"
"PROFLP","2018-08-06","101","101","101","101","1.00","241000"
"PROFLP","2018-06-21","100","100","100","100","0.00","80000"
"PROFLP","2018-04-24","100","100","100","100","-0.99","160000"
"PROFLP","2018-03-11","101","101","101","101","0.00","6800"
"PROFLP","2018-02-26","101","101","101","101","0.00","120000"
"PROFLP","2016-01-13","101","101","101","101","0.00","95250"
"PROFLP","2015-12-31","101","101","101","101","0.00","168000"
"PROFLP","2015-04-20","105","105","101","101","-3.81","204900"
"PROFLP","2014-09-21","105","105","105","105","0.00","250"
"PROFLP","2014-08-24","105","105","105","105","0.00","100"
"PROFLP","2014-08-13","105","105","105","105","0.00","100"
"PROFLP","2014-07-22","105","105","105","105","0.00","2000"
"PROFLP","2014-07-16","106","105","105","105","-0.94","900"
"PROFLP","2012-03-11","104","106","106","106","1.92","10000"
"PROFLP","2012-02-16","102","104","104","104","1.96","20000"
"PROFLP","2012-02-08","100","102","102","102","2.00","8920"
"PROFLP","2012-02-06","99","100","100","100","1.01","5000"
"PROFLP","2012-01-17","98","99","99","99","1.02","167000"
