"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"PROFL","2022-05-05","276","284","270.5","276","-1.78","9215"
"PROFL","2022-05-04","285","287","279.3","281","-3.10","5923"
"PROFL","2022-05-02","291.2","291.5","282.3","290","-2.36","9024"
"PROFL","2022-04-28","311","311","294.2","297","-3.57","6440"
"PROFL","2022-04-27","304","309.5","301.1","308","-0.32","5677"
"PROFL","2022-04-26","314","314","298","309","-0.96","6176"
"PROFL","2022-04-25","320","324.3","302","312","-0.95","13615"
"PROFL","2022-04-24","293.5","317.9","288","315","9.00","20095"
"PROFL","2022-04-21","283","289","275","289","0.42","19511"
"PROFL","2022-04-20","301","301","283","287.8","-2.77","6103"
"PROFL","2022-04-19","290.2","312","279.3","296","2.00","13980"
"PROFL","2022-04-18","301.8","305","290.2","290.2","-5.75","9955"
"PROFL","2022-04-17","312","314","300","307.9","-1.00","5608"
"PROFL","2022-04-13","310","315","307.8","311","0.97","8971"
"PROFL","2022-04-12","314","317.2","305.2","308","-1.91","11877"
"PROFL","2022-04-11","330.4","342","314","314","-3.09","10335"
"PROFL","2022-04-07","325.9","330","316.2","324","1.25","11906"
"PROFL","2022-04-06","328","329","309.4","320","-0.59","11185"
"PROFL","2022-04-05","320","325","314","321.9","-0.37","14960"
"PROFL","2022-04-04","321","335","321","323.1","-0.89","4835"
"PROFL","2022-04-03","325","332","320.5","326","-0.31","8002"
"PROFL","2022-03-31","344","347.9","327","327","-3.82","11537"
"PROFL","2022-03-30","325","350","325","340","4.33","6852"
"PROFL","2022-03-29","331","339.9","324","325.9","-0.03","13528"
"PROFL","2022-03-28","328","340","325","326","-2.40","13130"
"PROFL","2022-03-27","341","348","333.5","334","-3.19","11093"
"PROFL","2022-03-24","360","360","345","345","-3.09","12361"
"PROFL","2022-03-23","350.9","360","348","356","-0.56","6554"
"PROFL","2022-03-22","365","366","355.8","358","-0.25","11097"
"PROFL","2022-03-21","354","359.9","343","358.9","3.13","10351"
"PROFL","2022-03-20","347","352.9","343","348","0.29","9923"
"PROFL","2022-03-16","360","360","345","347","-2.25","11801"
"PROFL","2022-03-15","372.7","372.7","355","355","-2.98","12588"
"PROFL","2022-03-14","372","372","356.9","365.9","-0.57","5072"
"PROFL","2022-03-13","352","368","352","368","5.14","20783"
"PROFL","2022-03-10","325","350","318.6","350","8.53","15894"
"PROFL","2022-03-09","339.9","339.9","322.5","322.5","-3.24","10227"
"PROFL","2022-03-07","343","346","333.3","333.3","-1.10","12794"
"PROFL","2022-03-06","344","350.8","334","337","-0.59","16498"
"PROFL","2022-03-02","352","352","335","339","-3.69","26745"
"PROFL","2022-02-28","366","366","352","352","-1.98","19629"
"PROFL","2022-02-27","358","374.7","357","359.1","-0.61","14744"
"PROFL","2022-02-24","365.1","372","359","361.3","-2.90","21456"
"PROFL","2022-02-23","383","383","371.1","372.1","-0.91","6272"
"PROFL","2022-02-22","373.1","382.5","373.1","375.5","0.70","18663"
"PROFL","2022-02-21","367","375","366","372.9","1.61","11983"
"PROFL","2022-02-20","362.6","375","355.4","367","-0.81","20430"
"PROFL","2022-02-17","380","382","370","370","-1.18","10491"
"PROFL","2022-02-16","388.1","388.1","374","374.4","-1.71","15381"
"PROFL","2022-02-15","381","384","374","380.9","1.87","16115"
"PROFL","2022-02-14","363","384.5","363","373.9","1.05","16068"
"PROFL","2022-02-13","381","382","369.5","370","-4.39","33939"
"PROFL","2022-02-10","394","394","385","387","0.00","16336"
"PROFL","2022-02-09","390","397.8","386.4","387","-2.03","16085"
"PROFL","2022-02-08","402","427","392","395","0.00","33647"
"PROFL","2022-02-07","381.3","402","381.3","395","1.54","16533"
"PROFL","2022-02-06","395","400.9","389","389","-2.51","28414"
"PROFL","2022-02-03","411","414","395","399","-1.72","35097"
"PROFL","2022-02-01","401","409","400","406","1.25","28025"
"PROFL","2022-01-31","413","415","395","401","-2.65","33951"
"PROFL","2022-01-30","387.6","411.9","387.6","411.9","8.39","48562"
"PROFL","2022-01-27","377.1","390","377.1","380","0.80","29743"
"PROFL","2022-01-26","380","392","375.1","377","-2.23","32084"
"PROFL","2022-01-25","390","403","380","385.6","-0.90","46454"
"PROFL","2022-01-24","402","410","382","389.1","-5.10","75228"
"PROFL","2022-01-23","427","427","407","410","-2.15","28594"
"PROFL","2022-01-20","406.5","423","405","419","2.70","33760"
"PROFL","2022-01-19","414","423","403","408","-2.16","34230"
"PROFL","2022-01-18","430","433","405","417","-3.00","49952"
"PROFL","2022-01-17","431","437","418.2","429.9","0.21","39464"
"PROFL","2022-01-16","420.1","442","426.3","429","2.12","68732"
"PROFL","2022-01-13","410","423.2","403","420.1","2.21","50624"
"PROFL","2022-01-12","415.6","440","410","411","-3.07","87808"
"PROFL","2022-01-11","390.1","437.8","390.1","424","6.53","75176"
"PROFL","2022-01-10","401","410","382.2","398","1.09","74179"
"PROFL","2022-01-09","367","393.7","367","393.7","9.33","60031"
"PROFL","2022-01-06","360","365","355","360.1","0.03","22883"
"PROFL","2022-01-05","372","372.9","350","360","-2.17","39967"
"PROFL","2022-01-04","351.9","379","343","368","6.67","41795"
"PROFL","2022-01-03","338.3","352.9","338","345","4.02","29472"
"PROFL","2022-01-02","346","357","345","354.9","1.40","26954"
"PROFL","2021-12-29","350","355.9","343","350","0.00","18448"
"PROFL","2021-12-28","336.3","358","330","350","2.01","21220"
"PROFL","2021-12-27","365","365","339","343.1","-5.87","33778"
"PROFL","2021-12-26","372","372","355","364.5","-0.41","26709"
"PROFL","2021-12-23","368","377","363.1","366","-0.54","27807"
"PROFL","2021-12-22","352.1","370","346","368","6.36","29195"
"PROFL","2021-12-21","341.7","360","336","346","3.28","17878"
"PROFL","2021-12-20","347","352","329","335","-3.18","15934"
"PROFL","2021-12-16","350","357","342.1","346","-3.08","20106"
"PROFL","2021-12-15","348.9","376.3","337","357","4.36","49076"
"PROFL","2021-12-14","317","342.1","317","342.1","10.00","13789"
"PROFL","2021-12-13","329","335","306","311","-7.16","36759"
"PROFL","2021-12-12","360","362","334.2","335","-8.22","43553"
"PROFL","2021-12-09","370","374.9","359","365","-0.27","23307"
"PROFL","2021-12-08","374","387","363","366","-3.68","17404"
"PROFL","2021-12-07","396","410","370.6","380","-2.31","40689"
"PROFL","2021-12-06","377","396","342","389","5.14","32141"
"PROFL","2021-12-05","383","388.1","368","370","-4.64","29445"
"PROFL","2021-12-02","400","400","384","388","-3.48","25460"
"PROFL","2021-12-01","400","408","400","402","0.53","14864"
"PROFL","2021-11-30","398","404.9","392.5","399.9","0.48","27382"
"PROFL","2021-11-29","388.5","410","388.5","398","0.51","27223"
"PROFL","2021-11-28","413","413","396","396","-4.58","36270"
"PROFL","2021-11-25","425","425","415","415","-0.93","18834"
"PROFL","2021-11-24","400","424","395","418.9","2.67","26520"
"PROFL","2021-11-23","420","423","406.7","408","-3.77","25603"
"PROFL","2021-11-22","425","432","422","424","0.47","16328"
"PROFL","2021-11-21","421","443.9","421","422","0.24","21586"
"PROFL","2021-11-18","422","435","415","421","-2.09","24590"
"PROFL","2021-11-17","441.6","461","427","430","-1.15","39856"
"PROFL","2021-11-16","428","440","417.1","435","2.26","38635"
"PROFL","2021-11-15","419","433","416","425.4","3.50","24677"
"PROFL","2021-11-14","401","430","392","411","2.75","42631"
"PROFL","2021-11-11","411.2","428","400","400","-4.63","51106"
"PROFL","2021-11-09","442","446","413","419.4","-5.11","37623"
"PROFL","2021-11-08","450","458","434","442","-1.12","17717"
"PROFL","2021-11-03","463","470","446","447","-1.54","28389"
"PROFL","2021-11-02","440","456","434.2","454","3.42","52504"
"PROFL","2021-11-01","459.5","477.9","431.2","439","-2.55","43088"
"PROFL","2021-10-31","430","453","421","450.5","5.98","72388"
"PROFL","2021-10-28","429","432","416","425.1","0.05","34701"
"PROFL","2021-10-27","438","443.7","416.5","424.9","-1.19","47470"
"PROFL","2021-10-26","420.2","445.6","410","430","4.37","52292"
"PROFL","2021-10-25","383","413","383","412","9.57","48154"
"PROFL","2021-10-24","364.1","386.2","364.1","376","3.30","20938"
"PROFL","2021-10-21","381","381.4","362","364","-2.67","10990"
"PROFL","2021-10-20","366.1","385","360.1","374","4.18","22281"
"PROFL","2021-10-19","370.5","370.5","343","359","-5.03","33405"
"PROFL","2021-10-18","394","399","375","378","-5.97","17090"
"PROFL","2021-10-17","406","414.1","390.2","402","0.75","15850"
"PROFL","2021-10-11","392","401","385","399","0.25","24146"
"PROFL","2021-10-10","400","423","393","398","0.79","55775"
"PROFL","2021-10-06","366.1","394.9","366","394.9","10.00","34229"
"PROFL","2021-10-05","343","369","331","359","6.53","34536"
"PROFL","2021-10-04","341.1","361.9","323.5","337","-3.16","23333"
"PROFL","2021-10-03","360","368","340","348","-4.66","29952"
"PROFL","2021-09-30","387.6","402","364","365","-3.95","35541"
"PROFL","2021-09-29","355","390.5","330","380","7.04","51848"
"PROFL","2021-09-28","390","408","352","355","-8.27","49929"
"PROFL","2021-09-27","399","415","370","387","-4.91","56219"
"PROFL","2021-09-26","446.8","446.8","399","407","-7.10","61366"
