"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"PRVUPO","2021-12-16","191.1","191.1","191.1","191.1","0.00","6968"
"PRVUPO","2021-12-12","191.1","191.1","191.1","191.1","-2.00","262001"
"PRVUPO","2021-11-29","195","195","195","195","1.04","13847"
"PRVUPO","2021-11-24","193","193","193","193","0.00","45401"
"PRVUPO","2021-11-21","193","193","193","193","0.00","106226"
"PRVUPO","2021-11-02","193","193","193","193","0.47","32096"
"PRVUPO","2021-10-28","192.1","192.1","192.1","192.1","-1.99","50235"
"PRVUPO","2021-10-26","196","196","196","196","0.00","139518"
"PRVUPO","2021-10-19","196","196","196","196","0.00","13019"
"PRVUPO","2021-10-05","196","196","196","196","0.00","16000"
"PRVUPO","2021-10-04","196","196","196","196","-2.00","10000"
"PRVUPO","2021-09-29","200","200","200","200","0.00","196380"
"PRVUPO","2021-09-09","200","200","200","200","-1.96","491718"
"PRVUPO","2021-09-01","204","204","204","204","2.00","100000"
"PRVUPO","2021-07-25","200","200","200","200","0.00","123574"
"PRVUPO","2021-07-19","200","200","200","200","0.00","400000"
"PRVUPO","2021-07-11","200","200","200","200","0.00","125000"
"PRVUPO","2021-07-06","200","200","200","200","0.00","98968"
"PRVUPO","2021-07-05","200","200","200","200","-1.96","186166"
"PRVUPO","2021-04-20","200","204","200","204","2.00","137938"
"PRVUPO","2021-03-25","200","200","200","200","0.00","33000"
"PRVUPO","2021-03-17","200","200","200","200","0.00","536894"
"PRVUPO","2021-03-14","200","200","200","200","0.00","38106"
"PRVUPO","2021-03-10","200","200","200","200","0.00","225000"
"PRVUPO","2021-02-22","200","200","200","200","0.00","800000"
"PRVUPO","2021-02-11","200","200","200","200","0.01","599420"
"PRVUPO","2021-02-09","189","198","189","198","0.06","530"
"PRVUPO","2021-02-08","174","186","174","186","0.09","50"
"PRVUPO","2020-12-22","171","171","171","171","0.02","248127"
"PRVUPO","2020-12-21","168","168","168","168","0.02","930"
"PRVUPO","2020-12-10","153","165","153","165","0.10","135002"
