"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"PLIC","2022-05-05","615","625","595","600","-3.23","15579"
"PLIC","2022-05-04","621","641","613","620","-1.87","8932"
"PLIC","2022-05-02","645","645","623.2","631.8","-3.54","24630"
"PLIC","2022-04-28","662.9","662.9","643.1","655","0.00","3206"
"PLIC","2022-04-27","668.1","668.1","640","655","0.00","4196"
"PLIC","2022-04-26","654","664.1","651.1","655","0.00","9230"
"PLIC","2022-04-25","679.4","690","654","655","-1.67","11387"
"PLIC","2022-04-24","641","677.8","638","666.1","5.70","8417"
"PLIC","2022-04-21","633","647.7","626.3","630.2","-0.44","12185"
"PLIC","2022-04-20","654","654","633","633","-2.47","4342"
"PLIC","2022-04-19","640","666.5","636.5","649","0.62","7917"
"PLIC","2022-04-18","655","656","642.9","645","-2.57","12995"
"PLIC","2022-04-17","663","680","651","662","-1.94","4930"
"PLIC","2022-04-13","665","696","660","675.1","0.60","4868"
"PLIC","2022-04-12","677","700","671.1","671.1","-2.74","8928"
"PLIC","2022-04-11","706","725","690","690","-2.68","17960"
"PLIC","2022-04-07","690","711","686","709","3.50","17671"
"PLIC","2022-04-06","700","700","671","685","-0.72","11020"
"PLIC","2022-04-05","707","707","686","690","-3.90","30354"
"PLIC","2022-04-04","735","740","709.6","718","-1.52","15437"
"PLIC","2022-04-03","740","740","729","729.1","-1.84","9556"
"PLIC","2022-03-31","748","748","730","742.8","-0.56","7710"
"PLIC","2022-03-30","720","749.7","720","747","1.91","13512"
"PLIC","2022-03-29","745","745","730","733","-0.54","4378"
"PLIC","2022-03-28","762","762","735","737","-2.77","25102"
"PLIC","2022-03-27","770.1","801","750","758","0.40","97935"
"PLIC","2022-03-24","717","765","715.6","755","3.42","46351"
"PLIC","2022-03-23","721.2","730","715.2","730","-0.54","18561"
"PLIC","2022-03-22","737","744","725","734","0.00","5594"
"PLIC","2022-03-21","716","739","705","734","2.51","4153"
"PLIC","2022-03-20","722","733.9","716","716","-2.45","16985"
"PLIC","2022-03-16","744.9","750","727.1","734","-0.33","16298"
"PLIC","2022-03-15","722","736.4","711","736.4","3.86","23524"
"PLIC","2022-03-14","690","724","686","709","1.30","7212"
"PLIC","2022-03-13","661","700","661","699.9","6.85","8785"
"PLIC","2022-03-10","613.5","655","613","655","4.80","6298"
"PLIC","2022-03-09","640","646.7","625","625","-2.94","7315"
"PLIC","2022-03-07","668","668","640","643.9","-1.69","7638"
"PLIC","2022-03-06","673","673","650","655","-0.76","4248"
"PLIC","2022-03-02","671","683","646.8","660","-1.64","8949"
"PLIC","2022-02-28","696","696","667.2","671","-3.31","8003"
"PLIC","2022-02-27","700","715","691","694","-1.14","5828"
"PLIC","2022-02-24","710","720","700","702","-2.50","10923"
"PLIC","2022-02-23","739.5","739.5","713","720","-0.70","8982"
"PLIC","2022-02-22","750","750","725.1","725.1","-1.88","3066"
"PLIC","2022-02-21","731","750","715","739","1.22","11183"
"PLIC","2022-02-20","742","763","724","730.1","-2.78","5165"
"PLIC","2022-02-17","750","755","746","751","-1.05","2762"
"PLIC","2022-02-16","755","770","744","759","0.53","5323"
"PLIC","2022-02-15","755.8","757","741","755","1.89","7523"
"PLIC","2022-02-14","727","766","726","741","0.14","10566"
"PLIC","2022-02-13","760","760","733","740","-4.52","14205"
"PLIC","2022-02-10","757.1","776","757.1","775","0.79","7873"
"PLIC","2022-02-09","767","770","759.3","768.9","-0.41","7356"
"PLIC","2022-02-08","799","805","769","772.1","0.00","13615"
"PLIC","2022-02-07","763","795","763","784.1","0.87","14856"
"PLIC","2022-02-06","790","790","777.3","777.3","-1.98","8639"
"PLIC","2022-02-03","804","815","788","793","-1.37","20473"
"PLIC","2022-02-01","790.1","805","789.7","804","0.63","7216"
"PLIC","2022-01-31","800","815","795","799","-1.96","4877"
"PLIC","2022-01-30","796","827","796","815","4.35","26012"
"PLIC","2022-01-27","794","800","781","781","0.12","9027"
"PLIC","2022-01-26","800","800","775","780.1","-2.12","14208"
"PLIC","2022-01-25","780","816","779.1","797","0.25","25275"
"PLIC","2022-01-24","815","826","792","795","-3.87","52903"
"PLIC","2022-01-23","815","848","815","827","1.47","70466"
"PLIC","2022-01-20","775","820","775","815","4.62","31117"
"PLIC","2022-01-19","778","794","774","779","-0.76","18236"
"PLIC","2022-01-18","800","800","777","785","-1.88","20480"
"PLIC","2022-01-17","785","823","771","800","1.91","35623"
"PLIC","2022-01-16","780","800","780","785","0.64","27888"
"PLIC","2022-01-13","758","786","755.1","780","2.90","27534"
