"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"PSF","2022-05-05","8.7","8.87","8.7","8.74","-0.23","22750"
"PSF","2022-05-04","8.75","8.77","8.75","8.76","-1.57","8150"
"PSF","2022-05-02","8.82","9","8.82","8.9","-1.11","11200"
"PSF","2022-04-28","8.73","9.03","8.73","9","2.04","6600"
"PSF","2022-04-27","8.74","9","8.74","8.82","-0.11","22800"
"PSF","2022-04-26","8.92","8.93","8.79","8.83","-1.01","7150"
"PSF","2022-04-25","9.01","9.1","8.92","8.92","-2.83","18300"
"PSF","2022-04-24","9","9.18","8.84","9.18","1.21","12372"
"PSF","2022-04-21","8.7","9.07","8.7","9.07","2.49","41070"
"PSF","2022-04-20","8.76","8.9","8.76","8.85","-0.45","8275"
"PSF","2022-04-19","8.7","8.99","8.7","8.89","0.34","27050"
"PSF","2022-04-18","8.8","8.96","8.8","8.86","-0.78","29950"
"PSF","2022-04-17","9","9.1","8.93","8.93","-0.78","10500"
"PSF","2022-04-13","8.98","9","8.73","9","0.22","25175"
"PSF","2022-04-12","8.79","8.99","8.79","8.98","0.56","15860"
"PSF","2022-04-11","8.85","9.05","8.85","8.93","-0.67","10020"
"PSF","2022-04-07","9","9","8.93","8.99","0.45","7400"
"PSF","2022-04-06","8.9","9","8.9","8.95","-0.22","11760"
"PSF","2022-04-05","8.95","8.99","8.95","8.97","0.22","26500"
"PSF","2022-04-04","8.92","9","8.92","8.95","-0.56","4200"
"PSF","2022-04-03","8.95","9.1","8.92","9","0.22","6700"
"PSF","2022-03-31","8.91","9","8.91","8.98","-0.22","7444"
"PSF","2022-03-30","8.84","9","8.84","9","0.00","3700"
"PSF","2022-03-29","8.89","9.11","8.89","9","0.00","112800"
"PSF","2022-03-28","8.93","9.1","8.93","9","-0.11","8700"
"PSF","2022-03-27","9","9.05","9","9.01","-0.44","23385"
"PSF","2022-03-24","9","9.19","9","9.05","-0.55","24700"
"PSF","2022-03-23","9","9.15","9","9.1","-0.55","17600"
"PSF","2022-03-22","9.1","9.23","9.03","9.15","0.44","27296"
"PSF","2022-03-21","9","9.11","8.93","9.11","1.00","31640"
"PSF","2022-03-20","9.1","9.15","9.02","9.02","0.22","23550"
"PSF","2022-03-16","8.96","9.1","8.96","9","0.00","26800"
"PSF","2022-03-15","9","9.12","8.95","9","0.00","11375"
"PSF","2022-03-14","9","9.17","9","9","0.00","12200"
"PSF","2022-03-13","8.95","9.07","8.95","9","1.12","4300"
"PSF","2022-03-10","8.77","9.05","8.77","8.9","0.00","9650"
"PSF","2022-03-09","8.9","9.05","8.9","8.9","-0.45","46900"
"PSF","2022-03-07","8.91","8.95","8.9","8.94","-0.67","47050"
"PSF","2022-03-06","8.78","9","8.67","9","0.56","16292"
"PSF","2022-03-02","8.9","9.08","8.9","8.95","-1.32","4210"
"PSF","2022-02-28","8.9","9.07","8.9","9.07","0.33","28762"
"PSF","2022-02-27","8.84","9.04","8.84","9.04","0.44","10270"
"PSF","2022-02-24","8.95","9.12","8.95","9","-0.77","12900"
