"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"PURBL","2019-03-10","191","191","181","188","0.00","4428"
"PURBL","2019-03-09","191","191","181","188","0.00","4428"
"PURBL","2019-03-07","168","188","171","188","9.94","15396"
"PURBL","2019-03-06","165","171","165","171","3.64","2024"
"PURBL","2019-03-05","163","167","160","165","3.12","4852"
"PURBL","2019-03-03","160","160","158","160","0.00","904"
"PURBL","2019-02-27","157","160","154","160","3.90","3852"
"PURBL","2019-02-26","153","154","150","154","2.67","527"
"PURBL","2019-02-24","150","153","150","150","0.00","110"
"PURBL","2019-02-21","150","153","150","150","-1.96","110"
"PURBL","2019-02-20","153","153","150","153","2.00","111"
"PURBL","2019-02-18","150","151","150","150","-0.66","124"
"PURBL","2019-02-17","151","151","151","151","0.00","6"
"PURBL","2019-02-14","151","154","151","151","0.00","540"
"PURBL","2019-02-13","150","154","151","151","-0.66","1277"
"PURBL","2019-02-12","151","152","151","152","0.66","203"
"PURBL","2019-02-11","151","155","150","151","0.00","2271"
"PURBL","2019-02-10","149","151","148","151","0.00","266"
"PURBL","2019-02-07","151","154","151","151","-1.95","111"
"PURBL","2019-02-06","151","154","151","154","0.65","64"
"PURBL","2019-02-05","157","160","152","153","-4.37","1164"
"PURBL","2019-02-04","157","160","157","160","0.00","558"
"PURBL","2019-02-03","160","163","160","160","-1.84","10"
"PURBL","2019-01-31","152","163","152","163","7.24","6317"
"PURBL","2019-01-30","153","159","152","152","-0.65","1416"
"PURBL","2019-01-29","152","153","152","153","0.66","1134"
"PURBL","2019-01-28","149","152","149","152","2.01","218"
"PURBL","2019-01-27","152","155","149","149","-1.97","2311"
"PURBL","2019-01-24","151","152","151","152","0.66","1110"
"PURBL","2019-01-23","150","156","150","151","0.67","300"
"PURBL","2019-01-22","146","150","145","150","2.74","2436"
"PURBL","2019-01-21","148","148","146","146","-1.35","68"
"PURBL","2019-01-20","151","151","148","148","-1.99","732"
"PURBL","2019-01-17","149","151","147","151","1.34","516"
"PURBL","2019-01-16","150","150","147","149","-0.67","1021"
"PURBL","2019-01-15","152","152","150","150","-1.32","903"
"PURBL","2019-01-14","155","156","152","152","-1.94","2035"
"PURBL","2019-01-13","152","155","152","155","1.97","127"
"PURBL","2019-01-10","158","158","150","152","-3.80","1385"
"PURBL","2019-01-09","158","161","158","158","0.00","60"
"PURBL","2019-01-08","161","161","158","158","-1.86","10"
"PURBL","2019-01-07","155","161","155","161","3.87","20"
"PURBL","2018-12-31","159.05","167","155","155","-7.19","390"
"PURBL","2018-12-30","170","173","165","167","-1.76","908"
"PURBL","2018-12-27","168","174","168","170","1.19","1017"
"PURBL","2018-12-26","162","168","162","168","3.70","304"
"PURBL","2018-12-25","165","165","165","165","0.00","23"
"PURBL","2018-12-24","166","168","164","165","-0.60","333"
"PURBL","2018-12-23","164","168","164","166","1.22","460"
"PURBL","2018-12-20","162","164","162","164","1.23","446"
"PURBL","2018-12-19","165","165","162","162","-1.82","91"
"PURBL","2018-12-18","168","168","165","165","-1.79","181"
"PURBL","2018-12-17","153","168","153","168","9.80","1717"
"PURBL","2018-12-16","147","156","147","155","5.44","2040"
"PURBL","2018-12-13","150","150","147","147","-2.00","306"
"PURBL","2018-12-12","150","150","147","150","0.00","273"
"PURBL","2018-12-11","150","150","150","150","0.00","41"
"PURBL","2018-12-09","147","150","147","150","2.04","261"
"PURBL","2018-12-06","149","150","147","147","-1.34","299"
"PURBL","2018-12-04","149","152","149","150","0.67","1409"
"PURBL","2018-12-03","152","152","149","149","-1.97","11"
"PURBL","2018-11-29","155","155","152","152","-1.94","157"
