"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"RBCLPO","2022-05-05","14116.9","14116.9","14116.9","14116.9","-2.00","15"
"RBCLPO","2022-05-02","14405","14405","14405","14405","-1.99","30"
"RBCLPO","2022-04-28","14997","14997","14697.1","14697.1","-0.05","130"
"RBCLPO","2022-04-27","14416","14704","14416","14704","0.44","25"
"RBCLPO","2022-04-26","14640","14640","14640","14640","-1.98","20"
"RBCLPO","2022-04-25","14644","14935.9","14644","14935.9","4.03","40"
"RBCLPO","2022-04-24","14385.1","15300","14101.1","14357","1.80","400"
"RBCLPO","2022-04-21","14377","14377","14000","14103.1","-3.54","430"
"RBCLPO","2022-04-20","14790","14987","14620","14620","-1.15","75"
"RBCLPO","2022-04-19","14900","15190","14501","14790","0.61","205"
"RBCLPO","2022-04-18","15000","15000","14700","14700","-2.51","60"
"RBCLPO","2022-04-17","16014","16014","15078.2","15078.2","-3.96","150"
"RBCLPO","2022-04-13","15301.3","15700","15300","15700","1.76","70"
"RBCLPO","2022-04-12","15742.8","15742.8","15429","15429","-3.95","20"
"RBCLPO","2022-04-11","16065","16065","15436.1","16064","1.99","70"
"RBCLPO","2022-04-07","15500","15750","15210.9","15750","3.50","600"
"RBCLPO","2022-04-06","15795","15795","15215","15217","-1.98","70"
"RBCLPO","2022-04-05","16500","16500","15220","15524","-5.91","640"
"RBCLPO","2022-04-04","16005","16499","16000","16499","1.79","150"
"RBCLPO","2022-04-03","16177","16209","16170","16209","-1.76","90"
"RBCLPO","2022-03-31","17225","17225","16500","16500","-2.37","415"
"RBCLPO","2022-03-30","16790","16900","16790","16900","2.42","30"
"RBCLPO","2022-03-29","16728","16728","16125","16500","0.61","180"
"RBCLPO","2022-03-28","16670","16670","16400","16400","-2.99","170"
"RBCLPO","2022-03-27","17200","18588","16906","16906","0.04","1707"
"RBCLPO","2022-03-24","16000","16899","15994","16899","5.62","2169"
"RBCLPO","2022-03-23","15495","16050","15495","16000","5.32","115"
