"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"RBCL","2022-05-05","15100","15250","15062","15062","-1.23","301"
"RBCL","2022-05-04","15405","15650","15196","15250","-2.62","801"
"RBCL","2022-05-02","16050","16160","15661","15661","-1.69","210"
"RBCL","2022-04-28","16000","16180","15901","15930","0.18","327"
"RBCL","2022-04-27","16120","16120","15811","15902","0.61","180"
"RBCL","2022-04-26","16000","16250","15805.1","15805.1","-1.22","170"
"RBCL","2022-04-25","16300","16545","15977","16000","-1.84","535"
"RBCL","2022-04-24","15994","16496.5","15500","16300","3.95","655"
"RBCL","2022-04-21","16689","16689","15288","15681","-4.21","2205"
"RBCL","2022-04-20","16422","16460","16357","16371","-1.91","290"
"RBCL","2022-04-19","16427","16695","16201","16690","3.63","552"
"RBCL","2022-04-18","17125","17125","16105","16105","-5.21","885"
"RBCL","2022-04-17","17000","17000","16873","16990","-0.64","260"
"RBCL","2022-04-13","16605","17371","16410.1","17100","2.12","420"
"RBCL","2022-04-12","16701","16751","16500","16745","-1.24","425"
"RBCL","2022-04-11","17217.6","17500","16954","16956","0.45","918"
"RBCL","2022-04-07","16900","17100","16877","16880","0.69","357"
"RBCL","2022-04-06","16900","17288","16600","16764","-2.52","449"
"RBCL","2022-04-05","17700","17700","16326.8","17197","-4.35","1700"
"RBCL","2022-04-04","18000","18299","17980","17980","-2.08","286"
"RBCL","2022-04-03","18125","18362","18002","18362","-0.69","255"
"RBCL","2022-03-31","18359","18600","18100","18490","1.45","1097"
"RBCL","2022-03-30","17657","18225","17652","18225","1.25","330"
"RBCL","2022-03-29","18125","18125","17800","18000","0.93","275"
"RBCL","2022-03-28","18100","18400","17801","17835","-1.74","475"
"RBCL","2022-03-27","17990.8","19401.9","17990.8","18150","2.90","3081"
"RBCL","2022-03-24","17690","17998","17600","17638.1","1.60","697"
"RBCL","2022-03-23","17550","17590","17310","17360","-1.31","1650"
"RBCL","2022-03-22","17300","17590","17300","17590","2.05","320"
"RBCL","2022-03-21","17400","17410","17185","17236","-1.14","180"
