"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"RHPC","2021-11-03","855","872.1","825.2","838","-0.24","160446"
"RHPC","2021-11-02","772","852","746.1","840","8.25","241331"
"RHPC","2021-11-01","822","830","773.1","776","-5.25","230286"
"RHPC","2021-10-31","813.4","829.8","786.1","819","2.70","159292"
"RHPC","2021-10-28","730","797.5","721","797.5","10.00","151987"
"RHPC","2021-10-27","720","744","700","725","0.71","129873"
"RHPC","2021-10-26","728.2","740","691","719.9","0.83","155657"
"RHPC","2021-10-25","694.5","735","694","714","4.86","108942"
"RHPC","2021-10-24","631.3","680.9","622","680.9","10.00","95313"
"RHPC","2021-10-21","633.9","633.9","607","619","-0.96","41891"
"RHPC","2021-10-20","600.7","626","580","625","6.11","60521"
"RHPC","2021-10-19","629.4","629.4","577","589","-4.55","69586"
"RHPC","2021-10-18","618","623","607","617.1","-2.05","67036"
"RHPC","2021-10-17","644","645","621","630","-0.32","9906"
"RHPC","2021-10-11","640","640","607.6","632","-1.25","65722"
"RHPC","2021-10-10","697.5","697.5","637","640","-6.42","86607"
"RHPC","2021-10-06","709","712.9","675.1","683.9","-2.16","100455"
"RHPC","2021-10-05","728.2","728.2","691.4","699","-2.10","92296"
"RHPC","2021-10-04","711.9","715.3","674","714","2.29","102153"
"RHPC","2021-10-03","763","763","695","698","-6.81","199274"
"RHPC","2021-09-30","760.5","796","735","749","-3.48","92867"
"RHPC","2021-09-29","743.9","779.9","733.1","776","2.24","183203"
"RHPC","2021-09-28","784","806","744","759","-5.13","126617"
"RHPC","2021-09-27","830","847","777","800","-1.72","141800"
"RHPC","2021-09-26","855","870","810.1","814","-3.24","124179"
"RHPC","2021-09-23","868.1","885.3","837.1","841.3","-1.15","156475"
"RHPC","2021-09-22","825","865","824","851.1","5.22","130617"
"RHPC","2021-09-21","800","835","785","808.9","1.10","174685"
"RHPC","2021-09-20","902.7","902.7","800","800.1","-9.59","174021"
"RHPC","2021-09-16","910","910","862","885","-2.75","322765"
"RHPC","2021-09-15","929","933","900","910","-2.26","97878"
"RHPC","2021-09-14","925","947","910","931","0.65","120782"
"RHPC","2021-09-13","970","970","910","925","-4.43","202661"
"RHPC","2021-09-12","974","974.1","942","967.9","1.35","227293"
"RHPC","2021-09-09","1028","1028","948.8","955","-5.26","507644"
"RHPC","2021-09-08","958.5","1032.2","945","1008","3.07","240223"
"RHPC","2021-09-07","960","993.4","913.4","978","3.27","167429"
"RHPC","2021-09-06","860","947.1","846","947","9.99","189690"
"RHPC","2021-09-05","962.8","962.8","856","861","-8.79","250391"
"RHPC","2021-09-02","998.5","1000","940","944","-3.58","168494"
"RHPC","2021-09-01","995","1030","968","979","-0.61","224342"
"RHPC","2021-08-31","1064.8","1064.8","980","985","-5.65","252337"
"RHPC","2021-08-29","1084.2","1105","1036","1044","-1.79","233130"
"RHPC","2021-08-26","1054.6","1095","1030.6","1063","2.80","324878"
"RHPC","2021-08-25","1075","1075","1016","1034","-3.54","469412"
"RHPC","2021-08-24","1057.7","1118","1017.1","1072","3.38","438669"
"RHPC","2021-08-19","960","1044","923","1037","8.59","593273"
"RHPC","2021-08-18","993","1032","942","955","-1.95","402420"
"RHPC","2021-08-17","903.2","974","903.2","974","9.99","571841"
"RHPC","2021-08-16","788.9","885.5","788.9","885.5","10.00","465664"
"RHPC","2021-08-15","880","880","792","805","-8.52","733588"
"RHPC","2021-08-12","876","920","841","880","2.43","334036"
"RHPC","2021-08-11","796.6","859.1","784","859.1","10.00","442320"
"RHPC","2021-08-10","785.4","800","760","781","1.43","221190"
"RHPC","2021-08-09","779","779.2","749","770","0.79","269678"
"RHPC","2021-08-08","721","780","715","764","5.96","261351"
"RHPC","2021-08-05","775.2","775.2","721","721","-5.13","166005"
"RHPC","2021-08-04","763","775","740","760","0.13","186882"
"RHPC","2021-08-03","746","769","726","759","2.02","137133"
"RHPC","2021-08-02","740","759.4","720","744","1.92","393477"
"RHPC","2021-08-01","743","750","708","730","0.14","280517"
"RHPC","2021-07-29","663","729.3","652","729","9.95","313954"
"RHPC","2021-07-28","647.7","673","611","663","4.41","213725"
"RHPC","2021-07-27","628.3","666","625","635","3.08","140972"
"RHPC","2021-07-26","571","616","571","616","10.00","150757"
"RHPC","2021-07-25","560","575","557","560","0.72","72728"
"RHPC","2021-07-22","572","586","556","556","-2.63","55536"
"RHPC","2021-07-20","566","575","544","571","2.88","62688"
"RHPC","2021-07-19","578","589.5","553","555","-2.29","54287"
"RHPC","2021-07-18","587","587","560","568","-1.39","55224"
"RHPC","2021-07-15","567","582","550","576","2.86","86366"
"RHPC","2021-07-14","536","571","526","560","4.67","40307"
"RHPC","2021-07-13","497","540","497","535","2.29","35140"
"RHPC","2021-07-12","545","565","505","523","-2.06","51991"
"RHPC","2021-07-11","516","539","513","534","5.53","27779"
"RHPC","2021-07-08","474","511","474","506","1.61","38415"
"RHPC","2021-07-07","518","523","498","498","-2.92","70200"
"RHPC","2021-07-06","530","535","511","513","-4.11","28673"
"RHPC","2021-07-05","527","535","515","535","0.75","49571"
"RHPC","2021-07-04","540","550","530","531","-2.39","95999"
"RHPC","2021-07-01","559","569","529","544","-0.91","33721"
"RHPC","2021-06-30","535","559","516","549","2.62","32057"
"RHPC","2021-06-29","562","575","520","535","-5.98","36418"
"RHPC","2021-06-28","595","595","569","569","-4.21","68173"
"RHPC","2021-06-27","532","610","532","594","6.26","150760"
"RHPC","2021-06-24","525","585","525","559","2.19","116002"
"RHPC","2021-06-23","543","586","533","547","-1.26","109753"
"RHPC","2021-06-22","514","559","510","554","7.78","101345"
"RHPC","2021-06-21","575","575","512","514","-6.20","145262"
"RHPC","2021-06-20","609","609","532","548","-5.52","95615"
