"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"RHPL","2022-05-05","309","315","298","304","-3.49","55548"
"RHPL","2022-05-04","320","331","310","315","-3.08","34447"
"RHPL","2022-05-02","330.5","330.5","324","325","-2.99","13979"
"RHPL","2022-04-28","335","341.7","329","335","0.30","18134"
"RHPL","2022-04-27","334","347","329.8","334","-0.30","8322"
"RHPL","2022-04-26","337","349.8","331.5","335","-0.59","11571"
"RHPL","2022-04-25","354","360","337","337","-4.80","40332"
"RHPL","2022-04-24","327.9","360","326","354","7.93","27534"
"RHPL","2022-04-21","317.8","328","316","328","1.23","18999"
"RHPL","2022-04-20","334","338","320","324","-2.99","18663"
"RHPL","2022-04-19","328","341","328","334","0.00","10375"
"RHPL","2022-04-18","339","345","333.3","334","-3.19","15609"
"RHPL","2022-04-17","341","351.9","338","345","1.14","21809"
"RHPL","2022-04-13","340","351.9","335","341.1","0.62","19187"
"RHPL","2022-04-12","340.1","345","335.2","339","-1.74","21624"
"RHPL","2022-04-11","353","366","343.2","345","-1.74","22001"
"RHPL","2022-04-07","349","356","343","351.1","2.06","28727"
"RHPL","2022-04-06","345","354","341.2","344","-0.72","20672"
"RHPL","2022-04-05","352","358","345","346.5","-2.39","32266"
"RHPL","2022-04-04","355","360","354","355","-0.73","19552"
"RHPL","2022-04-03","361.8","370","357","357.6","-3.09","25932"
"RHPL","2022-03-31","380","380","365","369","-2.64","11991"
"RHPL","2022-03-30","360.2","380.4","359.2","379","4.41","23091"
"RHPL","2022-03-29","360","370","358","363","-0.27","16368"
"RHPL","2022-03-28","361.1","369.9","361","364","-0.57","23135"
"RHPL","2022-03-27","370","370","364.3","366.1","-1.13","25559"
"RHPL","2022-03-24","375","379","370","370.3","-1.25","16129"
"RHPL","2022-03-23","374","382","373.2","375","-0.79","21026"
"RHPL","2022-03-22","384","391.6","378","378","-1.79","30070"
"RHPL","2022-03-21","372","385","366.1","384.9","3.47","16211"
"RHPL","2022-03-20","375","378","369","372","-0.69","7881"
"RHPL","2022-03-16","370.5","380","370.5","374.6","-0.90","27380"
"RHPL","2022-03-15","376.1","384.9","374.4","378","-1.05","24244"
"RHPL","2022-03-14","383.1","390","380","382","-2.05","13445"
"RHPL","2022-03-13","388","394.9","382.2","390","1.83","41485"
"RHPL","2022-03-10","360","386","360","383","6.39","35981"
"RHPL","2022-03-09","377","377","356","360","-2.70","35964"
"RHPL","2022-03-07","375","382","368","370","-1.33","38612"
"RHPL","2022-03-06","377.6","385","371","375","-0.69","33204"
"RHPL","2022-03-02","385","393","377.3","377.6","-3.67","45933"
"RHPL","2022-02-28","418.2","425","392","392","-4.39","75079"
"RHPL","2022-02-27","404","415","404","410","2.50","64215"
"RHPL","2022-02-24","400","410","396","400","-1.98","63102"
"RHPL","2022-02-23","404","418","404","408.1","-0.22","52312"
"RHPL","2022-02-22","414.9","418.9","408","409","-1.21","38420"
"RHPL","2022-02-21","409.6","418","403.2","414","1.97","43731"
"RHPL","2022-02-20","406","419","392","406","0.00","67282"
"RHPL","2022-02-17","415","416.1","401.1","406","-0.49","23666"
"RHPL","2022-02-16","420","420","402","408","-2.86","35609"
