"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"RLFLPO","2022-01-03","316","316","316","316","0.00","12300"
"RLFLPO","2022-01-02","316","316","316","316","0.00","1326"
"RLFLPO","2021-12-09","316","316","316","316","-1.86","17864"
"RLFLPO","2021-11-30","322","322","322","322","0.00","563"
"RLFLPO","2021-09-13","346","346","346","346","0.00","9296"
"RLFLPO","2021-08-18","346","346","346","346","0.00","5629"
"RLFLPO","2021-01-05","109","109","109","109","0.00","4800"
"RLFLPO","2020-11-02","109","109","109","109","0.00","11260"
"RLFLPO","2020-07-07","109","109","109","109","0.00","10054"
"RLFLPO","2019-09-26","109","109","109","109","0.00","2240"
"RLFLPO","2019-07-17","119","119","119","119","0.00","5600"
"RLFLPO","2019-04-24","119","119","119","119","-1.65","25135"
"RLFLPO","2018-10-02","110","110","110","125","0.00","18354"
"RLFLPO","2018-09-04","100","100","100","100","0.00","2600"
"RLFLPO","2018-04-04","114","114","114","114","-1.72","8278"
"RLFLPO","2018-01-07","0","0","0","100","0.00","15081"
"RLFLPO","2017-11-21","118","118","118","118","-1.67","15081"
"RLFLPO","2017-07-13","120","120","120","120","0.00","10000"
"RLFLPO","2017-07-11","120","120","120","120","0.00","31857"
"RLFLPO","2016-01-13","100","100","100","100","0.00","53000"
"RLFLPO","2016-01-11","100","100","100","100","0.00","72500"
