"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"RLI","2022-05-05","451","465","438","443.9","-3.29","15145"
"RLI","2022-05-04","474","475.4","455","459","-3.57","11925"
"RLI","2022-05-02","481","487","475","476","-2.10","5988"
"RLI","2022-04-28","489.4","505","486","486.2","-2.57","8754"
"RLI","2022-04-27","497.2","499","488","499","2.36","5424"
"RLI","2022-04-26","491","509","487","487.5","-1.73","3520"
"RLI","2022-04-25","518","518","495","496.1","-2.34","7647"
"RLI","2022-04-24","496","515","490","508","3.67","10350"
"RLI","2022-04-21","483.8","495","475","490","-0.73","7430"
"RLI","2022-04-20","491.1","503","484","493.6","-1.28","7934"
"RLI","2022-04-19","491","506","490","500","0.00","6251"
"RLI","2022-04-18","502","505","495.1","500","-1.13","8206"
"RLI","2022-04-17","515","520","505.5","505.7","-2.37","6159"
"RLI","2022-04-13","524.2","524.2","506","518","0.78","7025"
"RLI","2022-04-12","534","534","513","514","-3.38","13773"
"RLI","2022-04-11","553","556","524","532","-2.21","11975"
"RLI","2022-04-07","528","550","528","544","3.03","17300"
"RLI","2022-04-06","525.1","539","524.5","528","-1.31","7225"
"RLI","2022-04-05","538.4","546","522","535","-2.55","18004"
"RLI","2022-04-04","560","564.5","546","549","-1.26","7335"
"RLI","2022-04-03","554.1","563","554.1","556","-1.33","9228"
"RLI","2022-03-31","578","584","560","563.5","-2.34","12530"
"RLI","2022-03-30","560","583","557","577","2.30","19801"
"RLI","2022-03-29","557.7","572","557.7","564","-0.88","6045"
"RLI","2022-03-28","594","594","564","569","-2.42","26519"
"RLI","2022-03-27","581.4","626","581.4","583.1","2.30","190359"
"RLI","2022-03-24","546","579","545.1","570","3.09","48012"
"RLI","2022-03-23","553","555","550.1","552.9","-0.38","4456"
"RLI","2022-03-22","552","559.1","552","555","0.20","8663"
"RLI","2022-03-21","557.9","557.9","541","553.9","1.26","11325"
"RLI","2022-03-20","571.2","571.2","543","547","-2.32","25164"
"RLI","2022-03-16","547","560","547","560","0.38","9067"
"RLI","2022-03-15","541","565","541","557.9","1.44","24504"
"RLI","2022-03-14","560","562.9","545","550","-0.36","5932"
"RLI","2022-03-13","520","566","507.7","552","6.15","26738"
"RLI","2022-03-10","530","530","495","520","0.00","12757"
"RLI","2022-03-09","517.5","523","510","520","-0.69","8173"
"RLI","2022-03-07","540","540","523.1","523.6","-2.86","16348"
"RLI","2022-03-06","560.6","560.6","531","539","-5.77","41063"
"RLI","2022-03-02","540","572","522","572","4.00","8325"
"RLI","2022-02-28","550","556","539","550","-1.96","55803"
"RLI","2022-02-27","549","561","538.4","561","2.37","11031"
"RLI","2022-02-24","555","556","546.1","548","-3.18","15354"
"RLI","2022-02-23","560","567.9","556","566","-0.70","6924"
"RLI","2022-02-22","569","574.9","560","570","0.88","13097"
"RLI","2022-02-21","571","572","561","565","-0.70","9645"
"RLI","2022-02-20","566","569","551","569","-1.04","12377"
"RLI","2022-02-17","572","575","565","575","0.00","12020"
"RLI","2022-02-16","562","582","562","575","0.35","14625"
"RLI","2022-02-15","557","573","556.7","573","1.42","6632"
"RLI","2022-02-14","559","565","552","565","1.44","9015"
"RLI","2022-02-13","572.4","572.4","549.8","557","-4.62","23018"
"RLI","2022-02-10","575","585","575","584","-0.17","19805"
"RLI","2022-02-09","574.3","585","573.3","585","0.00","21992"
"RLI","2022-02-08","593","604.8","575.3","585","0.00","28999"
"RLI","2022-02-07","560","585","560","581.5","3.10","32722"
"RLI","2022-02-06","574","584","561.6","564","-1.74","15468"
"RLI","2022-02-03","584","584.4","572","574","0.17","24984"
"RLI","2022-02-01","561","576","560","573","0.53","7377"
"RLI","2022-01-31","571","580","569","570","-1.55","10312"
"RLI","2022-01-30","568.1","580","567","579","3.95","18003"
"RLI","2022-01-27","548.3","568","548.3","557","0.00","10817"
"RLI","2022-01-26","558","568","553","557","-1.94","15068"
"RLI","2022-01-25","567","587.5","558","568","0.18","28432"
"RLI","2022-01-24","588","591","560.1","567","-3.74","38922"
"RLI","2022-01-23","572","605","568","589","4.25","83462"
"RLI","2022-01-20","545","583","542","565","2.36","20527"
"RLI","2022-01-19","556","560","539.1","552","-1.43","16888"
"RLI","2022-01-18","580","586","557.2","560","-2.61","19184"
"RLI","2022-01-17","571","580","560.1","575","0.88","23101"
"RLI","2022-01-16","559","581.5","563.6","570","1.97","29031"
"RLI","2022-01-13","551","560","545.3","559","1.08","16865"
"RLI","2022-01-12","569","574","546","553","-2.64","26511"
"RLI","2022-01-11","535.1","579","535.1","568","6.15","41049"
"RLI","2022-01-10","530","560","530","535.1","0.58","22662"
"RLI","2022-01-09","533","540","526","532","1.70","17652"
"RLI","2022-01-06","517.1","528","500","523.1","0.40","7605"
"RLI","2022-01-05","528","537","520","521","-1.70","13610"
"RLI","2022-01-04","518.5","540","518.5","530","0.19","11610"
"RLI","2022-01-03","538.5","546.9","529","529","0.19","23964"
"RLI","2022-01-02","514","530","510","528","2.52","11237"
"RLI","2021-12-29","517","520","504","515","0.19","9690"
"RLI","2021-12-28","524","525.3","502","514","-1.72","7781"
"RLI","2021-12-27","547.5","569.5","515","523","-2.57","43512"
"RLI","2021-12-26","497.7","536.8","488","536.8","10.00","43367"
"RLI","2021-12-23","465.2","497","456","488","4.05","23477"
"RLI","2021-12-22","455","477","455","469","3.08","6214"
"RLI","2021-12-21","455","463","442","455","1.79","7783"
"RLI","2021-12-20","460","461","444.1","447","-1.11","3642"
"RLI","2021-12-16","460","460","445.1","452","-0.44","3819"
"RLI","2021-12-15","464.1","485","447","454","-0.22","9847"
"RLI","2021-12-14","440.6","455","439.8","455","5.32","5046"
"RLI","2021-12-13","446","446","423.4","432","-4.21","11635"
"RLI","2021-12-12","480","480","450","451","-5.65","6548"
"RLI","2021-12-09","482","482","474","478","-0.83","8657"
"RLI","2021-12-08","490","492","480.3","482","-1.93","3638"
"RLI","2021-12-07","495","513","491.5","491.5","-0.51","8037"
"RLI","2021-12-06","480.2","494","480.2","494","2.49","14926"
"RLI","2021-12-05","491","491","478.3","482","-2.82","9407"
"RLI","2021-12-02","500.2","502","495.1","496","-1.43","6080"
"RLI","2021-12-01","505","510","501","503.2","-0.16","5468"
"RLI","2021-11-30","507","512","501","504","-0.40","5248"
"RLI","2021-11-29","498","508","498","506","0.00","4460"
"RLI","2021-11-28","510","515","500","506","-2.69","7185"
"RLI","2021-11-25","515","522","515","520","0.31","4109"
"RLI","2021-11-24","510","526","500","518.4","0.47","9323"
"RLI","2021-11-23","527","528","510","516","-2.09","11970"
"RLI","2021-11-22","516","548.2","516","527","0.36","13189"
"RLI","2021-11-21","535.1","535.1","521","525.1","-1.87","10031"
"RLI","2021-11-18","555","555","535","535.1","-3.59","13537"
"RLI","2021-11-17","568.1","572","555","555","-0.36","15411"
"RLI","2021-11-16","525","563","525","557","5.49","21495"
"RLI","2021-11-15","523","529","511","528","2.52","12650"
"RLI","2021-11-14","515","522.2","503","515","-0.96","9570"
"RLI","2021-11-11","527.3","548","515","520","-3.35","9295"
"RLI","2021-11-09","551","556.1","532.4","538","-4.27","13225"
"RLI","2021-11-08","563.2","570","556","562","-0.27","6459"
"RLI","2021-11-03","574.2","578.2","563.5","563.5","0.09","14343"
"RLI","2021-11-02","549","565","548.1","563","1.17","7099"
"RLI","2021-11-01","560","575","555","556.5","-0.63","8322"
"RLI","2021-10-31","545","563","535","560","3.90","11541"
"RLI","2021-10-28","535","548","530","539","-0.74","9566"
"RLI","2021-10-27","530","555","517.5","543","2.84","18279"
"RLI","2021-10-26","505","532.9","505","528","5.81","16790"
"RLI","2021-10-25","467.2","501","467.2","499","5.27","12298"
"RLI","2021-10-24","480","485","474","474","-1.25","7518"
"RLI","2021-10-21","497","497","478.3","480","-1.64","4724"
"RLI","2021-10-20","489","498","485.5","488","1.69","6430"
"RLI","2021-10-19","489","490","463","479.9","-2.66","18319"
"RLI","2021-10-18","498","500","486","493","-1.89","9572"
"RLI","2021-10-17","514","514","500","502.5","-0.89","2976"
"RLI","2021-10-11","513","514.9","493.2","507","0.60","9239"
"RLI","2021-10-10","495.2","523","495.2","504","-0.20","10081"
"RLI","2021-10-06","492","505","484.6","505","3.23","24301"
"RLI","2021-10-05","495.9","501","470","489.2","-3.32","50323"
"RLI","2021-10-04","509.8","518","501.2","506","-0.78","8896"
"RLI","2021-10-03","512","523","509.9","510","-1.92","9509"
"RLI","2021-09-30","521.1","534","515","520","-0.76","12493"
"RLI","2021-09-29","510","535","509.1","524","0.96","13838"
"RLI","2021-09-28","545","557","511","519","-4.77","18312"
"RLI","2021-09-27","559","565","545","545","-4.39","15864"
"RLI","2021-09-26","580","582","568.5","570","-2.73","9935"
"RLI","2021-09-23","581.1","609","581.1","586","-0.68","10836"
"RLI","2021-09-22","570","592","570","590","4.41","12712"
"RLI","2021-09-21","560","599","541","565.1","-0.42","17625"
"RLI","2021-09-20","591","595","566","567.5","-5.42","30310"
"RLI","2021-09-16","610","618","592","600","-3.23","26715"
"RLI","2021-09-15","618.5","627","618","620","-1.76","10382"
"RLI","2021-09-14","635","639","628","631.1","-0.61","10419"
"RLI","2021-09-13","630","642","625","635","1.44","17783"
"RLI","2021-09-12","620","633","616","626","1.29","12351"
"RLI","2021-09-09","630","630","616","618","-0.16","16227"
"RLI","2021-09-08","637","637","615.9","619","-2.84","17483"
"RLI","2021-09-07","642","643","630","637.1","-1.22","11375"
"RLI","2021-09-06","619","646","606.7","645","4.20","21059"
"RLI","2021-09-05","643","643","603","619","-4.33","31254"
"RLI","2021-09-02","660","668.1","645.9","647","-1.97","19385"
"RLI","2021-09-01","665","670","655","660","0.59","18451"
"RLI","2021-08-31","660","665","652.2","656.1","-1.41","33172"
"RLI","2021-08-29","675","687","661.5","665.5","-1.41","25789"
"RLI","2021-08-26","665.2","689.9","665.2","675","-0.44","26867"
"RLI","2021-08-25","695","695","674","678","-2.02","21893"
"RLI","2021-08-24","718","718","690","692","-1.70","33474"
"RLI","2021-08-19","685","728","683","704","3.07","106811"
"RLI","2021-08-18","694.6","694.6","667.4","683","0.29","31293"
"RLI","2021-08-17","679","691","676","681","-0.29","24765"
"RLI","2021-08-16","690","699","678.5","683","-1.01","31985"
"RLI","2021-08-15","692","706","686","690","-2.27","35362"
"RLI","2021-08-12","700","710","692.5","706","0.86","52550"
"RLI","2021-08-11","710","720","697","700","-1.06","31538"
"RLI","2021-08-10","707","715","698.5","707.5","0.07","30803"
"RLI","2021-08-09","700","708","686","707","1.00","24909"
"RLI","2021-08-08","700.1","710","697","700","-0.57","21307"
"RLI","2021-08-05","723.1","723.1","700","704","-0.71","26829"
"RLI","2021-08-04","712.1","715","705","709","-0.42","28540"
"RLI","2021-08-03","718","718","705.2","712","0.45","31158"
"RLI","2021-08-02","702","711","702","708.8","0.54","25679"
"RLI","2021-08-01","707","714.9","700.1","705","-0.87","18874"
"RLI","2021-07-29","730","734","710","711.2","-1.50","26987"
"RLI","2021-07-28","721","726","705","722","2.12","57445"
"RLI","2021-07-27","700","711","697","707","0.71","26321"
"RLI","2021-07-26","690.1","705","690.1","702","0.86","19640"
"RLI","2021-07-25","698","705","695","696","-1.00","18056"
"RLI","2021-07-22","705","715","700","703","-1.26","32757"
"RLI","2021-07-20","727","727","700","712","-1.52","13710"
"RLI","2021-07-19","715","728","700.7","723","3.06","50111"
"RLI","2021-07-18","660","704","660","701.5","4.39","23272"
"RLI","2021-07-15","662","675","662","672","0.45","10165"
"RLI","2021-07-14","672","675","666","669","-0.45","7169"
"RLI","2021-07-13","668","679","665","672","0.60","6810"
"RLI","2021-07-12","688","697","662","668","-2.34","21505"
"RLI","2021-07-11","662","685","662","684","3.32","13411"
"RLI","2021-07-08","652","664","651","662","0.91","9907"
"RLI","2021-07-07","655","660","651","656","-0.46","9084"
"RLI","2021-07-06","656","665","656","659","-0.90","8466"
"RLI","2021-07-05","665","678","660","665","-0.75","13325"
"RLI","2021-07-04","667","677","667","670","0.30","14176"
"RLI","2021-07-01","671","681","668","668","0.00","16425"
"RLI","2021-06-30","672","680","656","668","-1.04","22814"
"RLI","2021-06-29","681","688","672","675","-1.32","17496"
"RLI","2021-06-28","682","692","680","684","0.29","13067"
"RLI","2021-06-27","680","691","672","682","0.59","18590"
"RLI","2021-06-24","675","687","675","678","-1.17","19521"
"RLI","2021-06-23","700","703","686","686","-2.00","14922"
"RLI","2021-06-22","680","701","677","700","2.94","31692"
"RLI","2021-06-21","700","702","680","680","-2.58","35834"
"RLI","2021-06-20","715","720","695","698","-1.97","27050"
"RLI","2021-06-17","708","722","706","712","0.56","31341"
"RLI","2021-06-16","710","722","700","708","-3.01","64245"
"RLI","2021-06-15","750","750","725","730","-0.54","54538"
"RLI","2021-06-14","748","748","730","734","0.00","33804"
"RLI","2021-06-13","750","754","730","734","-0.94","48755"
"RLI","2021-06-10","761","765","740","741","-0.94","68769"
"RLI","2021-06-09","770","795","743","748","-0.01","108324"
"RLI","2021-06-08","714","765","714","758","6.31","101212"
"RLI","2021-06-07","706","723","706","713","0.28","34469"
"RLI","2021-06-06","720","723","710","711","-0.97","41686"
"RLI","2021-06-03","724","735","717","718","-0.69","48056"
"RLI","2021-06-02","717","724","706","723","0.84","29025"
"RLI","2021-06-01","710","726","710","717","-0.42","23514"
"RLI","2021-05-31","750","750","716","720","-1.91","74732"
"RLI","2021-05-30","751","751","721","734","1.24","84774"
"RLI","2021-05-27","730","740","711","725","0.00","49548"
"RLI","2021-05-25","713","745","701","725","3.28","101903"
"RLI","2021-05-24","721","722","698","702","-0.85","40510"
"RLI","2021-05-23","701","710","680","708","-0.28","38115"
"RLI","2021-05-20","711","715","704","710","-0.14","17332"
"RLI","2021-05-19","714","725","710","711","-0.14","44727"
"RLI","2021-05-18","715","716","707","712","0.14","35762"
"RLI","2021-05-17","720","730","708","711","-0.56","47717"
"RLI","2021-05-16","688","715","688","715","3.92","40537"
"RLI","2021-05-13","690","700","682","688","0.15","14691"
"RLI","2021-05-12","695","699","678","687","-0.15","18102"
"RLI","2021-05-11","680","706","680","688","0.44","19457"
"RLI","2021-05-10","673","692","673","685","0.59","16465"
"RLI","2021-05-09","680","688","674","681","-0.73","19554"
"RLI","2021-05-06","690","692","682","686","-0.87","23349"
