"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"RMDCPO","2022-05-05","327","327","327","327","0.00","13100"
"RMDCPO","2021-10-04","327","327","327","327","0.00","100"
"RMDCPO","2021-10-03","327","327","327","327","0.00","145290"
"RMDCPO","2021-09-26","327","327","327","327","0.00","43260"
"RMDCPO","2021-06-20","327","327","327","327","0.00","200"
"RMDCPO","2021-06-01","327","490","490","327","0.00","2000"
"RMDCPO","2021-05-24","327","327","327","327","0.00","2244"
"RMDCPO","2021-05-18","327","327","327","327","0.00","1100"
"RMDCPO","2021-04-27","327","327","327","327","0.00","11256"
"RMDCPO","2021-04-26","327","327","327","327","0.00","3150"
"RMDCPO","2020-12-27","477","327","327","327","0.00","2632"
"RMDCPO","2020-07-05","398.75","398.75","398.75","398.75","24.80","21061"
"RMDCPO","2017-12-19","0","0","0","350","0.00","14641"
"RMDCPO","2017-09-25","0","0","0","415","0.00","25000"
"RMDCPO","2017-07-10","0","0","0","501","0.00","1000"
