"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"RRHP","2021-11-03","575","575","550","563.1","-0.14","114923"
"RRHP","2021-11-02","550","574","545","563.9","0.52","124142"
"RRHP","2021-11-01","583.2","589.9","551","561","-1.89","170337"
"RRHP","2021-10-31","530.2","571.8","521","571.8","9.98","287270"
"RRHP","2021-10-28","486","521.2","480","519.9","6.98","159486"
"RRHP","2021-10-27","510","518.1","486","486","-4.71","136087"
"RRHP","2021-10-26","517","538.4","501","510","-0.97","127673"
"RRHP","2021-10-25","495","517","482","515","5.53","131169"
"RRHP","2021-10-24","468","496","441.1","488","3.83","68725"
"RRHP","2021-10-21","489.9","489.9","451.4","470","-4.28","26040"
"RRHP","2021-10-20","467","500","447","491","6.97","83048"
"RRHP","2021-10-19","466","466","427.5","459","-3.37","158039"
"RRHP","2021-10-18","500","500","463.7","475","-6.31","67374"
"RRHP","2021-10-17","523","523","500","507","-1.29","17104"
"RRHP","2021-10-11","549","549","509.1","513.6","-8.29","69218"
"RRHP","2021-10-10","557.5","568","530","560","-1.55","151184"
"RRHP","2021-10-06","540.6","568.8","511","568.8","7.32","89620"
"RRHP","2021-10-05","536","568","526","530","0.53","25888"
"RRHP","2021-10-04","550","555","527","527.2","-5.20","172019"
"RRHP","2021-10-03","599.8","601","554.1","556.1","-9.13","55998"
"RRHP","2021-09-30","629","632","595","612","-1.29","76834"
"RRHP","2021-09-29","590","624","571","620","5.08","92269"
"RRHP","2021-09-28","599","615","571.4","590","-3.42","131142"
"RRHP","2021-09-27","653.8","659","601","610.9","-4.70","118476"
"RRHP","2021-09-26","675","675.1","632.2","641","-3.16","108261"
"RRHP","2021-09-23","680","680","648.2","661.9","-0.84","108049"
"RRHP","2021-09-22","647","676.1","645","667.5","5.12","112019"
"RRHP","2021-09-21","639","654","615.1","635","1.28","168316"
"RRHP","2021-09-20","641","663","625","627","-4.13","211858"
"RRHP","2021-09-16","678","678","648","654","-5.22","188225"
"RRHP","2021-09-15","701.7","701.7","674","690","0.29","209824"
"RRHP","2021-09-14","642","710","642","688","5.04","334522"
"RRHP","2021-09-13","694","701","640.1","655","-5.62","356523"
"RRHP","2021-09-12","724","739","684","694","-2.24","293844"
"RRHP","2021-09-09","663","712","655","709.9","9.22","485752"
"RRHP","2021-09-08","590","655","588","650","8.33","375556"
"RRHP","2021-09-07","630.3","630.3","598","600","-2.91","73908"
"RRHP","2021-09-06","570","625","569","618","8.38","184745"
"RRHP","2021-09-05","590","605","551.2","570.2","-4.81","172089"
"RRHP","2021-09-02","621.9","621.9","570","599","-1.80","138263"
"RRHP","2021-09-01","643","645","606","610","-3.48","103083"
"RRHP","2021-08-31","635","663","625","632","-0.47","180056"
"RRHP","2021-08-29","628.3","665","628.3","635","3.08","164837"
"RRHP","2021-08-26","615","648","602.7","616","1.82","142454"
"RRHP","2021-08-25","599","632","587.1","605","-0.82","106562"
"RRHP","2021-08-24","645","647","610","610","-5.43","215244"
"RRHP","2021-08-19","660","663","630","645","-2.27","178801"
"RRHP","2021-08-18","656.9","700","651","660","2.47","184937"
"RRHP","2021-08-17","639","664.7","634","644.1","2.73","123994"
"RRHP","2021-08-16","616","638","600.1","627","1.79","115579"
"RRHP","2021-08-15","651","651","585","616","-5.23","158040"
"RRHP","2021-08-12","618","666.6","618","650","7.26","218051"
"RRHP","2021-08-11","557","607","557","606","9.39","242017"
"RRHP","2021-08-10","578","585","547","554","-2.29","155662"
"RRHP","2021-08-09","562","585","557.6","567","0.89","184545"
"RRHP","2021-08-08","540","581","524.3","562","5.03","192153"
"RRHP","2021-08-05","555.9","560","529","535.1","-1.82","147180"
"RRHP","2021-08-04","543","575","543","545","2.25","202329"
"RRHP","2021-08-03","504","533","500","533","3.70","172377"
"RRHP","2021-08-02","530","550","513.9","514","-1.13","141245"
"RRHP","2021-08-01","484.5","520","484","519.9","9.45","260072"
"RRHP","2021-07-29","498.7","498.7","471","475","-2.86","91239"
"RRHP","2021-07-28","495","525","480","489","0.62","176598"
"RRHP","2021-07-27","452","497","452","486","7.52","182015"
"RRHP","2021-07-26","444.7","460","440","452","3.67","101039"
"RRHP","2021-07-25","433","442","425","436","1.40","98992"
"RRHP","2021-07-22","431.8","441","427","430","0.23","41684"
"RRHP","2021-07-20","420","445","420","428","1.90","60031"
"RRHP","2021-07-19","438","438","416","420","-2.33","35409"
"RRHP","2021-07-18","433.5","444","417","430","0.47","48646"
"RRHP","2021-07-15","400","432","400","428","8.91","132494"
"RRHP","2021-07-14","374","397","365","393","5.08","42705"
"RRHP","2021-07-13","370","378","366","374","1.08","14630"
"RRHP","2021-07-12","384","390","365","370","-1.86","20398"
"RRHP","2021-07-11","355","380","355","377","6.80","20029"
"RRHP","2021-07-08","356","364","349","353","0.57","5169"
"RRHP","2021-07-07","366","367","350","351","-2.77","10564"
"RRHP","2021-07-06","361","375","361","361","-1.90","5997"
"RRHP","2021-07-05","365","368","361","368","0.00","10042"
"RRHP","2021-07-04","376","382","359","368","-0.27","12300"
"RRHP","2021-07-01","366","373","363","369","2.50","16407"
"RRHP","2021-06-30","385","385","343","360","-1.91","30570"
"RRHP","2021-06-29","395","395","367","367","-5.41","17633"
"RRHP","2021-06-28","400","400","382","388","-2.02","12899"
"RRHP","2021-06-27","399","412","388","396","0.25","12967"
"RRHP","2021-06-24","389","405","385","395","0.25","16973"
"RRHP","2021-06-23","415","420","388","394","-1.25","35166"
"RRHP","2021-06-22","383","411","377","399","4.18","46983"
"RRHP","2021-06-21","402","417","381","383","-6.59","28516"
"RRHP","2021-06-20","414","430","387","410","-2.84","28661"
"RRHP","2021-06-17","407","427","398","422","3.69","67278"
"RRHP","2021-06-16","418","436","396","407","-7.29","48758"
"RRHP","2021-06-15","487","487","433","439","-5.39","69578"
"RRHP","2021-06-14","458","510","458","464","-3.73","133669"
"RRHP","2021-06-13","450","482","434","482","9.79","235932"
"RRHP","2021-06-10","418","459","415","439","5.02","193402"
"RRHP","2021-06-09","420","435","410","418","0.01","77096"
"RRHP","2021-06-08","436","436","412","412","-0.96","74678"
"RRHP","2021-06-07","400","416","393","416","5.32","100473"
"RRHP","2021-06-06","425","425","390","395","-2.95","37960"
"RRHP","2021-06-03","422","431","400","407","-1.69","33138"
"RRHP","2021-06-02","413","420","406","414","0.24","42660"
"RRHP","2021-06-01","402","421","402","413","0.73","75784"
"RRHP","2021-05-31","435","435","407","410","-5.31","26203"
"RRHP","2021-05-30","453","498","423","433","-4.42","86923"
"RRHP","2021-05-27","397","458","397","453","8.63","99224"
"RRHP","2021-05-25","415","420","409","417","0.97","25560"
"RRHP","2021-05-24","418","433","404","413","-1.20","45059"
"RRHP","2021-05-23","399","440","394","418","4.24","22830"
"RRHP","2021-05-20","399","413","390","401","-1.47","23411"
"RRHP","2021-05-19","434","435","406","407","-5.35","27565"
"RRHP","2021-05-18","414","438","412","430","4.12","32001"
"RRHP","2021-05-17","403","434","392","413","4.29","23877"
"RRHP","2021-05-16","396","406","391","396","-1.98","20377"
"RRHP","2021-05-13","410","416","400","404","-1.46","10283"
"RRHP","2021-05-12","400","410","400","410","2.50","7481"
"RRHP","2021-05-11","405","408","396","400","-0.99","10230"
"RRHP","2021-05-10","400","411","392","404","-0.74","8256"
"RRHP","2021-05-09","440","440","406","407","-7.29","23421"
