"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"RSDC","2022-05-05","595","597","583","584","-1.70","2342"
"RSDC","2022-05-04","592.3","610","586.4","594.1","-1.69","1694"
"RSDC","2022-05-02","604","608.9","604","604.3","-1.90","2216"
"RSDC","2022-04-28","630","640","616","616","-2.07","4572"
"RSDC","2022-04-27","633","638","623","629","-0.94","2047"
"RSDC","2022-04-26","644","650","634","635","-1.24","1457"
"RSDC","2022-04-25","660","665","632.1","643","-2.43","4526"
"RSDC","2022-04-24","626","659","621","659","6.81","4221"
"RSDC","2022-04-21","600","617","588","617","3.52","6207"
"RSDC","2022-04-20","626","626","596","596","-2.93","2445"
"RSDC","2022-04-19","604","620","603.2","614","0.33","746"
"RSDC","2022-04-18","640.5","640.5","610","612","-2.55","2050"
"RSDC","2022-04-17","640","652","628","628","-1.88","2578"
"RSDC","2022-04-13","622.1","645","614","640","0.95","3687"
"RSDC","2022-04-12","649.7","661.9","610.2","634","-0.47","5476"
"RSDC","2022-04-11","656","669","637","637","-1.10","2112"
"RSDC","2022-04-07","650","659","631.1","644.1","0.64","3860"
"RSDC","2022-04-06","635","647","627.1","640","0.79","4541"
"RSDC","2022-04-05","640.1","640.1","630","635","-1.81","4271"
"RSDC","2022-04-04","645","663","645","646.7","-1.42","3763"
"RSDC","2022-04-03","677","677","650","656","-3.10","3758"
"RSDC","2022-03-31","693.6","693.6","669","677","-0.44","1565"
"RSDC","2022-03-30","666","684","655","680","2.26","2210"
"RSDC","2022-03-29","662","670","660","665","0.47","1694"
"RSDC","2022-03-28","661","684","653.5","661.9","-0.47","3190"
"RSDC","2022-03-27","687","687","665","665","-3.20","6194"
"RSDC","2022-03-24","714","728.2","687","687","-1.86","2975"
"RSDC","2022-03-23","704","710","692.1","700","-1.41","3127"
"RSDC","2022-03-22","715","720","700.1","710","0.00","2341"
"RSDC","2022-03-21","684","710","684","710","2.32","2761"
"RSDC","2022-03-20","700","714","687.1","693.9","-0.87","2243"
"RSDC","2022-03-16","706","706","700","700","-0.99","4102"
"RSDC","2022-03-15","718","718","696","707","0.41","4118"
"RSDC","2022-03-14","707","717","692.9","704.1","-0.28","1625"
"RSDC","2022-03-13","691.5","712","691.5","706.1","4.14","4079"
"RSDC","2022-03-10","645","678","645","678","3.67","10124"
"RSDC","2022-03-09","685","685","648","654","-2.82","8293"
"RSDC","2022-03-07","691.5","705.3","672","673","-0.74","2530"
"RSDC","2022-03-06","693.6","693.6","668","678","-0.29","2679"
"RSDC","2022-03-02","728.2","728.2","680","680","-4.76","4157"
"RSDC","2022-02-28","729.3","729.3","700","714","-0.14","4907"
"RSDC","2022-02-27","720","725","705.6","715","-0.69","5893"
"RSDC","2022-02-24","739","739","712","720","-2.57","6308"
"RSDC","2022-02-23","746.5","749.7","735","739","-1.00","1356"
"RSDC","2022-02-22","735","749","731.6","746.5","1.56","4286"
"RSDC","2022-02-21","737.4","752","730","735","1.66","1926"
"RSDC","2022-02-20","721.6","730","707.2","723","-1.81","6388"
"RSDC","2022-02-17","757.8","757.8","736.2","736.3","-0.90","1931"
"RSDC","2022-02-16","764","764","743","743","-1.58","2125"
"RSDC","2022-02-15","738","767.7","738","754.9","2.29","2285"
"RSDC","2022-02-14","731","745","730","738","0.96","3538"
"RSDC","2022-02-13","754.6","761","727","731","-5.06","6315"
"RSDC","2022-02-10","789.9","789.9","770","770","-1.16","2262"
"RSDC","2022-02-09","775","780","761","779","0.52","4002"
"RSDC","2022-02-08","789.4","800","767","775","0.00","8567"
"RSDC","2022-02-07","755","803.9","755","774","0.78","3642"
"RSDC","2022-02-06","772","795","768","768","-1.29","4606"
"RSDC","2022-02-03","800","800","777","778","-0.89","12800"
"RSDC","2022-02-01","795.6","810","765.4","785","0.64","5935"
"RSDC","2022-01-31","805","805","776","780","-2.01","9712"
"RSDC","2022-01-30","780.3","827.2","780.3","796","4.05","8138"
"RSDC","2022-01-27","780","780","765","765","0.00","4887"
"RSDC","2022-01-26","795.6","795.6","760","765","-1.92","9125"
"RSDC","2022-01-25","783","801","778","780","-2.01","10577"
"RSDC","2022-01-24","814","814","778.1","796","-2.45","20824"
"RSDC","2022-01-23","830","837","806","816","-1.21","9620"
"RSDC","2022-01-20","823.1","826","795","826","2.35","19046"
"RSDC","2022-01-19","846.6","846.6","807","807","-2.77","18482"
"RSDC","2022-01-18","845.1","855","826","830","-2.92","12325"
"RSDC","2022-01-17","872.1","872.1","835","855","0.00","18589"
"RSDC","2022-01-16","845","875","837.9","855","1.18","22151"
"RSDC","2022-01-13","838.4","846.6","815","845","2.80","16116"
"RSDC","2022-01-12","870","870","820","822","-3.63","22122"
"RSDC","2022-01-11","817","856","800","853","6.49","48892"
"RSDC","2022-01-10","835","835","797","801","-2.20","14578"
"RSDC","2022-01-09","824.9","825","800","819","1.11","15887"
"RSDC","2022-01-06","816","816","780","810","1.25","11270"
