"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"RULB","2022-05-05","1083.9","1104","1056","1060","-4.16","2949"
"RULB","2022-05-04","1119","1132.2","1100.1","1106","-1.26","1710"
"RULB","2022-05-02","1147.3","1165.1","1119","1120.1","-3.86","3015"
"RULB","2022-04-28","1195","1205.9","1165.1","1165.1","-1.68","2440"
"RULB","2022-04-27","1171","1214","1171","1185","-0.67","2021"
"RULB","2022-04-26","1200","1234","1186","1193","-0.91","2811"
"RULB","2022-04-25","1266.8","1266.8","1191","1204","-3.06","5221"
"RULB","2022-04-24","1151.5","1250","1151.5","1242","5.70","4515"
"RULB","2022-04-21","1185","1194.9","1130","1175","-1.77","5842"
"RULB","2022-04-20","1251","1285","1196.1","1196.2","-5.81","5135"
"RULB","2022-04-19","1251","1304","1251","1270","0.32","4994"
"RULB","2022-04-18","1295","1310","1264.2","1266","-3.73","5785"
"RULB","2022-04-17","1425","1444","1305","1315","-6.07","8165"
"RULB","2022-04-13","1280","1435","1262","1400","7.19","6139"
"RULB","2022-04-12","1352.5","1352.5","1290","1306.1","-5.36","11796"
"RULB","2022-04-11","1501.4","1506","1380","1380.1","-9.92","17849"
"RULB","2022-04-07","1660","1660","1525","1532","-7.71","23889"
"RULB","2022-04-06","1791","1931.7","1653","1660","-5.47","49627"
"RULB","2022-04-05","1565.4","1756.1","1565.4","1756.1","10.00","3833"
"RULB","2022-04-04","1480.4","1596.5","1480.4","1596.5","10.00","220"
"RULB","2022-04-03","1345.8","1451.4","1345.8","1451.4","10.00","240"
"RULB","2022-03-31","1223.5","1319.5","1223.5","1319.5","9.99","130"
"RULB","2022-03-30","1112.4","1199.6","1112.4","1199.6","9.99","90"
"RULB","2022-03-29","1011.3","1090.6","1011.3","1090.6","9.99","131"
"RULB","2022-03-28","919","991.5","919","991.5","10.00","139"
"RULB","2022-03-27","835.8","901.4","835.8","901.4","9.99","110"
"RULB","2022-03-24","745","819.5","745","819.5","10.00","62"
"RULB","2022-03-23","690.8","745","690.8","745","10.00","101"
"RULB","2022-03-22","651.1","677.3","651.1","677.3","6.09","31"
"RULB","2022-03-21","625.9","638.4","625.9","638.4","2.00","30"
"RULB","2022-03-20","580.3","625.9","580.3","625.9","10.00","70"
"RULB","2022-03-16","557.9","569","557.9","569","1.99","21"
"RULB","2022-03-15","536.3","557.9","536.3","557.9","4.75","40"
"RULB","2022-03-14","502","532.6","502","532.6","6.10","62"
"RULB","2022-03-13","502","502","502","502","0.00","42"
