"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"RURU","2022-05-05","877.5","889.9","860","865","-3.40","1250"
"RURU","2022-05-04","887.6","899.9","880","895.4","-1.14","421"
"RURU","2022-05-02","929.6","929.6","885","905.7","-0.79","396"
"RURU","2022-04-28","906.5","924","873.3","912.9","-1.31","2435"
"RURU","2022-04-27","876","928","876","925","3.58","358"
"RURU","2022-04-26","913","913","893","893","-2.27","647"
"RURU","2022-04-25","935","935","912","913.7","-2.38","954"
"RURU","2022-04-24","914","938","905","936","2.52","2023"
"RURU","2022-04-21","895.6","913","880.2","913","-0.09","541"
"RURU","2022-04-20","937.9","937.9","900.1","913.8","-0.66","191"
"RURU","2022-04-19","910","919.9","890","919.9","-0.44","177"
"RURU","2022-04-18","898","924","882","924","0.98","365"
"RURU","2022-04-17","916.3","920","900","915","-2.14","617"
"RURU","2022-04-13","919.7","945","902","935","-0.36","486"
"RURU","2022-04-12","909.5","938.4","893","938.4","1.13","1068"
"RURU","2022-04-11","939.4","949","900","927.9","0.75","2595"
"RURU","2022-04-07","938","938","920","921","0.11","882"
"RURU","2022-04-06","920","948.9","900.1","920","-1.81","442"
"RURU","2022-04-05","951","951","936","937","-2.80","947"
"RURU","2022-04-04","966","970","951","964","-0.12","917"
"RURU","2022-04-03","956","985","955.5","965.2","-1.01","520"
"RURU","2022-03-31","1007.7","1027.6","975","975","-1.32","1355"
"RURU","2022-03-30","970","1000","966","988","2.28","647"
"RURU","2022-03-29","1000","1014.5","966","966","-1.93","970"
"RURU","2022-03-28","998","1014.9","970","985","-1.01","2317"
"RURU","2022-03-27","992.1","1015","992.1","995","-1.58","1876"
"RURU","2022-03-24","1005","1029","1000","1011","0.30","1851"
"RURU","2022-03-23","1006.1","1025","1006.1","1008","-1.37","2254"
"RURU","2022-03-22","1045","1046","1020","1022","-1.73","1308"
"RURU","2022-03-21","1020","1040","1015","1040","1.96","688"
"RURU","2022-03-20","1040","1040","1011","1020","-2.85","1008"
"RURU","2022-03-16","1060","1060","1033","1049.9","-0.95","1194"
"RURU","2022-03-15","1050.1","1085","1050.1","1060","-0.93","1669"
"RURU","2022-03-14","1035","1075","1016.3","1069.9","1.70","1120"
"RURU","2022-03-13","1020","1065","1020","1052","1.32","1676"
"RURU","2022-03-10","1025","1038.3","1000","1038.3","3.31","1249"
"RURU","2022-03-09","1030","1035","1000","1005","-0.79","3648"
"RURU","2022-03-07","1035","1035","1000.1","1013","-0.33","724"
"RURU","2022-03-06","1058","1060","1010.1","1016.4","-2.08","3138"
"RURU","2022-03-02","1060","1060","1001.5","1038","-0.19","1252"
"RURU","2022-02-28","1115","1120","1035","1040","-5.02","6266"
"RURU","2022-02-27","1051.8","1150","1051.6","1095","2.05","9727"
"RURU","2022-02-24","1090","1100","1070","1073","-2.98","5473"
"RURU","2022-02-23","1040","1108","1020.4","1106","7.48","16240"
"RURU","2022-02-22","1029","1055","1028.2","1029","1.98","5182"
"RURU","2022-02-21","1015","1015","980","1009","1.40","1554"
"RURU","2022-02-20","1018.3","1030","978.1","995.1","-4.23","3339"
"RURU","2022-02-17","1024.1","1050","1003.7","1039","-0.57","1286"
"RURU","2022-02-16","1029.6","1060","1000","1045","-0.53","2050"
"RURU","2022-02-15","996","1050.6","986","1050.6","6.11","2904"
"RURU","2022-02-14","995","1008","970","990.1","0.27","1943"
"RURU","2022-02-13","1050","1050","987.4","987.4","-5.96","4272"
"RURU","2022-02-10","1054","1054","1025","1050","0.96","3156"
"RURU","2022-02-09","1031","1050","1026","1040","-0.67","1814"
"RURU","2022-02-08","1081.2","1102","1030","1047","0.00","2237"
"RURU","2022-02-07","1048","1068.9","1027.1","1060","1.15","5028"
"RURU","2022-02-06","1088","1088","1042.8","1048","-3.68","2947"
"RURU","2022-02-03","1071","1105","1071","1088","2.06","8364"
"RURU","2022-02-01","1040","1081.2","1031","1066","2.50","2872"
"RURU","2022-01-31","1085","1085","1040","1040","-2.26","2144"
"RURU","2022-01-30","1039","1065","1020","1064","4.42","4121"
"RURU","2022-01-27","980","1020","980","1019","2.00","3507"
"RURU","2022-01-26","1000","1000","980","999","-0.10","2022"
"RURU","2022-01-25","980","1029.9","972","1000","0.00","3413"
"RURU","2022-01-24","1045","1050","1000","1000","-5.66","3225"
"RURU","2022-01-23","1080.1","1101.7","1055","1060","-3.37","3533"
"RURU","2022-01-20","1020","1110","1020","1097","5.48","1993"
"RURU","2022-01-19","1052","1076","1030","1040","-2.80","2728"
"RURU","2022-01-18","1111","1114.9","1058","1070","-3.95","2983"
"RURU","2022-01-17","1048","1140.7","1039","1114","4.61","5542"
"RURU","2022-01-16","1034","1075","1050","1064.9","2.99","3000"
"RURU","2022-01-13","1000","1035","1000","1034","3.40","2240"
"RURU","2022-01-12","1020","1047","997","1000","-2.63","2497"
"RURU","2022-01-11","1040","1060","1010","1027","-1.25","2791"
"RURU","2022-01-10","974","1055","967","1040","6.78","4823"
"RURU","2022-01-09","944.5","974","944","974","5.18","2660"
"RURU","2022-01-06","932","940","921","926","-0.54","330"
"RURU","2022-01-05","910","938","910","931","2.65","1659"
"RURU","2022-01-04","922","922","907","907","0.33","1034"
"RURU","2022-01-03","930","930","901","904","-2.59","1100"
"RURU","2022-01-02","900","928","895","928","1.42","1095"
"RURU","2021-12-29","905","920","905","915","1.10","98"
"RURU","2021-12-28","895","938","882.1","905","0.56","634"
"RURU","2021-12-27","950","950","900","900","-3.75","1074"
"RURU","2021-12-26","893","966","893","935.1","4.71","741"
"RURU","2021-12-23","910","931","891.8","893","-2.08","2040"
"RURU","2021-12-22","912","930","906","912","1.90","950"
"RURU","2021-12-21","902.9","922.7","891","895","0.90","1335"
"RURU","2021-12-20","886","887.1","860","887","0.11","392"
"RURU","2021-12-16","906","906","885","886","-2.21","455"
"RURU","2021-12-15","924","924","891","906","0.00","2002"
"RURU","2021-12-14","868","909","865","906","6.46","780"
"RURU","2021-12-13","885","900","850","851","-4.38","2204"
"RURU","2021-12-12","900","918","882","890","-1.11","955"
"RURU","2021-12-09","910","912","882","900","-1.10","1707"
"RURU","2021-12-08","904","965.9","888","910","0.66","1415"
"RURU","2021-12-07","955","1020","904","904","-4.54","1864"
"RURU","2021-12-06","930","947","893.2","947","1.83","3009"
"RURU","2021-12-05","970","970","920","930","-4.12","1899"
"RURU","2021-12-02","982","994","970","970","-1.82","1051"
"RURU","2021-12-01","990","1020","988","988","-0.20","1314"
"RURU","2021-11-30","1004.7","1004.7","971","990","0.51","1816"
"RURU","2021-11-29","1000","1006","985","985","-1.50","1463"
"RURU","2021-11-28","1026","1026","995","1000","-2.53","3064"
"RURU","2021-11-25","1055","1055","1020","1026","-0.87","806"
"RURU","2021-11-24","1009.4","1035","1000","1035","0.49","970"
"RURU","2021-11-23","1026","1035","1010","1030","0.39","1797"
"RURU","2021-11-22","1020","1060","1020","1026","-0.87","1061"
"RURU","2021-11-21","1060","1071","1033","1035","-1.43","1163"
"RURU","2021-11-18","1052","1092","1038.8","1050","-1.96","1852"
