"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"SADBLP","2022-04-06","222","222","222","222","0.00","2500"
"SADBLP","2022-03-30","222","222","222","222","0.00","4709"
"SADBLP","2022-03-22","222","222","222","222","-1.77","10500"
"SADBLP","2022-02-08","226","226","226","226","0.00","12592"
"SADBLP","2022-01-30","226","226","226","226","0.00","10000"
"SADBLP","2022-01-17","226","226","226","226","0.00","21810"
"SADBLP","2022-01-02","226","226","226","226","0.00","19827"
"SADBLP","2021-12-21","226","226","226","226","-1.74","27000"
"SADBLP","2021-11-21","230","230","230","230","-0.86","6086"
"SADBLP","2021-11-18","232","232","232","232","0.00","19825"
"SADBLP","2021-07-27","236","236","236","236","0.00","6290"
"SADBLP","2021-04-07","121","121","121","121","0.00","9434"
"SADBLP","2021-04-04","121","121","121","121","0.00","186849"
"SADBLP","2021-03-22","121","121","121","121","1.68","108122"
"SADBLP","2021-03-03","119","119","119","119","-1.65","10000"
"SADBLP","2021-03-02","121","121","121","121","0.00","5000"
"SADBLP","2020-12-27","104","104","104","104","0.00","6165"
"SADBLP","2020-11-24","104","104","104","104","0.02","11612"
"SADBLP","2020-09-23","102","102","102","102","2.00","24743"
"SADBLP","2020-07-15","114","114","114","114","0.00","2187"
"SADBLP","2019-12-30","114","114","114","114","0.00","12003"
"SADBLP","2019-12-29","114","114","114","114","-1.72","13679"
"SADBLP","2019-12-01","116","116","116","116","-1.69","10000"
"SADBLP","2019-07-25","118","118","118","118","0.00","9709"
"SADBLP","2019-07-16","118","118","118","118","0.00","28480"
"SADBLP","2019-06-27","118","118","118","118","0.00","46076"
"SADBLP","2019-04-11","118","118","118","118","0.00","4317"
"SADBLP","2019-04-04","118","118","118","118","0.00","2085"
"SADBLP","2019-04-03","118","118","118","118","0.00","17317"
"SADBLP","2018-12-31","100","100","100","100","0.00","31000"
"SADBLP","2018-08-12","150","150","150","150","0.00","16885"
"SADBLP","2018-08-08","150","150","150","150","0.00","18147"
"SADBLP","2018-06-07","150","150","150","150","0.00","126373"
"SADBLP","2018-06-06","150","150","150","150","0.00","126373"
"SADBLP","2018-02-26","165","165","165","165","0.00","95636"
"SADBLP","2017-11-22","205","205","205","205","0.00","129348"
"SADBLP","2017-11-02","204","205","204","205","2.50","108305"
"SADBLP","2015-12-29","197","200","200","200","1.52","112320"
